dataset,stage,model,setting,stage_windows,stable_evaluation_windows,stage_stable_rate,stage_transition_rate,dominant_detected_state,stage_purity,detected_state_count,state_switch_count,false_switches_per_1000_windows,buffer_actual_cycles
Exp2,4,RBF_Ridge,Exp1_pretrain_to_Exp2,600,540,0.26481481481481484,0.7351851851851852,6,1.0,1,1,1.8518518518518519,250.0
Exp2,5,RBF_Ridge,Exp1_pretrain_to_Exp2,478,448,0.7388392857142857,0.19866071428571427,7,0.9196428571428571,2,8,17.857142857142858,250.0
Exp1,1,RBF_Ridge,within_Exp1,1513,1466,1.0,0.0,1,1.0,1,0,0.0,250.0
Exp1,2,RBF_Ridge,within_Exp1,2710,2625,0.9268571428571428,0.058666666666666666,2,0.984,2,9,3.4285714285714284,250.0
Exp1,3,RBF_Ridge,within_Exp1,1343,1259,0.9062748212867355,0.07148530579825259,2,1.0,1,8,6.354249404289118,250.0
Exp1,4,RBF_Ridge,within_Exp1,1352,1267,0.9731649565903709,0.017363851617995266,2,1.0,1,6,4.73559589581689,250.0
Exp1,5,RBF_Ridge,within_Exp1,2197,2154,0.9220055710306406,0.05478180129990715,3,0.6253481894150418,3,14,6.499535747446611,250.0
Exp2,1,RBF_Ridge,within_Exp2,599,569,0.4973637961335677,0.38312829525483305,2,0.7082601054481547,2,24,42.1792618629174,250.0
Exp2,2,RBF_Ridge,within_Exp2,600,540,0.29259259259259257,0.6074074074074074,3,0.7759259259259259,3,12,22.22222222222222,250.0
Exp2,3,RBF_Ridge,within_Exp2,540,480,0.27708333333333335,0.63125,5,0.38958333333333334,3,13,27.083333333333332,250.0
Exp2,4,RBF_Ridge,within_Exp2,600,540,0.28888888888888886,0.6814814814814815,6,0.8962962962962963,2,4,7.407407407407407,250.0
Exp2,5,RBF_Ridge,within_Exp2,478,448,0.8258928571428571,0.11830357142857142,3,1.0,1,7,15.625,250.0
Exp2,1,Ridge,Exp1_pretrain_to_Exp2,599,569,0.4973637961335677,0.38312829525483305,2,0.7082601054481547,2,24,42.1792618629174,250.0
Exp2,2,Ridge,Exp1_pretrain_to_Exp2,600,540,0.23333333333333334,0.6666666666666666,3,0.42407407407407405,4,12,22.22222222222222,250.0
Exp2,3,Ridge,Exp1_pretrain_to_Exp2,540,480,0.27708333333333335,0.63125,6,0.38958333333333334,3,13,27.083333333333332,250.0
Exp2,4,Ridge,Exp1_pretrain_to_Exp2,600,540,0.25555555555555554,0.6925925925925925,7,0.8962962962962963,2,10,18.51851851851852,250.0
Exp2,5,Ridge,Exp1_pretrain_to_Exp2,478,448,0.6339285714285714,0.2611607142857143,8,0.7857142857142857,2,13,29.017857142857142,250.0
Exp1,1,Ridge,within_Exp1,1513,1466,1.0,0.0,1,1.0,1,0,0.0,250.0
Exp1,2,Ridge,within_Exp1,2710,2625,0.9264761904761905,0.05904761904761905,2,0.984,2,9,3.4285714285714284,250.0
Exp1,3,Ridge,within_Exp1,1343,1259,0.9062748212867355,0.07148530579825259,2,1.0,1,8,6.354249404289118,250.0
Exp1,4,Ridge,within_Exp1,1352,1267,0.9731649565903709,0.017363851617995266,2,1.0,1,6,4.73559589581689,250.0
Exp1,5,Ridge,within_Exp1,2197,2154,0.9187558031569174,0.06081708449396472,3,0.6360259981429898,3,11,5.10677808727948,250.0
Exp2,1,Ridge,within_Exp2,599,569,0.4973637961335677,0.38312829525483305,2,0.7082601054481547,2,24,42.1792618629174,250.0
Exp2,2,Ridge,within_Exp2,600,540,0.29259259259259257,0.6074074074074074,3,0.7759259259259259,3,12,22.22222222222222,250.0
Exp2,3,Ridge,within_Exp2,540,480,0.27708333333333335,0.63125,5,0.38958333333333334,3,13,27.083333333333332,250.0
