protocol_id,dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,effective_configuration_count,directed_configuration_support,rate_divergence_configuration_support,abrupt_configuration_support,combined_change_score_q50,change_configuration_support,guard_configuration_fraction,stop_boundary_configuration_fraction,change_trigger
A_Exp1_to_Exp2,Exp2,232,232,1161.0,1180.0,1170.5,2431.3728362183756,2462.9910119840215,2447.181924101198,1170.5,2447.181924101198,16,0.0,0.0,0.125,0.5085234325059967,0.125,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,233,233,1166.0,1185.0,1175.5,2439.6934087882823,2471.311584553928,2455.5024966711053,1175.5,2455.5024966711053,16,0.0,0.0,0.0625,0.4017109311240596,0.0625,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,234,234,1171.0,1190.0,1180.5,2448.013981358189,2479.632157123835,2463.823069241012,1180.5,2463.823069241012,16,0.0,0.0,0.0,0.4771063711032423,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,235,235,1176.0,1195.0,1185.5,2456.334553928096,2487.9527296937417,2472.143641810919,1185.5,2472.143641810919,16,0.0,0.0,0.0,0.3267165214913499,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,236,236,1181.0,1200.0,1190.5,2464.6551264980026,2496.2733022636485,2480.4642143808255,1190.5,2480.4642143808255,16,0.0,0.0,0.0,0.3243420085110803,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,237,237,1186.0,1205.0,1195.5,2472.9756990679098,2504.593874833555,2488.7847869507323,1195.5,2488.7847869507323,16,0.0,0.0,0.0,0.6420465700723665,0.0,1.0,1.0,0
A_Exp1_to_Exp2,Exp2,238,238,1191.0,1210.0,1200.5,2481.296271637816,2512.914447403462,2497.1053595206395,1200.5,2497.1053595206395,16,0.0,0.125,0.0,2.249636271492948,0.125,1.0,1.0,0
A_Exp1_to_Exp2,Exp2,239,239,1196.0,1215.0,1205.5,2489.6168442077233,2521.235019973369,2505.4259320905458,1205.5,2505.4259320905458,16,0.0,0.5625,0.0,7.56637368251166,0.5625,1.0,1.0,1
A_Exp1_to_Exp2,Exp2,240,240,1201.0,1220.0,1210.5,2497.9374167776296,2529.5555925432755,2513.746504660453,1210.5,2513.746504660453,16,0.0,0.875,0.0,12.518886007564213,0.875,1.0,1.0,1
A_Exp1_to_Exp2,Exp2,241,241,1206.0,1225.0,1215.5,2506.2579893475367,2537.876165113182,2522.0670772303592,1215.5,2522.0670772303592,16,0.0,0.9375,0.0,14.545966531122927,0.9375,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,242,242,1211.0,1230.0,1220.5,2514.578561917443,2546.196737683089,2530.3876498002664,1220.5,2530.3876498002664,16,0.0,0.9375,0.0,16.068726769207966,0.9375,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,243,243,1216.0,1235.0,1225.5,2522.8991344873502,2554.5173102529957,2538.7082223701727,1225.5,2538.7082223701727,16,0.0,1.0,0.0,18.510647284697235,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,244,244,1221.0,1240.0,1230.5,2531.219707057257,2562.837882822903,2547.02879494008,1230.5,2547.02879494008,16,0.0,1.0,0.0,16.26932383961771,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,245,245,1226.0,1245.0,1235.5,2539.5402796271637,2571.1584553928096,2555.3493675099867,1235.5,2555.3493675099867,16,0.0,0.9375,0.0,15.148858334441366,0.9375,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,246,246,1231.0,1250.0,1240.5,2547.8608521970705,2579.4790279627164,2563.6699400798934,1240.5,2563.6699400798934,16,0.0,0.875,0.0,12.79143134902467,0.875,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,247,247,1236.0,1255.0,1245.5,2556.181424766977,2587.799600532623,2571.9905126498,1245.5,2571.9905126498,16,0.0,0.875,0.0,13.069530587573624,0.875,1.0,0.0,1
