protocol_id,dataset,window_index,center_cycle_effective,center_cycle_actual,V100_norm_q50_effective_time,V500_norm_q50_effective_time,V1000_norm_q50_effective_time,multi_scale_rate_divergence_q50_effective_time,change_configuration_support_effective_time,change_trigger_effective_time,V100_norm_q50_actual_time,V500_norm_q50_actual_time,V1000_norm_q50_actual_time,multi_scale_rate_divergence_q50_actual_time,change_configuration_support_actual_time,change_trigger_actual_time,row_type,metric,spearman,median_absolute_difference,agreement
B_Exp2_to_Exp1,Exp1,8763.0,43825.5,50912.784349408554,0.03472801937798227,0.013545821436798045,0.008844303526612859,0.029155974916325822,0.0,0.0,0.11493620137800938,0.007881387450816778,0.0069941964188784305,0.11937542453865342,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8764.0,43830.5,50918.69881710646,0.04165361618455425,0.016537815836789455,0.009796981260405988,0.03676989395265795,0.0,0.0,0.07849340420787958,0.008227912920884818,0.009167491241744615,0.08528991177076971,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8765.0,43835.5,50924.61328480436,0.047021299017910086,0.02049984087512561,0.014544572732163408,0.043429621970435386,0.0,0.0,0.08144556734745535,0.019056294720692635,0.017116240633573806,0.07431638698067326,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8766.0,43840.5,50930.527752502276,0.043860555061620815,0.018799899953310092,0.014301924564863486,0.0411714723976396,0.0,0.0,0.06590198707775578,0.015089031249136776,0.013712277204397674,0.06323569587500724,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8767.0,43845.5,50936.44222020018,0.05106563838402045,0.015779971326549583,0.01884583248453793,0.060504288218899686,0.0,0.0,0.03742899363749851,0.013790355306532692,0.015071833862085687,0.044009032566084065,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8768.0,43850.5,50942.35668789809,0.05071723151577226,0.015147455573154025,0.01790532901722801,0.05010632052763392,0.0,0.0,0.06773913710124045,0.012529570544226659,0.014849061982491163,0.07820984888808935,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8769.0,43855.5,50948.271155596,0.038441821178863675,0.021444648123212534,0.016864585759771334,0.036410303927422824,0.0,0.0,0.08522020279922804,0.015155131398905473,0.014773898272283233,0.09609717457437794,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8770.0,43860.5,50954.1856232939,0.049411460905584834,0.02205731054387905,0.01656938492100487,0.05124760265371747,0.0,0.0,0.08218581076190176,0.021757382088627614,0.01582772119990394,0.09373675434210822,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8771.0,43865.5,50960.10009099181,0.04421119224912554,0.020605507623439906,0.009084498607808595,0.04188525003720074,0.0,0.0,0.07027498745296831,0.030395637498498804,0.009698262519502438,0.07579249853372694,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8772.0,43870.5,50966.01455868972,0.03472577261410557,0.02080532688456132,0.011390512866942357,0.03478088037983865,0.0,0.0,0.03579846497622432,0.04215793637052806,0.010422341522139137,0.031038978771423465,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8773.0,43875.5,50971.929026387625,0.14022633409023116,0.022158427228660238,0.005259293905534708,0.13868123864105594,0.0,0.0,0.09031105150387812,0.01652515793276547,0.01498041721100297,0.07809412632148846,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8774.0,43880.5,50977.84349408553,0.15812391687888516,0.010571323474143038,0.007175386949614284,0.15530171319264982,0.0,0.0,0.11781759928955048,0.01466304966256318,0.015309985818469802,0.1056134568673263,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8775.0,43885.5,50983.75796178344,0.120373109062734,0.008258681508894649,0.005144869964973472,0.11860885319951164,0.0,0.0,0.030607511882007412,0.007130514273572804,0.011586149454272929,0.02427523840142816,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8776.0,43890.5,50989.67242948135,0.12713876295370027,0.020300003673298636,0.007845767902937726,0.12121276691260552,0.0,0.0,0.07486596910932052,0.013700793773999567,0.0030267323122176227,0.0746766099422279,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8777.0,43895.5,50995.58689717925,0.034036656544324764,0.009544846954678903,0.008474758747640648,0.03315255854138466,0.0,0.0,0.0994889678451754,0.011830973733868516,0.012250606409787798,0.08802369872782063,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8778.0,43900.5,51001.50136487716,0.030549425273062543,0.015376581184474679,0.011533180750743235,0.02493287179135764,0.0,0.0,0.13196087470121434,0.011859751947647731,0.01242922430728651,0.12045096925828203,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8779.0,43905.5,51007.41583257507,0.06526713348023849,0.013303118986333066,0.011642497471945203,0.054820469631260915,0.0,0.0,0.040602967953039054,0.01624854908089902,0.011248490986130575,0.03774359995289836,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8780.0,43910.5,51013.33030027297,0.07890568040684609,0.01602360118080153,0.012812045199314274,0.06728093561298865,0.0,0.0,0.04202041994572132,0.022424957155674715,0.013434381397783184,0.037140941895245895,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8781.0,43915.5,51019.244767970886,0.10324222369768737,0.016163233450736406,0.01238386877126791,0.09285760633306084,0.0,0.0,0.03776300168657291,0.0260637359272719,0.011904915782757139,0.04842290008675485,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8782.0,43920.5,51025.15923566879,0.44679463697653554,0.0811829650178405,0.046460378565091914,0.4005732815952041,0.0,0.0,0.37385908583456073,0.08836840332849187,0.044074618879531256,0.35320043088184594,0.0,0.0,window,,,,
