episode_id,protocol_id,target_dataset,start_cycle_effective,end_cycle_effective,peak_cycle_effective,start_cycle_actual,end_cycle_actual,peak_cycle_actual,peak_change_score,support_peak,support_mean,support_median,support_min,support_ge_080_duration_fraction,configuration_support,location_uncertainty_actual,configuration_peak_count,directed_evidence_support_mean,rate_divergence_evidence_support_mean,abrupt_evidence_support_mean,directed_evidence_share,rate_divergence_evidence_share,abrupt_evidence_share,evidence_composition,dominant_evidence,covers_guard_or_stop_boundary
A_Exp1_to_Exp2:021,A_Exp1_to_Exp2,Exp2,11691.0,12315.0,11750.5,19976.666666666664,21018.789144050104,20075.991649269312,22.61746153192486,1.0,0.7124252398033577,0.7916666666666666,0.0,0.49179094617805125,1.0,12.526096033405338,24,0.17656225330221062,0.25749983746969135,0.5338244295186207,0.18242040735231374,0.26604341735475323,0.5515361752929331,directed=0.182;rate_divergence=0.266;abrupt=0.552,abrupt,True
A_Exp1_to_Exp2:022,A_Exp1_to_Exp2,Exp2,12296.0,12910.0,12690.5,20987.05636743215,22012.5260960334,21645.929018789146,29.392787965404693,1.0,0.6697916666666679,0.75,0.0,0.47500000000000064,1.0,14.613778705635923,24,0.11840277777777793,0.3065972222222227,0.516666666666667,0.1257374631268437,0.3255899705014751,0.5486725663716813,directed=0.126;rate_divergence=0.326;abrupt=0.549,abrupt,True
A_Exp1_to_Exp2:023,A_Exp1_to_Exp2,Exp2,12891.0,13320.0,13290.5,21980.79331941545,22697.286012526096,22648.016701461376,13.843779028092154,1.0,0.7344377510040173,0.7916666666666666,0.0,0.48192771084337427,1.0,208.76826722337864,24,0.010040160642570269,0.5592369477911651,0.447791164658635,0.009871668311944698,0.5498519249753208,0.44027640671273455,directed=0.010;rate_divergence=0.550;abrupt=0.440,rate_divergence,True
A_Exp1_to_Exp2:024,A_Exp1_to_Exp2,Exp2,13916.0,14040.0,13985.5,23692.693110647182,23899.791231732775,23808.768267223382,8.335283616855435,0.9583333333333334,0.4356060606060611,0.4583333333333333,0.041666666666666664,0.09090909090908901,0.9583333333333334,25.052192066807038,24,0.0018939393939394627,0.4128787878787882,0.1003787878787885,0.0036764705882354207,0.8014705882352932,0.19485294117647142,directed=0.004;rate_divergence=0.801;abrupt=0.195,rate_divergence,False
B_Exp2_to_Exp1:001,B_Exp2_to_Exp1,Exp1,1096.0,1540.0,1525.5,1157.4437549511488,1626.3579350409293,1611.0442962767363,18.308147791122998,1.0,0.1257267441860458,0.0,0.0,0.058139534883720555,1.0,0.0,16,0.0,0.1097383720930226,0.03561046511627881,0.0,0.7550000000000002,0.24499999999999972,directed=0.000;rate_divergence=0.755;abrupt=0.245,rate_divergence,False
B_Exp2_to_Exp1:002,B_Exp2_to_Exp1,Exp1,7561.0,8155.0,7650.5,7985.214417744916,8684.870848708488,8089.151291512915,30.846743935859603,1.0,0.7295351569850966,0.75,0.0,0.43892931502227506,1.0,17.712177121770765,24,0.16731985377620068,0.2461511822350574,0.5096392055214328,0.18125663246720164,0.2666541558745562,0.5520892116582422,directed=0.181;rate_divergence=0.267;abrupt=0.552,abrupt,True
B_Exp2_to_Exp1:003,B_Exp2_to_Exp1,Exp1,19646.0,19765.0,19755.5,22253.579335793358,22394.09594095941,22382.878228782287,32.978641564822915,0.625,0.10714285714286106,0.0,0.0,0.0,0.625,0.0,24,0.001984126984127015,0.10714285714286106,0.00396825396825403,0.017543859649122456,0.9473684210526326,0.03508771929824491,directed=0.018;rate_divergence=0.947;abrupt=0.035,rate_divergence,False
B_Exp2_to_Exp1:004,B_Exp2_to_Exp1,Exp1,21121.0,21265.0,21180.5,23995.276752767528,24166.79076693969,24066.120625465377,26.43696484337618,1.0,0.756407728019299,0.75,0.5,0.34617867035596755,1.0,1.4892032762472809,24,0.14263843361889827,0.5849210718707373,0.1795000512956898,0.1572536583203176,0.6448540975013078,0.19789224417837456,directed=0.157;rate_divergence=0.645;abrupt=0.198,rate_divergence,True
B_Exp2_to_Exp1:005,B_Exp2_to_Exp1,Exp1,27831.0,28015.0,27905.5,31989.27773641102,32207.100591715975,32077.51479289941,26.302164818017733,0.875,0.7512231640534214,0.7916666666666666,0.4166666666666667,0.38230138470314823,0.875,0.0,24,0.19606279664321324,0.5318899978294996,0.25854356465501366,0.1987465993453586,0.5391707662254365,0.262082634429205,directed=0.199;rate_divergence=0.539;abrupt=0.262,rate_divergence,True
B_Exp2_to_Exp1:006,B_Exp2_to_Exp1,Exp1,28331.0,28440.0,28420.5,32581.065088757397,32710.059171597633,32686.98224852071,6.0148388045106085,0.5833333333333334,0.2587719298245614,0.2916666666666667,0.0,0.0,0.5833333333333334,88.757396449706,24,0.0,0.25219298245614036,0.08333333333333334,0.0,0.7516339869281046,0.24836601307189546,directed=0.000;rate_divergence=0.752;abrupt=0.248,rate_divergence,False
