row_type,stop_exclusion_half_width_actual,episode_id,protocol_id,target_dataset,original_start_cycle_effective,original_end_cycle_effective,original_peak_cycle_effective,original_start_cycle_actual,original_end_cycle_actual,original_peak_cycle_actual,retained,interval_iou_actual,peak_shift_actual,deconfounded_episode_id,deconfounded_start_cycle_actual,deconfounded_end_cycle_actual,deconfounded_peak_cycle_actual,original_peak_nearest_stop_distance_actual,retention_rate,original_episode_count,deconfounded_episode_count,mean_interval_iou_actual,mean_abs_peak_shift_actual
original_episode_match,200,A_Exp1_to_Exp2:011,A_Exp1_to_Exp2,Exp2,6891.0,7310.0,7285.5,11976.666666666666,12675.0,12634.166666666666,False,0.0,,,,,,134.16666666666606,,,,,
original_episode_match,200,A_Exp1_to_Exp2:012,A_Exp1_to_Exp2,Exp2,7291.0,7625.0,7300.5,12643.333333333332,13200.0,12659.166666666666,False,0.0,,,,,,159.16666666666606,,,,,
original_episode_match,200,A_Exp1_to_Exp2:013,A_Exp1_to_Exp2,Exp2,7791.0,8220.0,7840.5,13476.666666666666,14191.666666666668,13559.166666666666,False,0.0,,,,,,59.16666666666606,,,,,
original_episode_match,200,A_Exp1_to_Exp2:014,A_Exp1_to_Exp2,Exp2,8396.0,9010.0,8710.5,14485.0,15508.333333333334,15009.166666666666,False,0.0,,,,,,9.16666666666606,,,,,
original_episode_match,200,A_Exp1_to_Exp2:015,A_Exp1_to_Exp2,Exp2,8991.0,9535.0,9390.5,15476.666666666666,16383.333333333334,16142.5,False,0.0,,,,,,142.5,,,,,
original_episode_match,200,A_Exp1_to_Exp2:016,A_Exp1_to_Exp2,Exp2,9516.0,9850.0,9610.5,16351.666666666666,16908.333333333332,16509.166666666668,False,0.0,,,,,,9.16666666666788,,,,,
original_episode_match,200,A_Exp1_to_Exp2:017,A_Exp1_to_Exp2,Exp2,9831.0,10200.0,9990.5,16876.666666666668,17491.666666666668,17142.5,False,0.0,,,,,,142.5,,,,,
original_episode_match,200,A_Exp1_to_Exp2:018,A_Exp1_to_Exp2,Exp2,10181.0,10500.0,10260.5,17460.0,17991.666666666668,17592.5,False,0.0,,,,,,92.5,,,,,
original_episode_match,200,A_Exp1_to_Exp2:019,A_Exp1_to_Exp2,Exp2,10481.0,11090.0,10590.5,17960.0,18975.0,18142.5,False,0.0,,,,,,142.5,,,,,
original_episode_match,200,A_Exp1_to_Exp2:020,A_Exp1_to_Exp2,Exp2,11071.0,11530.0,11470.5,18943.333333333332,19708.333333333332,19609.166666666664,False,0.0,,,,,,109.16666666666424,,,,,
original_episode_match,200,A_Exp1_to_Exp2:021,A_Exp1_to_Exp2,Exp2,11691.0,12315.0,11750.5,19976.666666666664,21018.789144050104,20075.991649269312,False,0.0,,,,,,75.99164926931189,,,,,
original_episode_match,200,A_Exp1_to_Exp2:022,A_Exp1_to_Exp2,Exp2,12296.0,12910.0,12690.5,20987.05636743215,22012.5260960334,21645.929018789146,False,0.0,,,,,,145.92901878914563,,,,,
original_episode_match,200,A_Exp1_to_Exp2:023,A_Exp1_to_Exp2,Exp2,12891.0,13320.0,13290.5,21980.79331941545,22697.286012526096,22648.016701461376,False,0.0,,,,,,148.01670146137621,,,,,
original_episode_match,200,A_Exp1_to_Exp2:024,A_Exp1_to_Exp2,Exp2,13916.0,14040.0,13985.5,23692.693110647182,23899.791231732775,23808.768267223382,True,0.9596774193548306,0.0,A_Exp1_to_Exp2:001,23701.04384133612,23899.791231732775,23808.768267223382,308.7682672233823,,,,,
original_episode_match,200,B_Exp2_to_Exp1:001,B_Exp2_to_Exp1,Exp1,1096.0,1540.0,1525.5,1157.4437549511488,1626.3579350409293,1611.0442962767363,True,1.0,0.0,B_Exp2_to_Exp1:002,1157.4437549511488,1626.3579350409293,1611.0442962767363,6388.9557037232635,,,,,
original_episode_match,200,B_Exp2_to_Exp1:002,B_Exp2_to_Exp1,Exp1,7561.0,8155.0,7650.5,7985.214417744916,8684.870848708488,8089.151291512915,True,0.6902702642998246,578.5977859778595,B_Exp2_to_Exp1:003,8201.918819188191,8684.870848708488,8667.749077490775,89.15129151291512,,,,,
original_episode_match,200,B_Exp2_to_Exp1:003,B_Exp2_to_Exp1,Exp1,19646.0,19765.0,19755.5,22253.579335793358,22394.09594095941,22382.878228782287,True,1.0,0.0,B_Exp2_to_Exp1:004,22253.579335793358,22394.09594095941,22382.878228782287,1617.121771217713,,,,,
original_episode_match,200,B_Exp2_to_Exp1:004,B_Exp2_to_Exp1,Exp1,21121.0,21265.0,21180.5,23995.276752767528,24166.79076693969,24066.120625465377,False,0.0,,,,,,66.12062546537709,,,,,
original_episode_match,200,B_Exp2_to_Exp1:005,B_Exp2_to_Exp1,Exp1,27831.0,28015.0,27905.5,31989.27773641102,32207.100591715975,32077.51479289941,False,0.0,,,,,,77.51479289940835,,,,,
original_episode_match,200,B_Exp2_to_Exp1:006,B_Exp2_to_Exp1,Exp1,28331.0,28440.0,28420.5,32581.065088757397,32710.059171597633,32686.98224852071,True,1.0,0.0,B_Exp2_to_Exp1:005,32581.065088757397,32710.059171597633,32686.98224852071,686.9822485207114,,,,,
original_episode_match,200,B_Exp2_to_Exp1:007,B_Exp2_to_Exp1,Exp1,34586.0,34985.0,34605.5,39983.43195266272,40455.41401273885,40006.5059144677,True,0.5363322865059577,414.01273885350383,B_Exp2_to_Exp1:006,40202.27479526843,40455.41401273885,40420.5186533212,6.505914467699768,,,,,
original_episode_match,200,B_Exp2_to_Exp1:008,B_Exp2_to_Exp1,Exp1,41356.0,41485.0,41370.5,47991.628753412195,48144.2220200182,48008.78070973612,False,0.0,,,,,,8.780709736121935,,,,,
original_episode_match,200,B_Exp2_to_Exp1:009,B_Exp2_to_Exp1,Exp1,41846.0,42105.0,41865.5,48571.246587807094,48877.61601455869,48594.313011828934,True,1.0,0.0,B_Exp2_to_Exp1:007,48571.246587807094,48877.61601455869,48594.313011828934,594.3130118289337,,,,,
original_episode_match,200,B_Exp2_to_Exp1:010,B_Exp2_to_Exp1,Exp1,44791.0,45235.0,45110.5,52054.86806187443,52580.07279344859,52432.8025477707,True,1.0,0.0,B_Exp2_to_Exp1:008,52054.86806187443,52580.07279344859,52432.8025477707,4432.802547770698,,,,,
summary,200,__summary__,ALL,ALL,,,,,,,,,,,,,,,0.23529411764705882,34.0,8.0,0.2113611755929592,124.07631560392042
