source_dataset,change_threshold,candidate_min_windows,min_dwell_windows,selection_score,Stage5_AUROC,Stage5_AUPRC,Stage45_AUROC,Stage45_AUPRC,Ordinal_MAE,ordinal_macro_F1,risk_stage_spearman,Stage5_recall,Stage1to2_false_high_rate,ECE,Brier,mean_posterior_entropy,mean_confidence,exact_Stage5_recall,LateState_recall,stable_stage5_detection_cycle,lead_lag_cycles,Stage1to2_false_alarm_rate,mean_boundary_MAE,missed_transition_count,extra_transition_count,early_false_transition_count
Exp2,2.0,40,200,0.6154639189071299,0.9993127863390254,0.99736975986976,0.9974025974025974,0.9974263481616422,0.8886198547215496,0.26100463127894546,0.481214377092658,0.0,0.0,0.1634938971078704,0.1538318987353206,1.0220626150844883,0.6467128968503711,0.0,0.0,,,0.0,1642.5,2,0,0
Exp2,2.5,15,50,0.42660346219620726,0.8796543107038733,0.43892819317708054,0.3153409090909091,0.33449779466426394,0.8656174334140436,0.2544270340277889,0.9056510075178399,1.0,0.05113636363636364,0.20572555854029478,0.13803943822154757,1.3785161182676475,0.4581817346335606,0.0,1.0,,,0.0,4513.75,0,0,4
Exp2,2.5,15,100,0.638963532361154,0.999271137026239,0.9972224311932909,0.9965503246753247,0.9966532602317937,0.5714285714285714,0.4427641200828984,0.9107656632402458,1.0,0.02556818181818182,0.1687621541356841,0.09999764709064572,1.5392098676337893,0.33060474712584004,1.0,1.0,,,0.0,3700.0,0,0,4
Exp2,2.5,15,200,0.6637729078828051,0.9993127863390254,0.99736975986976,0.5145698051948052,0.40972805845136434,0.5012106537530266,0.45137309226569194,0.865944551394515,1.0,0.0,0.08502281178556605,0.13280461863819407,1.5073844886145598,0.36588907669617043,0.0,1.0,,,0.0,410.0,1,0,0
Exp2,2.5,25,50,0.5183911051696056,0.9880778842149105,0.8416420910222966,0.7750811688311688,0.5765244133087125,0.7058111380145279,0.28761038762243774,0.9170395139508978,1.0,0.03125,0.16408428704743988,0.13859630146273444,1.3110482399568333,0.5163539630565294,0.0,1.0,,,0.0,4398.75,0,0,4
Exp2,2.5,25,100,0.6153773560804013,0.9079862557267805,0.4747430220740879,0.9886363636363636,0.942334861192772,0.5193704600484261,0.45204773227131045,0.7944240143660677,1.0,0.0,0.1566145740678848,0.12920374534749823,1.3446272165137525,0.48668133441122097,0.0,1.0,,,0.0,1512.5,0,0,3
Exp2,2.5,25,200,0.680392078434466,0.9993127863390254,0.99736975986976,0.9974025974025974,0.9974263481616422,0.8547215496368039,0.2611065599192609,0.7072150673868748,1.0,0.0,0.1005448261462471,0.1271878783061514,1.4564984024450343,0.4221008126591522,0.0,1.0,,,0.0,528.3333333333334,1,0,0
Exp2,2.5,40,50,0.6456206924820357,0.9993127863390254,0.99736975986976,0.9974025974025974,0.9974263481616422,0.5920096852300242,0.40207851538884504,0.7236163230074063,0.9071428571428571,0.0,0.15721957352701477,0.14193146188687014,1.3104989016005297,0.5155487777576633,0.0,0.9071428571428571,,,0.0,2250.0,1,0,2
Exp2,2.5,40,100,0.6460842612053185,0.9993127863390254,0.99736975986976,0.9974025974025974,0.9974263481616422,0.589588377723971,0.40351521571215265,0.7268883555118828,0.9071428571428571,0.0,0.15721957352701477,0.14193146188687014,1.310779939335816,0.5152483672270574,0.0,0.9071428571428571,,,0.0,2246.6666666666665,1,0,2
Exp2,2.5,40,200,0.6154639189071299,0.9993127863390254,0.99736975986976,0.9974025974025974,0.9974263481616422,0.8886198547215496,0.26100463127894546,0.481214377092658,0.0,0.0,0.1634938971078704,0.1538318987353206,1.0220626150844883,0.6467128968503711,0.0,0.0,,,0.0,1642.5,2,0,0
Exp2,3.0,15,50,0.5915008109355799,0.9971470220741357,0.96068028185694,0.9974025974025974,0.9974263481616422,0.7227602905569007,0.283807908814916,0.8728176873243557,1.0,0.07670454545454546,0.1744317387000095,0.1361259232863636,1.3166364343113894,0.5167061632330827,0.0,1.0,,,0.0,4461.25,0,0,4
Exp2,3.0,15,100,0.638963532361154,0.999271137026239,0.9972224311932909,0.9965503246753247,0.9966532602317937,0.5714285714285714,0.4427641200828984,0.9107656632402458,1.0,0.02556818181818182,0.1687621541356841,0.09999764709064572,1.5392098676337893,0.33060474712584004,1.0,1.0,,,0.0,3700.0,0,0,4
Exp2,3.0,15,200,0.6637729078828051,0.9993127863390254,0.99736975986976,0.5145698051948052,0.40972805845136434,0.5012106537530266,0.45137309226569194,0.865944551394515,1.0,0.0,0.08502281178556605,0.13280461863819407,1.5073844886145598,0.36588907669617043,0.0,1.0,,,0.0,410.0,1,0,0
Exp2,3.0,25,50,0.63212781099815,0.9966576426488963,0.9875892946628223,0.9974025974025974,0.9974263481616422,0.6307506053268765,0.4090702657305556,0.915781804238995,1.0,0.07954545454545454,0.07836646255628821,0.10028576465279239,1.1700178526532545,0.5697334950299876,0.3142857142857143,1.0,,,0.0,3233.75,0,0,3
Exp2,3.0,25,100,0.6214751252194596,0.9282174094127447,0.5294659515666608,0.9886363636363636,0.942334861192772,0.5181598062953995,0.45429268810275925,0.8071880742104806,1.0,0.0,0.13167080319778132,0.12288397760485428,1.3951442814911743,0.4566333801963464,0.0,1.0,,,0.0,1508.75,0,0,3
Exp2,3.0,25,200,0.680392078434466,0.9993127863390254,0.99736975986976,0.9974025974025974,0.9974263481616422,0.8547215496368039,0.2611065599192609,0.7072150673868748,1.0,0.0,0.1005448261462471,0.1271878783061514,1.4564984024450343,0.4221008126591522,0.0,1.0,,,0.0,528.3333333333334,1,0,0
Exp2,3.0,40,50,0.6456206924820357,0.9993127863390254,0.99736975986976,0.9974025974025974,0.9974263481616422,0.5920096852300242,0.40207851538884504,0.7236163230074063,0.9071428571428571,0.0,0.15721957352701477,0.14193146188687014,1.3104989016005297,0.5155487777576633,0.0,0.9071428571428571,,,0.0,2250.0,1,0,2
Exp2,3.0,40,100,0.6460842612053185,0.9993127863390254,0.99736975986976,0.9974025974025974,0.9974263481616422,0.589588377723971,0.40351521571215265,0.7268883555118828,0.9071428571428571,0.0,0.15721957352701477,0.14193146188687014,1.310779939335816,0.5152483672270574,0.0,0.9071428571428571,,,0.0,2246.6666666666665,1,0,2
Exp2,3.0,40,200,0.6154639189071299,0.9993127863390254,0.99736975986976,0.9974025974025974,0.9974263481616422,0.8886198547215496,0.26100463127894546,0.481214377092658,0.0,0.0,0.1634938971078704,0.1538318987353206,1.0220626150844883,0.6467128968503711,0.0,0.0,,,0.0,1642.5,2,0,0
