direction,source_dataset,target_dataset,source_exp2_variant,target_exp2_variant,exp2_variant,seed,source_model_state_sha256,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,adapter_frozen_fraction,event_status,fast_score,slow_score,residual_persistent,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,3,Exp2,V35_SlowResidual_OnlineAdaptation,3025.5,3040.5,3100.5,1.7209789969300904,1.0,unmatched_candidate_event,10.628895156776036,3.0006800130557374,17.18538515938523,5534.166666666667,5559.166666666667,5659.166666666667
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3402,21632ef429be9410ef62a58427f40bbdc0869cc6f9e3b54e672cd031e64272c3,4,Exp2,V35_SlowResidual_OnlineAdaptation,6920.5,7000.5,7000.5,1.5940845082896815,1.0,unmatched_candidate_event,0.338623635663691,2.81157956931946,17.840632710219268,12025.833333333334,12159.166666666666,12159.166666666666
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,1,Exp2,V35_SlowResidual_CalibrationOnly,1515.5,1530.5,1535.5,1.4001541737293386,1.0,unmatched_candidate_event,3.51003632617462,2.384745330328779,17.828463282924503,3021.301431424767,3046.2631491344873,3054.583721704394
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,2,Exp2,V35_SlowResidual_CalibrationOnly,3020.5,3025.5,3105.5,7.994855479612623,1.0,unmatched_candidate_event,17.296689576048383,15.636238398581096,17.168905967893213,5525.833333333333,5534.166666666667,5667.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,3,Exp2,V35_SlowResidual_CalibrationOnly,6915.5,6950.5,7005.5,3.4220860944712044,1.0,unmatched_candidate_event,6.4192308415110775,6.459744254057384,25.03474102968018,12017.5,12075.833333333334,12167.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,4,Exp2,V35_SlowResidual_CalibrationOnly,7230.5,7275.5,7300.5,1.8345208239156776,1.0,unmatched_candidate_event,5.709102351204528,3.2488620721496693,13.948110524413568,12542.5,12617.5,12659.166666666666
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,5,Exp2,V35_SlowResidual_CalibrationOnly,8715.5,8715.5,8800.5,9.50785925923233,1.0,unmatched_candidate_event,17.779806041977047,18.66811883327255,13.614691196290751,15017.5,15017.5,15159.166666666666
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,6,Exp2,V35_SlowResidual_CalibrationOnly,9315.5,9315.5,9405.5,13.9476903779461,1.0,unmatched_candidate_event,28.910530838345576,27.615093609323903,16.754756253028113,16017.5,16017.5,16167.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,7,Exp2,V35_SlowResidual_CalibrationOnly,9615.5,9630.5,9705.5,6.562175850855356,1.0,unmatched_candidate_event,9.381431448990204,12.777386984799396,22.928194945377065,16517.5,16542.5,16667.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,8,Exp2,V35_SlowResidual_CalibrationOnly,9910.5,9910.5,10010.5,16.573837276020306,1.0,unmatched_candidate_event,37.089205182976464,32.91773108287386,15.031160473746272,17009.166666666668,17009.166666666668,17175.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,9,Exp2,V35_SlowResidual_CalibrationOnly,10210.5,10230.5,10310.5,13.799461781060584,1.0,unmatched_candidate_event,15.534840307053818,27.25588851983525,33.966894454615506,17509.166666666668,17542.5,17675.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,10,Exp2,V35_SlowResidual_CalibrationOnly,10510.5,10530.5,10610.5,16.69257303394689,1.0,unmatched_candidate_event,35.27594368168134,33.15307946637896,39.21207955091861,18009.166666666668,18042.5,18175.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,11,Exp2,V35_SlowResidual_CalibrationOnly,10815.5,10830.5,10905.5,11.9069918731148,1.0,unmatched_candidate_event,11.9476840956838,23.49196023529668,23.36000394199459,18517.5,18542.5,18667.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,12,Exp2,V35_SlowResidual_CalibrationOnly,11120.5,11150.5,11205.5,8.710646602512561,1.0,unmatched_candidate_event,8.674102292787822,17.10004640221827,17.647999354362653,19025.833333333332,19075.833333333332,19167.5
