dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,baseline_window_500,baseline_window_1000,baseline_window_2000,rx_mean,rx_absmean,rx_rms,rx_std,rx_p2p,rx_q95,rx_q05,ry_mean,ry_absmean,ry_rms,ry_std,ry_p2p,ry_q95,ry_q05,rs_mean,rs_absmean,rs_rms,rs_std,rs_p2p,rs_q95,rs_q05
Exp2,2692,2692,13461.0,13480.0,13470.5,0,0,0,0.2709110649916275,0.2709110649916275,0.2915249539599958,0.1076233369765193,0.3685740187311096,0.4969364199485212,0.169269341688364,-0.2303327605510997,0.2303195196267645,0.2333575200885436,0.0375216085516622,0.1419417150461044,-0.1710622547541959,-0.2921566760129734,0.3615171150952357,0.3615171150952357,0.3734237060067807,0.0935140683141532,0.3486707645442758,0.57260824497986,0.2749340343482955
Exp2,2693,2693,13466.0,13485.0,13475.5,0,0,0,0.2709110649916275,0.2709317984476972,0.2914702567775201,0.1074331734331095,0.366755519684642,0.4967617446272522,0.1705612059444472,-0.2306714051123478,0.2306714051123478,0.2337724628757638,0.0379391222380813,0.1426842422350185,-0.1708965537571378,-0.2931219948138898,0.3617574164807448,0.3617574164807448,0.3736386569905033,0.0934473699989881,0.3495807007547654,0.57253659726754,0.2752552870247702
Exp2,2694,2694,13471.0,13490.0,13480.5,0,0,0,0.2709110649916275,0.2710263262373045,0.2917044464434741,0.1078449074096119,0.3677544818821087,0.4984499822089512,0.1705612059444472,-0.2307971830533727,0.2307971830533727,0.2339602556385622,0.0383365670593395,0.1438353973218696,-0.1698626199883667,-0.2936968433130574,0.3619980782955223,0.3619980782955223,0.3737440349859878,0.0937257574158041,0.3518625210537212,0.5740800389960208,0.275116717999162
Exp2,2695,2695,13476.0,13495.0,13485.5,0,0,0,0.270827871970817,0.270827871970817,0.2917412433612711,0.1084600292675355,0.371239977356224,0.5022054234048239,0.1705612059444472,-0.2308078897973619,0.2311442848306031,0.2343379550626245,0.0385526617812855,0.1438353973218696,-0.1698992040330001,-0.2946117904168509,0.3621590728627757,0.3621590728627757,0.3737440349859878,0.0941693885395383,0.3542580719338026,0.5772826347673482,0.2745667032949109
Exp2,2696,2696,13481.0,13500.0,13490.5,0,0,0,0.270205395246578,0.270205395246578,0.2912421176840147,0.1086605008294226,0.373799392747031,0.5019868653468342,0.1701555249345067,-0.2308078897973619,0.2310077050891485,0.2342220932246754,0.0386684271772025,0.1438353973218696,-0.169650357865353,-0.2946117904168509,0.361675843348512,0.361675843348512,0.3737440349859878,0.09418915990301,0.3562854592028791,0.5768630096382663,0.2733020903684485
Exp2,2697,2697,13486.0,13505.0,13495.5,0,0,0,0.2699280754089699,0.2699134751773212,0.291242474953154,0.1093803243149263,0.3770958188210949,0.5045685693234301,0.1692592875942071,-0.2308078897973619,0.2308078897973619,0.2340368704312117,0.0387371498820165,0.1434685242520353,-0.1696271722218114,-0.2946117904168509,0.3613965120244756,0.3613965120244756,0.3736902764711962,0.0947968594616908,0.3590295496809595,0.5791229367171812,0.2720694297679552
Exp2,2698,2698,13491.0,13510.0,13500.5,0,0,0,0.2699134751773212,0.2698187386304894,0.2912556111504298,0.1096485983681487,0.3791865849969737,0.5044329192290272,0.1682044593175295,-0.2307322397397359,0.2307322397397359,0.233968063321322,0.0387695414247201,0.1434685242520353,-0.1701074395443225,-0.2945053291355339,0.3612939110364364,0.3612939110364364,0.3736290359975182,0.095057825472217,0.3608194239762262,0.5792674814164072,0.2710047829610084
Exp2,2699,2699,13496.0,13515.0,13505.5,0,0,0,0.2698187386304894,0.2699280754089699,0.29166449182498,0.1104634923890492,0.3807582015647738,0.5049506649374912,0.1676898582550797,-0.2303297099656674,0.2303297099656674,0.233607990878713,0.0389915918666173,0.1433475504886078,-0.1696196050448059,-0.2943690344245956,0.361195926091954,0.361195926091954,0.3735962123045886,0.0957949713689517,0.3625788854111583,0.5799612731993948,0.2695628631247161
Exp2,2700,2700,13501.0,13520.0,13510.5,0,0,0,0.2692925315083158,0.2692925315083158,0.2913949167244132,0.1113141248729963,0.3831763482016345,0.5062483149737804,0.1655112519948848,-0.2293366803477017,0.2293366803477017,0.2325829003766236,0.0387142511656981,0.1433475504886078,-0.1688569399877379,-0.2916631973830151,0.3601632384375717,0.3601632384375717,0.3728363851485335,0.0963767491999855,0.3630608574654186,0.5808242862263323,0.268452687988901
Exp2,2701,2701,13506.0,13525.0,13515.5,0,0,0,0.2680146658141018,0.2680146658141018,0.2901042275813656,0.1110217983996437,0.3836468376555508,0.5038122436371262,0.1637223427058007,-0.2285708609713219,0.2285708609713219,0.2317724352729629,0.0383826309042998,0.1433475504886078,-0.1683371218708685,-0.2892985062417028,0.3587197980371791,0.3587197980371791,0.3713229028691546,0.0959132925055802,0.3620640805466321,0.5782418902591515,0.2677200884304244
Exp2,2702,2702,13511.0,13530.0,13520.5,0,0,0,0.2668448781742685,0.2668448781742685,0.2894309278269034,0.1120649940559341,0.3845209932228887,0.5047910916767601,0.1614808668904843,-0.2281404777671371,0.2281404777671371,0.231345263374616,0.0383682161828833,0.1431634460840338,-0.1678499793375809,-0.2877772090154177,0.3577063874124084,0.3577063874124084,0.3705305656680424,0.096624232751366,0.3619193219118028,0.5790598089367225,0.2668761564540111
Exp2,2703,2703,13516.0,13535.0,13525.5,0,0,0,0.2653448485985961,0.2653448485985961,0.2882526784771924,0.1125864938807947,0.3848487514671429,0.5042739690126904,0.1602827773891789,-0.2274553779327892,0.2274553779327892,0.230604107877432,0.0379736976601497,0.143154849980652,-0.1677835970147934,-0.2860414094414059,0.3562392050839954,0.3562392050839954,0.3691726064375065,0.0967509919250532,0.3615807467402792,0.5778291726698306,0.2660576048958573
Exp2,2704,2704,13521.0,13540.0,13530.5,0,0,0,0.2650443187709913,0.2650068600122121,0.288227161591467,0.1133147733378194,0.3856526042634673,0.5055239598792658,0.1602827773891789,-0.2274021244112681,0.2274021244112681,0.2305678369763938,0.0380721608330854,0.143154849980652,-0.1678123451263653,-0.2859032815391845,0.3560524871915176,0.3560524871915176,0.3691485066418208,0.0972741633129706,0.363057986550489,0.578992353376385,0.2654061580190645
Exp2,2705,2705,13526.0,13545.0,13535.5,0,0,0,0.2650443187709913,0.2650443187709913,0.2885608958121021,0.1140840008621683,0.3866643960896053,0.5065672217643366,0.1602827773891789,-0.2270728899153596,0.2270728899153596,0.2302573977800005,0.0381584780805869,0.143154849980652,-0.1677529877375332,-0.2859032815391845,0.3559142788212965,0.3559142788212965,0.3691059749054288,0.0980362383840275,0.3655052670153372,0.5799267240908432,0.265017346243261
Exp2,2706,2706,13531.0,13550.0,13540.5,0,0,0,0.2650443187709913,0.2648516401640727,0.2880981055932533,0.1133558544205368,0.3847447371375839,0.5051708844551227,0.1613849778831026,-0.22627665510789,0.22627665510789,0.2294690850882369,0.038138722041371,0.1432807292768144,-0.1673899758248633,-0.2860414094414059,0.3551245309690977,0.3551245309690977,0.3686424212700728,0.0976872809451362,0.36590880223225,0.5785672120867181,0.2645521362938072
