direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,adapter_frozen_fraction,event_status,fast_score,slow_score,residual_persistent,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3401,2,Exp2,V35_SlowResidual_OnlineAdaptation,3030.5,3100.5,3100.5,2.4168442635717033,1.0,unmatched_candidate_event,3.123573618754655,4.575199484622884,14.060005885636262,5542.5,5659.166666666667,5659.166666666667
Exp1_to_Exp2,Exp1,Exp2,3401,3,Exp2,V35_SlowResidual_OnlineAdaptation,6920.5,6955.5,7000.5,1.1560435077469917,1.0,unmatched_candidate_event,9.701381114018377,1.9035154741846267,14.584134549511823,12025.833333333334,12084.166666666666,12159.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,1,Exp2,V341_CalibrationOnly,950.5,950.5,980.5,1.8261399739549318,1.0,unmatched_candidate_event,,,,2081.0767310252995,2081.0767310252995,2131.0001664447404
Exp1_to_Exp2,Exp1,Exp2,3402,2,Exp2,V341_CalibrationOnly,3010.5,3045.5,3375.5,3.0823751363344187,1.0,unmatched_candidate_event,,,,5509.166666666667,5567.5,6117.5
Exp1_to_Exp2,Exp1,Exp2,3402,3,Exp2,V341_CalibrationOnly,3600.5,3610.5,3650.5,2.4545757558553736,1.0,unmatched_candidate_event,,,,6492.5,6509.166666666667,6575.833333333333
Exp1_to_Exp2,Exp1,Exp2,3402,4,Exp2,V341_CalibrationOnly,3895.5,3910.5,3970.5,3.819635452585512,1.0,unmatched_candidate_event,,,,6984.166666666667,7009.166666666667,7109.166666666667
Exp1_to_Exp2,Exp1,Exp2,3402,5,Exp2,V341_CalibrationOnly,4545.5,4550.5,4595.5,1.8703502200989142,1.0,unmatched_candidate_event,,,,8067.5,8075.833333333334,8150.833333333334
Exp1_to_Exp2,Exp1,Exp2,3402,6,Exp2,V341_CalibrationOnly,5100.5,5110.5,5270.5,3.744253868205765,1.0,unmatched_candidate_event,,,,8992.5,9009.166666666666,9275.833333333334
Exp1_to_Exp2,Exp1,Exp2,3402,7,Exp2,V341_CalibrationOnly,5705.5,5710.5,5730.5,1.9996575481803742,1.0,unmatched_candidate_event,,,,10000.833333333332,10009.166666666668,10042.5
Exp1_to_Exp2,Exp1,Exp2,3402,8,Exp2,V341_CalibrationOnly,6015.5,6080.5,6430.5,2.7146995554996503,1.0,unmatched_candidate_event,,,,10517.5,10625.833333333334,11209.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,9,Exp2,V341_CalibrationOnly,6905.5,6970.5,7275.5,3.081240038534516,1.0,unmatched_candidate_event,,,,12000.833333333334,12109.166666666666,12617.5
Exp1_to_Exp2,Exp1,Exp2,3402,10,Exp2,V341_CalibrationOnly,7810.5,7810.5,7830.5,1.8156486931137525,1.0,unmatched_candidate_event,,,,13509.166666666666,13509.166666666666,13542.5
Exp1_to_Exp2,Exp1,Exp2,3402,11,Exp2,V341_CalibrationOnly,8700.5,8725.5,8870.5,2.8465759285006107,1.0,unmatched_candidate_event,,,,14992.5,15034.166666666666,15275.833333333334
Exp1_to_Exp2,Exp1,Exp2,3402,12,Exp2,V341_CalibrationOnly,9300.5,9310.5,9715.5,4.383836852444676,0.9880952380952381,unmatched_candidate_event,,,,15992.5,16009.166666666666,16684.166666666668
Exp1_to_Exp2,Exp1,Exp2,3402,13,Exp2,V341_CalibrationOnly,9895.5,10530.5,11535.5,8.643127230940753,1.0,unmatched_candidate_event,,,,16984.166666666668,18042.5,19717.5
Exp1_to_Exp2,Exp1,Exp2,3402,14,Exp2,V341_CalibrationOnly,11700.5,11750.5,12015.5,3.6345020454203603,1.0,unmatched_candidate_event,,,,19992.5,20075.991649269312,20518.58037578288
Exp1_to_Exp2,Exp1,Exp2,3402,15,Exp2,V341_CalibrationOnly,12610.5,12625.5,12690.5,2.8052746142778795,1.0,unmatched_candidate_event,,,,21512.31732776618,21537.369519832984,21645.929018789146
Exp1_to_Exp2,Exp1,Exp2,3402,16,Exp2,V341_CalibrationOnly,13085.5,13215.5,13285.5,2.248083574058221,1.0,unmatched_candidate_event,,,,22305.636743215033,22522.75574112735,22639.665970772443
Exp1_to_Exp2,Exp1,Exp2,3402,1,Exp2,V341_OnlineAdaptation,755.5,800.5,870.5,1.496019719138846,1.0,unmatched_candidate_event,,,,1756.5744007989347,1831.4595539280958,1947.947569906791
