dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,effective_configuration_count,D_state_q25,D_state_q50,D_state_q75,D_state_mad,V1000_norm_q25,V1000_norm_q50,V1000_norm_q75,V1000_norm_mad,multi_scale_rate_divergence_q25,multi_scale_rate_divergence_q50,multi_scale_rate_divergence_q75,multi_scale_rate_divergence_mad,state_volatility_q25,state_volatility_q50,state_volatility_q75,state_volatility_mad
Exp1,3791,3791,18956.0,18975.0,18965.5,21438.819188191883,21461.254612546127,21450.036900369003,18965.5,21450.036900369003,48,3.7237487830913363,4.876206523531479,6.576847145622469,1.4331355864625799,0.04500619396556421,0.05351903252834238,0.0773617662496705,0.015962708022373814,0.1315340501666583,0.18355871372762878,0.28064472884995395,0.09236431562722025,0.3987811433129206,0.5562508191829141,0.8397097606042914,0.19174594159562927
Exp1,3792,3792,18961.0,18980.0,18970.5,21444.723247232472,21467.158671586716,21455.940959409592,18970.5,21455.940959409592,48,3.757825312596488,4.931499574574765,6.602219029171237,1.4338865241360748,0.03715549172784786,0.044077156446319536,0.06492618000870388,0.013019252038830736,0.13318582254805353,0.18080652945687326,0.29322426486446973,0.0952401550879445,0.3935060741295472,0.5531072581038772,0.8341501689318436,0.19009852093534949
Exp1,3793,3793,18966.0,18985.0,18975.5,21450.62730627306,21473.06273062731,21461.845018450185,18975.5,21461.845018450185,48,3.752152408594468,4.847357546608098,6.571131510979519,1.4789324541674536,0.0366479691527716,0.04414321841931815,0.06229415377947809,0.013536474769034534,0.14700904482224403,0.2592217360196768,0.33606776885655765,0.10965874643984591,0.3902198003740327,0.5508439400184961,0.8292167068225746,0.18834511930416845
Exp1,3794,3794,18971.0,18990.0,18980.5,21456.531365313655,21478.966789667895,21467.749077490775,18980.5,21467.749077490775,48,4.058067520669976,5.067897899148762,6.849358143293931,1.46381446985902,0.04731415470544009,0.05767738413250382,0.0936663067085823,0.012843279940942375,0.2871528605548239,0.4461534604574756,0.5671548453449926,0.1304256569710603,0.38941693104017583,0.5547630308407588,0.8294326678325419,0.18961408525600998
Exp1,3795,3795,18976.0,18995.0,18985.5,21462.435424354244,21484.870848708488,21473.653136531364,18985.5,21473.653136531364,48,4.134627174796171,5.163228633644051,6.899204676866561,1.471968239200216,0.0458673839687205,0.05731819138732925,0.09236605753710501,0.014877859810706068,0.30555002420195354,0.4872410721462038,0.6654118753661422,0.1806663078398073,0.38764991488197187,0.5561939420112518,0.8282364632972024,0.19109900268619825
Exp1,3796,3796,18981.0,19000.0,18990.5,21468.339483394833,21490.774907749077,21479.557195571957,18990.5,21479.557195571957,48,4.1365222310965795,5.171347043849353,6.917999358627659,1.4551403079680556,0.04950759304989815,0.05936237560316927,0.09294822272387032,0.013886908874639649,0.2901494994823968,0.4698168772636283,0.7060850117189058,0.20724895627382725,0.387002998143881,0.5557241772380425,0.8239781385881759,0.191231140472895
Exp1,3797,3797,18986.0,19005.0,18995.5,21474.243542435426,21496.678966789666,21485.461254612546,18995.5,21485.461254612546,48,4.1884773573879075,5.171226779901989,6.921411163370358,1.435632369173148,0.04552356382010468,0.05975876988942427,0.08975764038963695,0.015419218219666693,0.2349362605944616,0.44212938191514145,0.6308596226423184,0.20229523867594207,0.3869201583866552,0.553852999551119,0.8179952367704796,0.1900205062181226
Exp1,3798,3798,18991.0,19010.0,19000.5,21480.147601476012,21502.58302583026,21491.365313653136,19000.5,21491.365313653136,48,3.7902808701446924,5.1256789000518035,6.5516432314278195,1.4025017428103494,0.04962711048026189,0.06952935589963531,0.08914999957162825,0.01996618575614272,0.14596431804551804,0.2582284959518476,0.3442488120101026,0.10612431206190433,0.383133272906602,0.5481326738807352,0.810216867221677,0.18710779453095183
Exp1,3799,3799,18996.0,19015.0,19005.5,21486.051660516605,21508.48708487085,21497.26937269373,19005.5,21497.26937269373,48,3.721750191285518,5.029049698007471,6.441830910379487,1.4041249526673505,0.053518984142479804,0.07432907417147666,0.08756130675700766,0.0164650946695048,0.14830592730865694,0.21803574470606885,0.30357843146424857,0.08123815425235884,0.37827901556689936,0.5465225133259843,0.7997888445449708,0.19032582154644487
Exp1,3800,3800,19001.0,19020.0,19010.5,21491.955719557194,21514.391143911438,21503.173431734318,19010.5,21503.173431734318,48,3.7127799869421967,4.975933062669038,6.431685176698342,1.4110343109389194,0.05869445735135647,0.07983323731387909,0.0892875746598785,0.015607137895561556,0.16827069470644393,0.24185386113229645,0.33000193273069983,0.07625825036090195,0.3717517579894843,0.5424540343664621,0.7831963867019729,0.19323697873866763
Exp1,3801,3801,19006.0,19025.0,19015.5,21497.859778597784,21520.29520295203,21509.077490774907,19015.5,21509.077490774907,48,3.7231485313079977,4.91741505310471,6.514038581214962,1.38600245766001,0.07105762623383324,0.09851507498832843,0.1505504852799297,0.038513711224644614,0.1733547394952717,0.2568049574159088,0.31456879217544514,0.07635057653659123,0.3658402074696425,0.5365160139467973,0.7659806233448985,0.19545602080841495
Exp1,3802,3802,19011.0,19030.0,19020.5,21503.763837638377,21526.19926199262,21514.9815498155,19020.5,21514.9815498155,48,3.727468174701298,4.905133474489485,6.538418967921665,1.4008127028700934,0.0813173041916954,0.10653713368903008,0.14224425269526314,0.03102576420194013,0.19146285271170266,0.26416921938215066,0.35622862130843447,0.08850401177768843,0.3620945416276527,0.5301624630786802,0.751549661832092,0.19421283045032586
Exp1,3803,3803,19016.0,19035.0,19025.5,21509.667896678966,21532.10332103321,21520.88560885609,19025.5,21520.88560885609,48,3.7907335430720157,5.02829959321318,6.552985218796961,1.4112495335693764,0.06440348917999819,0.09272450339991928,0.13822898698816885,0.033619325060268934,0.269739091434429,0.3442898121624054,0.4252550874600615,0.07742651635914677,0.35804412289410364,0.5266049164706941,0.7314209285351596,0.19728549734801096
Exp1,3804,3804,19021.0,19040.0,19030.5,21515.571955719555,21538.007380073803,21526.78966789668,19030.5,21526.78966789668,48,3.833563610553707,5.066070050739967,6.6134255518494935,1.4126301603812044,0.05815034857037665,0.07840698686836639,0.13356986158715423,0.033828680435253784,0.2827572304061261,0.39139972832838776,0.468058877812159,0.09324111636940707,0.3507656262652461,0.521444117301278,0.7148093906177295,0.18944016187419144
Exp1,3805,3805,19026.0,19045.0,19035.5,21521.47601476015,21543.91143911439,21532.693726937272,19035.5,21532.693726937272,48,3.8138566481223943,5.060496890984863,6.5606241260061955,1.4090360898654428,0.04462911750114597,0.06598708332501113,0.07696038404842423,0.017763998848678922,0.321911579921085,0.4048577376496198,0.4999653661690484,0.09218640676833253,0.34347155114526706,0.5105466217680681,0.6957944012368218,0.18194184470166852
Exp1,3806,3806,19031.0,19050.0,19040.5,21527.38007380074,21549.81549815498,21538.597785977858,19040.5,21538.597785977858,48,3.850454371309022,5.061533080681827,6.566655200510834,1.404294808033721,0.03940282452047007,0.05892804330863169,0.07919841280834011,0.019897544097755886,0.28030145787109984,0.35984650369908217,0.4408965276967891,0.08208706256963919,0.3387596835450389,0.5021785342627015,0.6756651646270035,0.1751102215123338
Exp1,3807,3807,19036.0,19055.0,19045.5,21533.284132841327,21555.71955719557,21544.50184501845,19045.5,21544.50184501845,48,3.84345322119267,4.989612152564922,6.574094282408284,1.3903326604861717,0.05005876773881689,0.07317911919964792,0.08679194109173419,0.016105784718788967,0.17863458501509058,0.25362742882339984,0.3766808723293794,0.09965660875729342,0.3363661992011338,0.4844417543609276,0.6569909996612198,0.16300059517197468
Exp1,3808,3808,19041.0,19060.0,19050.5,21539.18819188192,21561.62361623616,21550.40590405904,19050.5,21550.40590405904,48,3.8200364249717382,5.036951535845505,6.516554728599762,1.3524752779918177,0.05634324053680637,0.0799358067694405,0.09908025194206883,0.020421085014734386,0.20810734823206536,0.33581364935587965,0.5512887966099247,0.1659462543149332,0.332408999401563,0.46788144142441657,0.6471367837465463,0.16108315566531967
Exp1,3809,3809,19046.0,19065.0,19055.5,21545.09225092251,21567.527675276753,21556.30996309963,19055.5,21556.30996309963,48,3.8526132931651835,5.066358127935933,6.575853502146284,1.378323049289933,0.06867202104277545,0.08931816577289992,0.10426522392557792,0.018066615150264927,0.161135547312858,0.23338021596093675,0.3447408567325872,0.10835033298240421,0.32963303433448765,0.45358873699943136,0.6315116506454096,0.16147243749869253
Exp1,3810,3810,19051.0,19070.0,19060.5,21550.9963099631,21573.431734317342,21562.214022140222,19060.5,21562.214022140222,48,3.8866885591953135,5.217000694716969,6.688839698420471,1.4110887517883541,0.06470374359226709,0.08441015002904206,0.10056167108909198,0.018221031446777045,0.28890248808557367,0.39774641140258726,0.47821162002238915,0.09998211352585956,0.3217895588453513,0.4453501790168394,0.6149528114248085,0.16061620327865334
Exp1,3811,3811,19056.0,19075.0,19065.5,21556.90036900369,21579.335793357932,21568.11808118081,19065.5,21568.11808118081,48,3.9164546226533323,5.314972792134864,6.774009096799598,1.4216480508143434,0.052644311085157276,0.07345676228938267,0.09749432469718444,0.022091985426413167,0.3467026519189542,0.5015391962683287,0.6116977475893776,0.12415906662954487,0.31245077704708535,0.4416922457104364,0.6140667278836113,0.15171714707996364
Exp1,3812,3812,19061.0,19080.0,19070.5,21562.80442804428,21585.239852398525,21574.0221402214,19070.5,21574.0221402214,48,3.909325057642448,5.298632231979941,6.756551056648506,1.4214548652654333,0.06117447616316691,0.07792660580946277,0.0956166837323439,0.017772942618651318,0.3201944505485941,0.4667629865506876,0.572042449264845,0.12434156039750141,0.3036509766143614,0.4382078112978753,0.5984152577520057,0.14551680287446586
Exp1,3813,3813,19066.0,19085.0,19075.5,21568.70848708487,21591.143911439114,21579.926199261994,19075.5,21579.926199261994,48,3.9368338340286084,5.365471409355672,6.804419716045514,1.4371656521966458,0.06613605699912317,0.0833664311755685,0.1029013571926969,0.018529441210490036,0.4084602671439485,0.6198659570248849,0.7539221687738775,0.17776791155409505,0.2972767572376728,0.4364613940830846,0.5835173009874016,0.14272844098655169
Exp1,3814,3814,19071.0,19090.0,19080.5,21574.612546125463,21597.047970479704,21585.830258302583,19080.5,21585.830258302583,48,3.855419902477533,5.193956637836923,6.627809706813268,1.3852238929902896,0.06944739984020687,0.08450793235862611,0.10634359866503793,0.020669210938746713,0.21715579262318113,0.4223446314217172,0.7778627850551798,0.24166232679658362,0.2878563988390819,0.4325287874725334,0.5692492998909662,0.13874735899921992
Exp1,3815,3815,19076.0,19095.0,19085.5,21580.516605166053,21602.952029520296,21591.734317343173,19085.5,21591.734317343173,48,4.074995053602551,5.281218828432454,6.773913008213949,1.4473911019583263,0.05450234434538335,0.07434822942722903,0.10364433781273645,0.024779399892849097,0.20996353202565957,0.3542954437779734,0.5690560959564284,0.17467495853437776,0.2790193770876793,0.4289031164740136,0.5493856812436226,0.13279270802191284
Exp1,3816,3816,19081.0,19100.0,19090.5,21586.420664206642,21608.856088560886,21597.638376383766,19090.5,21597.638376383766,48,4.098627087954676,5.308136528679615,6.809754992005617,1.4607225583070362,0.053178175030928004,0.0705062185096736,0.11001392571163096,0.028835003956440224,0.1701676930556848,0.31049911339038005,0.4566474431597406,0.1426365019978116,0.2785170966784153,0.4159216510235223,0.53689999855526,0.12932147374928255
Exp1,3817,3817,19086.0,19105.0,19095.5,21592.324723247235,21614.760147601475,21603.54243542435,19095.5,21603.54243542435,48,4.094485046777845,5.331542023996846,6.800715314454724,1.4566786683989457,0.06425228085265744,0.08099684281999193,0.11161384593433579,0.02340410405837552,0.14069464144211935,0.23445076446331356,0.31714292391092574,0.08883067760517413,0.2783672585772459,0.408022147842378,0.5272837984871837,0.12397970441397099
