window_index,ablation,state,support,drift,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,direction_id
9114,B3_DYNAMIC_PROTOTYPE,1,0,0.0,-0.07949551939964294,-0.3537544906139374,-0.21992549300193787,-0.3985079526901245,-0.11754745990037918,-0.4340685307979584,-0.1936851590871811,0.3495062291622162,0.06715124845504761,-0.3896629214286804,0.12856070697307587,-0.24120545387268066,-0.04209016636013985,-0.17515957355499268,0.05152318254113197,0.03276624530553818,Exp2_to_Exp1
9114,B3_DYNAMIC_PROTOTYPE,2,3,0.03855445981025696,0.08640735596418381,-0.17486001551151276,-0.2244476079940796,-0.3183417022228241,0.05596031993627548,-0.25525444746017456,-0.2500195801258087,0.322663813829422,0.04021994024515152,-0.21825368702411652,-0.11162295937538147,-0.05744223669171333,0.11804782599210739,0.06229190528392792,-0.11038433760404587,-0.09902076423168182,Exp2_to_Exp1
9114,B3_DYNAMIC_PROTOTYPE,3,79,0.1863507330417633,-0.07299122959375381,-0.31451141834259033,-0.21211190521717072,-0.4066084325313568,-0.1549173891544342,-0.43035873770713806,-0.1593778431415558,0.3803623914718628,0.04922763258218765,-0.41677963733673096,0.07125058025121689,-0.20846056938171387,0.04966897517442703,-0.14134451746940613,-0.01572057604789734,0.05470622703433037,Exp2_to_Exp1
9114,B3_DYNAMIC_PROTOTYPE,4,16,0.07424148172140121,0.27315524220466614,0.06119837239384651,-0.16836826503276825,-0.06729581952095032,0.19562621414661407,0.20541825890541077,-0.3004628121852875,0.08010709285736084,0.003875626716762781,0.19947677850723267,-0.4629547894001007,0.19576998054981232,0.22551225125789642,0.23353300988674164,-0.2124641090631485,-0.248554989695549,Exp2_to_Exp1
9114,B3_DYNAMIC_PROTOTYPE,5,0,0.0,0.3098906874656677,0.23625676333904266,-0.06777305901050568,0.13691680133342743,0.2237463891506195,0.3528079688549042,-0.1356029361486435,-0.09639833122491837,-0.05799226462841034,0.34935975074768066,-0.41691794991493225,0.30063822865486145,0.21318796277046204,0.29652971029281616,-0.13624370098114014,-0.1911953240633011,Exp2_to_Exp1
9114,B4_TEACHER_MEMORY,1,0,0.0,-0.07949551939964294,-0.3537544906139374,-0.21992549300193787,-0.3985079526901245,-0.11754745990037918,-0.4340685307979584,-0.1936851590871811,0.3495062291622162,0.06715124845504761,-0.3896629214286804,0.12856070697307587,-0.24120545387268066,-0.04209016636013985,-0.17515957355499268,0.05152318254113197,0.03276624530553818,Exp2_to_Exp1
9114,B4_TEACHER_MEMORY,2,3,0.03855445981025696,0.08640735596418381,-0.17486001551151276,-0.2244476079940796,-0.3183417022228241,0.05596031993627548,-0.25525444746017456,-0.2500195801258087,0.322663813829422,0.04021994024515152,-0.21825368702411652,-0.11162295937538147,-0.05744223669171333,0.11804782599210739,0.06229190528392792,-0.11038433760404587,-0.09902076423168182,Exp2_to_Exp1
9114,B4_TEACHER_MEMORY,3,79,0.1863507330417633,-0.07299122959375381,-0.31451141834259033,-0.21211190521717072,-0.4066084325313568,-0.1549173891544342,-0.43035873770713806,-0.1593778431415558,0.3803623914718628,0.04922763258218765,-0.41677963733673096,0.07125058025121689,-0.20846056938171387,0.04966897517442703,-0.14134451746940613,-0.01572057604789734,0.05470622703433037,Exp2_to_Exp1
9114,B4_TEACHER_MEMORY,4,16,0.07424148172140121,0.27315524220466614,0.06119837239384651,-0.16836826503276825,-0.06729581952095032,0.19562621414661407,0.20541825890541077,-0.3004628121852875,0.08010709285736084,0.003875626716762781,0.19947677850723267,-0.4629547894001007,0.19576998054981232,0.22551225125789642,0.23353300988674164,-0.2124641090631485,-0.248554989695549,Exp2_to_Exp1
9114,B4_TEACHER_MEMORY,5,0,0.0,0.3098906874656677,0.23625676333904266,-0.06777305901050568,0.13691680133342743,0.2237463891506195,0.3528079688549042,-0.1356029361486435,-0.09639833122491837,-0.05799226462841034,0.34935975074768066,-0.41691794991493225,0.30063822865486145,0.21318796277046204,0.29652971029281616,-0.13624370098114014,-0.1911953240633011,Exp2_to_Exp1
9114,B5_TEMPORAL_RANKING,1,0,0.0,-0.07949551939964294,-0.3537544906139374,-0.21992549300193787,-0.3985079526901245,-0.11754745990037918,-0.4340685307979584,-0.1936851590871811,0.3495062291622162,0.06715124845504761,-0.3896629214286804,0.12856070697307587,-0.24120545387268066,-0.04209016636013985,-0.17515957355499268,0.05152318254113197,0.03276624530553818,Exp2_to_Exp1
9114,B5_TEMPORAL_RANKING,2,4,0.03935396298766136,0.089431993663311,-0.18084049224853516,-0.2276078313589096,-0.32140055298805237,0.05220528319478035,-0.2534962296485901,-0.25051379203796387,0.32452043890953064,0.039981111884117126,-0.219729945063591,-0.11411218345165253,-0.05918660759925842,0.11986013501882553,0.0585537813603878,-0.11223510652780533,-0.10153789818286896,Exp2_to_Exp1
9114,B5_TEMPORAL_RANKING,3,180,0.1864968091249466,-0.04052465036511421,-0.3101635277271271,-0.2693941295146942,-0.406572550535202,-0.13545028865337372,-0.4015370309352875,-0.1923220008611679,0.40626397728919983,0.07182720303535461,-0.45939505100250244,0.021183522418141365,-0.15692192316055298,0.0771472156047821,-0.12662893533706665,-0.07023455202579498,0.029153654351830482,Exp2_to_Exp1
9114,B5_TEMPORAL_RANKING,4,19,0.06421862542629242,0.289217472076416,0.09696980565786362,-0.1459631472826004,-0.06819309294223785,0.2007639855146408,0.20673927664756775,-0.31743812561035156,0.07415944337844849,-0.009305519983172417,0.2377789318561554,-0.45677849650382996,0.19812168180942535,0.2109547257423401,0.2479042410850525,-0.183585524559021,-0.2404564768075943,Exp2_to_Exp1
9114,B5_TEMPORAL_RANKING,5,0,0.0,0.3098906874656677,0.23625676333904266,-0.06777305901050568,0.13691680133342743,0.2237463891506195,0.3528079688549042,-0.1356029361486435,-0.09639833122491837,-0.05799226462841034,0.34935975074768066,-0.41691794991493225,0.30063822865486145,0.21318796277046204,0.29652971029281616,-0.13624370098114014,-0.1911953240633011,Exp2_to_Exp1
9114,B6_FULL_ADAPTATION,1,0,0.0,-0.07949551939964294,-0.3537544906139374,-0.21992549300193787,-0.3985079526901245,-0.11754745990037918,-0.4340685307979584,-0.1936851590871811,0.3495062291622162,0.06715124845504761,-0.3896629214286804,0.12856070697307587,-0.24120545387268066,-0.04209016636013985,-0.17515957355499268,0.05152318254113197,0.03276624530553818,Exp2_to_Exp1
9114,B6_FULL_ADAPTATION,2,4,0.03936363011598587,0.08942507952451706,-0.18084202706813812,-0.22760863602161407,-0.321338415145874,0.052187349647283554,-0.2535383403301239,-0.2505033016204834,0.3245376646518707,0.039919525384902954,-0.2197704017162323,-0.11410199850797653,-0.05920717492699623,0.11984329670667648,0.05857555568218231,-0.11222653836011887,-0.10152817517518997,Exp2_to_Exp1
9114,B6_FULL_ADAPTATION,3,180,0.18737173080444336,-0.041008684784173965,-0.3095535635948181,-0.26960527896881104,-0.40563589334487915,-0.13547657430171967,-0.4017014503479004,-0.19219635426998138,0.4068588614463806,0.0715535581111908,-0.4598691165447235,0.02151811495423317,-0.15672838687896729,0.07746130973100662,-0.12622739374637604,-0.07043818384408951,0.02945505827665329,Exp2_to_Exp1
9114,B6_FULL_ADAPTATION,4,19,0.0642441138625145,0.28917860984802246,0.09702068567276001,-0.14590846002101898,-0.06753417104482651,0.20088379085063934,0.20636871457099915,-0.31736063957214355,0.07413909584283829,-0.01001648884266615,0.23772253096103668,-0.4567476809024811,0.1981072574853897,0.2109062522649765,0.24838806688785553,-0.18345604836940765,-0.2406536191701889,Exp2_to_Exp1
9114,B6_FULL_ADAPTATION,5,0,0.0,0.3098906874656677,0.23625676333904266,-0.06777305901050568,0.13691680133342743,0.2237463891506195,0.3528079688549042,-0.1356029361486435,-0.09639833122491837,-0.05799226462841034,0.34935975074768066,-0.41691794991493225,0.30063822865486145,0.21318796277046204,0.29652971029281616,-0.13624370098114014,-0.1911953240633011,Exp2_to_Exp1
