ablation,memory_stage,window_index,confidence,entropy,TES,direction_id
B4_TEACHER_MEMORY,3,3669,0.9951936172578166,0.03331952099006556,0.2165507656144767,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3670,0.9951536684263997,0.03357192967542405,0.1606464691428268,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3671,0.9951655942374356,0.033497996158508875,0.1606464691428268,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3672,0.9950745918993577,0.03406887870911258,0.1606464691428268,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3673,0.9951808424801145,0.03340390090905932,0.3310074912684525,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3674,0.9951940230939825,0.03331743343773933,0.1528587664682754,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3675,0.9952285040648222,0.0331013630838393,0.5796683364669839,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3676,0.9952285273253222,0.033099903534161645,0.8701085891306384,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3677,0.9952402313617352,0.03302651754249368,0.7438865405678609,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3678,0.9952619236161223,0.03289363185499281,0.7262760865615272,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3679,0.9952629747802476,0.03288623946118162,0.5880327604873292,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3680,0.9952522756097889,0.03295169316852483,0.5058391042513495,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3681,0.9952448174989879,0.03299762646319786,0.4222141081354887,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3682,0.9952550444976204,0.03293492950460924,0.3436284325525744,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3683,0.9952531341886325,0.03294820381750399,0.0853430120974855,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3684,0.995228676164587,0.03309944495548918,0.2384512297867336,Exp2_to_Exp1
B4_TEACHER_MEMORY,3,3685,0.9952122694671517,0.03320158252725231,0.2539481898575282,Exp2_to_Exp1
