dataset,direction_id,window_id,window_index,center_cycle,stage_label,stage,Hx,Hy,AWR_M3_equal,AWR_M3_weighted,alpha_x,alpha_y
Exp1,Exp1_to_Exp2,83,83,425.5,Stage 1,1,-0.31581068200085693,0.14548903327554252,-0.0851608243626572,0.053229090220262634,0.2,0.8
Exp1,Exp1_to_Exp2,84,84,430.5,Stage 1,1,-0.35169013707665,0.1049148384823983,-0.12338764929712584,0.013593843370588637,0.2,0.8
Exp1,Exp1_to_Exp2,85,85,435.5,Stage 1,1,-0.3974182745265117,0.11655868197461272,-0.14042979627594948,0.013763290674387835,0.2,0.8
Exp1,Exp1_to_Exp2,86,86,440.5,Stage 1,1,-0.2944217426722586,0.07268692374815783,-0.1108674094620504,-0.0007348095359254667,0.2,0.8
Exp1,Exp1_to_Exp2,87,87,445.5,Stage 1,1,-0.19241558854165441,0.13898971487082315,-0.026712936835415632,0.07270865418832764,0.2,0.8
Exp1,Exp1_to_Exp2,88,88,450.5,Stage 1,1,-0.15703449077120538,0.19771929329590404,0.020342401262349333,0.12676853648248215,0.2,0.8
Exp1,Exp1_to_Exp2,89,89,455.5,Stage 1,1,-0.29801177470384355,0.1494742694753894,-0.07426875261422708,0.059977060639542806,0.2,0.8
Exp1,Exp1_to_Exp2,90,90,460.5,Stage 1,1,-0.36972843650822795,0.2052645292016569,-0.08223195365328553,0.09026593605967993,0.2,0.8
Exp1,Exp1_to_Exp2,91,91,465.5,Stage 1,1,-0.34081403675705646,0.15853407197984692,-0.09113998238860477,0.05866445023246626,0.2,0.8
Exp1,Exp1_to_Exp2,92,92,470.5,Stage 1,1,-0.38742000439884056,0.1261408589754551,-0.13063957271169274,0.02342868630059597,0.2,0.8
Exp1,Exp1_to_Exp2,93,93,475.5,Stage 1,1,-0.2887412213642143,0.18422942486350954,-0.05225589825035239,0.08963529561796477,0.2,0.8
Exp1,Exp1_to_Exp2,94,94,480.5,Stage 1,1,-0.2988983992649045,0.21558466784702468,-0.04165686570893992,0.11268805442463883,0.2,0.8
Exp1,Exp1_to_Exp2,95,95,485.5,Stage 1,1,-0.35222845274726367,0.2025460728431422,-0.07484118995206074,0.09159116772506101,0.2,0.8
Exp1,Exp1_to_Exp2,96,96,490.5,Stage 1,1,-0.2552599947685083,0.2532526837464324,-0.0010036555110379541,0.15155014804344427,0.2,0.8
Exp1,Exp1_to_Exp2,97,97,495.5,Stage 1,1,-0.27831359933078165,0.3296155687355755,0.025650984702396934,0.2080297351223041,0.2,0.8
Exp1,Exp1_to_Exp2,98,98,500.5,Stage 1,1,-0.0010708491862238267,0.9803241862700864,0.4896266685419313,0.7840451791788244,0.2,0.8
Exp1,Exp1_to_Exp2,99,99,505.5,Stage 1,1,-0.06734952673256733,1.0513441409029338,0.49199730708518324,0.8276054073758337,0.2,0.8
Exp1,Exp1_to_Exp2,100,100,510.5,Stage 1,1,-0.16162218738979858,1.085412985027947,0.4618953988190742,0.8360059505443979,0.2,0.8
Exp1,Exp1_to_Exp2,101,101,515.5,Stage 1,1,-0.1767121294513426,1.0640468910243683,0.44366738078651285,0.8158950869292262,0.2,0.8
Exp1,Exp1_to_Exp2,102,102,520.5,Stage 1,1,-0.5093037466360959,0.42568638024912464,-0.04180868319348563,0.23868835487208057,0.2,0.8
Exp1,Exp1_to_Exp2,103,103,525.5,Stage 1,1,-0.4599825665259015,0.512803334773469,0.026410384123783714,0.31824615451359484,0.2,0.8
Exp1,Exp1_to_Exp2,104,104,530.5,Stage 1,1,-0.38336547493563555,0.547801494390708,0.08221800972753623,0.36156810052543936,0.2,0.8
Exp1,Exp1_to_Exp2,105,105,535.5,Stage 1,1,-0.4500819015217101,0.602349244266426,0.07613367137235794,0.39186301510879884,0.2,0.8
Exp1,Exp1_to_Exp2,106,106,540.5,Stage 1,1,-0.5336623076820899,0.6309158039600692,0.04862674813898965,0.39800018163163736,0.2,0.8
Exp1,Exp1_to_Exp2,107,107,545.5,Stage 1,1,-0.5966683073695732,0.5819818508155806,-0.007343228276996294,0.34625181917854986,0.2,0.8
Exp1,Exp1_to_Exp2,108,108,550.5,Stage 1,1,-0.6858504821656994,0.526517734089454,-0.07966637403812271,0.2840440908384233,0.2,0.8
Exp1,Exp1_to_Exp2,109,109,555.5,Stage 1,1,-0.6276310854376087,0.46229964917064287,-0.08266571813348292,0.2443135022489926,0.2,0.8
Exp1,Exp1_to_Exp2,110,110,560.5,Stage 1,1,-0.6667111324970388,0.4636512646841724,-0.10152993390643322,0.23757878524793016,0.2,0.8
Exp1,Exp1_to_Exp2,111,111,565.5,Stage 1,1,-0.730336379908324,0.450338345492633,-0.1399990172078455,0.21420340041244162,0.2,0.8
Exp1,Exp1_to_Exp2,112,112,570.5,Stage 1,1,-0.7392460859874921,0.478163983406277,-0.13054105129060753,0.2346819695275232,0.2,0.8
Exp1,Exp1_to_Exp2,113,113,575.5,Stage 1,1,-0.8044545540031647,0.5018081475660651,-0.1513232032185498,0.24055560725221914,0.2,0.8
Exp1,Exp1_to_Exp2,114,114,580.5,Stage 1,1,-0.7639928299502492,0.5260496885914747,-0.11897157067938724,0.26804118488313,0.2,0.8
Exp1,Exp1_to_Exp2,115,115,585.5,Stage 1,1,-0.7231437981212367,0.5344789148210132,-0.09433244165011179,0.28295437223256326,0.2,0.8
Exp1,Exp1_to_Exp2,116,116,590.5,Stage 1,1,-0.7630612338592736,0.5559131435096719,-0.10357404517480084,0.2921182680358828,0.2,0.8
Exp1,Exp1_to_Exp2,117,117,595.5,Stage 1,1,-0.7519513459201173,0.6117310694939431,-0.07011013821308709,0.338994586411131,0.2,0.8
Exp1,Exp1_to_Exp2,118,118,600.5,Stage 1,1,-0.7550236633787804,0.5639725477100019,-0.09552555783438921,0.30017330549224547,0.2,0.8
Exp1,Exp1_to_Exp2,119,119,605.5,Stage 1,1,-0.3989516214566743,1.0158569899389542,0.30845268424114,0.7328952676598286,0.2,0.8
Exp1,Exp1_to_Exp2,120,120,610.5,Stage 1,1,-0.36495481672090807,1.041320768326686,0.33818297580288903,0.7600656513171673,0.2,0.8
Exp1,Exp1_to_Exp2,121,121,615.5,Stage 1,1,-0.35519665899969743,0.9866129201104856,0.3157081305553941,0.718251004288449,0.2,0.8
Exp1,Exp1_to_Exp2,122,122,620.5,Stage 1,1,-0.41942159382870736,1.0449670050983424,0.3127727056348175,0.7520892853129324,0.2,0.8
Exp1,Exp1_to_Exp2,123,123,625.5,Stage 1,1,-0.8095603753369398,0.5785712216855754,-0.1154945768256822,0.30094490228107235,0.2,0.8
Exp1,Exp1_to_Exp2,124,124,630.5,Stage 1,1,-0.8022672154467916,0.5171444653268827,-0.14256137505995442,0.2532621291721479,0.2,0.8
Exp1,Exp1_to_Exp2,125,125,635.5,Stage 1,1,-0.829460822107807,0.5060258585305378,-0.1617174817886346,0.23892852240286888,0.2,0.8
Exp1,Exp1_to_Exp2,126,126,640.5,Stage 1,1,-0.7721085786618103,0.4680942920354916,-0.15200714331315934,0.22005371789603123,0.2,0.8
Exp1,Exp1_to_Exp2,127,127,645.5,Stage 1,1,-0.8001695266476573,0.45806331665775346,-0.1710531049949519,0.20641674799667134,0.2,0.8
Exp1,Exp1_to_Exp2,128,128,650.5,Stage 1,1,-0.8110780676393561,0.428878329298352,-0.19109986917050203,0.1808870499108104,0.2,0.8
Exp1,Exp1_to_Exp2,129,129,655.5,Stage 1,1,-0.8409717360235774,0.4040547710398412,-0.2184584824918681,0.1550494696271575,0.2,0.8
Exp1,Exp1_to_Exp2,130,130,660.5,Stage 1,1,-0.8813747202442812,0.3384809705925766,-0.2714468748258523,0.09450983242520505,0.2,0.8
Exp1,Exp1_to_Exp2,131,131,665.5,Stage 1,1,-0.9167030038519732,0.283566627127945,-0.3165681883620141,0.04351270093196136,0.2,0.8
Exp1,Exp1_to_Exp2,132,132,670.5,Stage 1,1,-1.0494704076586756,0.3057232051447837,-0.37187360125694596,0.03468448258409182,0.2,0.8
Exp1,Exp1_to_Exp2,133,133,675.5,Stage 1,1,-1.0967318517830065,0.3186752175776702,-0.38902831710266816,0.03559380370553483,0.2,0.8
Exp1,Exp1_to_Exp2,134,134,680.5,Stage 1,1,-1.1494874063954776,0.3429930699283895,-0.40324716823354406,0.04449697466361607,0.2,0.8
Exp1,Exp1_to_Exp2,135,135,685.5,Stage 1,1,-1.1725437616074899,0.3979645634477925,-0.38728959907984867,0.08386289843673606,0.2,0.8
Exp1,Exp1_to_Exp2,136,136,690.5,Stage 1,1,-1.1477585851774301,0.3919930765598478,-0.37788275430879115,0.08404274421239222,0.2,0.8
Exp1,Exp1_to_Exp2,137,137,695.5,Stage 1,1,-1.2271039396703447,0.3631260817889861,-0.4319889289406793,0.0450800774971199,0.2,0.8
Exp1,Exp1_to_Exp2,138,138,700.5,Stage 1,1,-1.2864445734132959,0.30672356107739385,-0.489860506167951,-0.011910065820744109,0.2,0.8
Exp1,Exp1_to_Exp2,139,139,705.5,Stage 1,1,-1.3315099474998546,0.3046296951762804,-0.5134401261617871,-0.022598233358946562,0.2,0.8
Exp1,Exp1_to_Exp2,140,140,710.5,Stage 1,1,-1.3929035876345908,0.29017648534702606,-0.5513635511437823,-0.046439529249297284,0.2,0.8
Exp1,Exp1_to_Exp2,141,141,715.5,Stage 1,1,-0.3132837070636793,1.080843361337124,0.3837798271367223,0.8020179476569633,0.2,0.8
Exp1,Exp1_to_Exp2,142,142,720.5,Stage 1,1,-0.3540024003087767,1.1724889105117011,0.4092432551014622,0.8671906483476056,0.2,0.8
Exp1,Exp1_to_Exp2,143,143,725.5,Stage 1,1,-0.36391307756049857,1.21111662745624,0.42360177494787066,0.8961106864528923,0.2,0.8
Exp1,Exp1_to_Exp2,144,144,730.5,Stage 1,1,-0.40951035944117714,1.1892496506143746,0.38986964558659876,0.8694976486032643,0.2,0.8
Exp1,Exp1_to_Exp2,145,145,735.5,Stage 1,1,-1.396375621895989,0.43912231959561654,-0.47862665115018627,0.07202273129729542,0.2,0.8
Exp1,Exp1_to_Exp2,146,146,740.5,Stage 1,1,-1.3449811062418398,0.42610276491766186,-0.45943917066208895,0.07188599068576151,0.2,0.8
Exp1,Exp1_to_Exp2,147,147,745.5,Stage 1,1,-1.3266400512742458,0.386340704535724,-0.4701496733692609,0.043744553373730066,0.2,0.8
Exp1,Exp1_to_Exp2,148,148,750.5,Stage 1,1,-1.2652908282369428,0.3349510332441625,-0.46516989749639015,0.014902660947941404,0.2,0.8
Exp1,Exp1_to_Exp2,149,149,755.5,Stage 1,1,-1.3635907267002758,0.2809329252833596,-0.5413289007084581,-0.04797180511336746,0.2,0.8
Exp1,Exp1_to_Exp2,150,150,760.5,Stage 1,1,-1.387168072088934,0.23573708210718114,-0.5757154949908764,-0.08884394873204188,0.2,0.8
Exp1,Exp1_to_Exp2,151,151,765.5,Stage 1,1,-1.3926394274685294,0.16820154436030554,-0.6122189415541119,-0.14396665000546144,0.2,0.8
Exp1,Exp1_to_Exp2,152,152,770.5,Stage 1,1,-1.3901758735899528,0.1717218647022084,-0.6092270044438721,-0.14065768295622383,0.2,0.8
