dataset,entry_cycle,window_id,window_index,center_cycle,elapsed_time_since_entry,progression_prior,progression_adapted,progression_score,target_local_score,elapsed_time_since_entry_score,local_distance,local_speed_1000,local_rate_divergence_100_1000,local_volatility_500,activity_score_local,activity_score,adapter_enabled,adapter_update_applied,adapter_update_reason,adapter_parameter_norm,target_pair_count,target_pair_latest_cycle,lambda_t,ood_ratio,state_uncertainty,source_frozen_hash,uncertainty_feature_config_dispersion,uncertainty_ood,uncertainty_target_pair_evidence,uncertainty_prior_adapted_disagreement,uncertainty_adapter_boundary,uncertainty_local_volatility_or_gate,direction,source_dataset,target_dataset
Exp1,8000.0,6872,6872,34370.5,26370.5,0.8414977138220967,0.8000610279760662,0.8000610279760662,0.9997161300795039,0.7017070023017257,13.289999530015997,2.2231784298836854,2.709418813191743,1.7532368924393205,0.9770767452978764,0.9770767452978764,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1502634438579669,0.45337479124213176,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.05963442649622106,0.32513172192898343,1.0,0.04143668584603055,0.9433985346936912,0.3506473784878641,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6873,6873,34375.5,26375.5,0.8437474456169416,0.8018558351882257,0.8018558351882257,0.9997074083307008,0.7018400500259443,13.244600122651997,2.1836134209793583,2.5557539185899003,1.7657085299516675,0.9741789354136253,0.9741789354136253,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1520311105659091,0.4540617705297713,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.059923216782932394,0.32601555528295456,1.0,0.04189161042871592,0.9433985346936912,0.3531417059903335,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6874,6874,34380.5,26380.5,0.8419502767929022,0.8010052379758671,0.8010052379758671,0.9997484252867274,0.701973097750163,13.471187890749412,2.225989116580509,3.322585881674243,1.7811858112743886,0.9850176048424151,0.9850176048424151,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1507692376279413,0.45383965059196774,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.05707254897223169,0.3253846188139706,1.0,0.04094503881703515,0.9433985346936912,0.3562371622548777,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6875,6875,34385.5,26385.5,0.8395033298530954,0.798478549336354,0.798478549336354,0.9997616134097032,0.7021061454743817,13.551967279905822,2.24721579585239,3.775277804237576,1.795639195209079,0.9891585315831867,0.9891585315831867,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1502017429719897,0.4534200517193209,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.05186828457768217,0.32510087148599487,1.0,0.04102478051674141,0.9433985346936912,0.35912783904181583,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6876,6876,34390.5,26390.5,0.8429054036733686,0.8018740868475057,0.8018740868475057,0.9997783593587519,0.7022391931986003,13.661234362306642,2.262195077872362,3.7303112974603625,1.8090354838387135,0.9890386134227921,0.9890386134227921,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1513142345876424,0.45399200764868847,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.05205798031101252,0.3256571172938212,1.0,0.04103131682586292,0.9433985346936912,0.3618070967677427,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6877,6877,34395.5,26395.5,0.848306673229037,0.809764655539721,0.809764655539721,0.9997766815653538,0.702372240922819,13.649921043180521,2.2289185556430606,3.359316860162087,1.8194476303797231,0.985770646361788,0.985770646361788,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1545006390065118,0.45584440423017014,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.06198602741881311,0.3272503195032559,1.0,0.03854201768931598,0.9433985346936912,0.3638895260759446,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6878,6878,34400.5,26400.5,0.8481701899218271,0.8098460171160508,0.8098460171160508,0.9997657486694257,0.7025052886470377,13.578219007125535,2.212032177611412,3.094697102305188,1.8273861585947773,0.982948076969375,0.982948076969375,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1557279371983973,0.45607208060495985,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.06136857581213766,0.32786396859919864,1.0,0.03832417280577638,0.9433985346936912,0.36547723171895546,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6879,6879,34405.5,26405.5,0.8494156178435688,0.810776016313997,0.810776016313997,0.9997707066513086,0.7026383363712564,13.610311354275014,2.2153542117790033,2.735685523231068,1.8354854980087756,0.9785490507800071,0.9785490507800071,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1570369732359886,0.45687124950945596,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.06357377461372306,0.3285184866179943,1.0,0.0386396015295718,0.9433985346936912,0.36709709960175513,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6880,6880,34410.5,26410.5,0.8448921688113356,0.8066158247317393,0.8066158247317393,0.9997689987838089,0.702771384095475,13.599178883761526,2.2190060802828713,2.694813793473039,1.8425301194891743,0.9781179251871343,0.9781179251871343,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1552726867927967,0.45547136777524116,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.05501096058392633,0.32763634339639836,1.0,0.038276344079596236,0.9433985346936912,0.3685060238978349,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6881,6881,34415.5,26415.5,0.8431429875811643,0.8011345288644364,0.8011345288644364,0.9998013488015514,0.7029044318196938,13.825511839175455,2.3033985597893927,2.9979351789064723,1.8527869028123911,0.9831720845115911,0.9831720845115911,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1512733814374478,0.45547437459954726,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.051245182905662046,0.3256366907187239,1.0,0.04200845871672798,0.9433985346936912,0.3705573805624782,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6882,6882,34420.5,26420.5,0.8463331697299776,0.7998531085486259,0.7998531085486259,0.9998053460853468,0.7030374795439124,13.8560058326011,2.301369732868284,2.4053799375461433,1.862103181893378,0.9752404766852872,0.9752404766852872,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1499064590195125,0.4573464336314202,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.05682614002504658,0.32495322950975625,1.0,0.04648006118135173,0.9433985346936912,0.3724206363786756,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6883,6883,34425.5,26425.5,0.8465870884302036,0.7981343526119054,0.7981343526119054,0.9998264319426304,0.7031705272681311,14.028001750141282,2.368526293615967,2.568408570348137,1.8732601479654676,0.9788813407016594,0.9788813407016594,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1472006053307093,0.4579133016827988,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.05737620732635561,0.32360030266535467,1.0,0.04845273581829823,0.9433985346936912,0.3746520295930935,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6884,6884,34430.5,26430.5,0.8464899015063855,0.7983789617222488,0.7983789617222488,0.9998371783395619,0.7033035749923497,14.123881245431473,2.3961701055320312,2.6944338212484316,1.8844768316910372,0.9810589229733162,0.9810589229733162,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1466887132474688,0.4582013496572927,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.057458900503986415,0.3233443566237344,1.0,0.04811093978413672,0.9433985346936912,0.3768953663382074,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6885,6885,34435.5,26435.5,0.8448639094896078,0.8000769334212996,0.8000769334212996,0.9998347230008631,0.7034366227165685,14.101428371462315,2.3670272524914795,2.361765436829117,1.8939834785819945,0.976104299481804,0.976104299481804,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1481409109950902,0.45759649197516405,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.05452628987504075,0.3240704554975451,1.0,0.04478697606830817,0.9433985346936912,0.3787966957163989,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6886,6886,34440.5,26440.5,0.8495081420152993,0.8033896948938837,0.8033896948938837,0.99984092783691,0.7035696704407871,14.158830366163347,2.3898014543716752,2.3711620785549417,1.9025826517662088,0.9767375852464814,0.9767375852464814,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1495117900623624,0.459498891430131,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.062203941381255845,0.3247558950311812,1.0,0.04611844712141566,0.9433985346936912,0.38051653035324173,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6887,6887,34445.5,26445.5,0.8465182691019729,0.8021760508235517,0.8021760508235517,0.9998502870307757,0.7037027181650057,14.249794435200135,2.41710648231526,1.8304755055166062,1.9111553658752947,0.9675813005855177,0.9675813005855177,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1490928955355235,0.4585876672490679,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.057007729579474545,0.32454644776776176,1.0,0.04434221827842122,0.9433985346936912,0.38223107317505894,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6888,6888,34450.5,26450.5,0.8522953423545685,0.8039607965348979,0.8039607965348979,0.9998662364113445,0.7038357658892245,14.418775314680584,2.4684738110069477,1.8704533655902353,1.920435595311022,0.9696528062256704,0.9696528062256704,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.149341678818314,0.4612243276346029,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.06685492682289423,0.324670839409157,1.0,0.04833454581967056,0.9433985346936912,0.3840871190622044,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6889,6889,34455.5,26455.5,0.8699601177579509,0.8005739982118595,0.8005739982118595,0.9998887154247088,0.7039688136134431,14.694767149189575,2.501907790876081,2.14034667624935,1.9326461281016603,0.9753388734344063,0.9753388734344063,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1458740766987692,0.47012114611576666,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.09847595848510093,0.3229370383493846,1.0,0.06938611954609142,0.9433985346936912,0.38652922562033204,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6890,6890,34460.5,26460.5,0.8623914373977796,0.8012781064257197,0.8012781064257197,0.9999029034865922,0.7041018613376618,14.89935558250139,2.5552194971210818,2.342143480810108,1.9464817117789892,0.9793449854136967,0.9793449854136967,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1455367506805518,0.4668623653054957,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.084597608471149,0.3227683753402759,1.0,0.06111333097205984,0.9433985346936912,0.38929634235579785,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6891,6891,34465.5,26465.5,0.8755231589689878,0.8050432391809036,0.8050432391809036,0.9999051676227966,0.7042349090618805,14.934749157866122,2.5574844955982883,2.631375736445146,1.9577751175380753,0.9830886119025287,0.9830886119025287,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.147961169036373,0.473006673137441,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.10862597631706944,0.32398058451818645,1.0,0.07047991978808421,0.9433985346936912,0.39155502350761506,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6892,6892,34470.5,26470.5,0.8800824267224866,0.8061499824876863,0.8061499824876863,0.9999111460650048,0.7043679567860992,15.032429203315646,2.5652055836193033,2.691438931058077,1.9675060040802024,0.9839334989734879,0.9839334989734879,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.147512227029103,0.47521122427915996,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.11667905241587641,0.32375611351455147,1.0,0.07393244423480028,0.9433985346936912,0.39350120081604045,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6893,6893,34475.5,26475.5,0.8707956569976395,0.8098304367907997,0.8098304367907997,0.9999120614713475,0.7045010045103178,15.047963603918856,2.635229156778257,2.894215444822615,1.9749666838020659,0.9866533434456279,0.9866533434456279,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1490184845783662,0.4707263096026601,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.10049152366583328,0.3245092422891831,1.0,0.06096522020683981,0.9433985346936912,0.39499333676041315,Exp2_to_Exp1,Exp2,Exp1
Exp1,8000.0,6894,6894,34480.5,26480.5,0.865118320312364,0.8047698568645513,0.8047698568645513,0.9999204296192852,0.7046340522345366,15.197964045768053,2.6699521005962206,2.5984540982321302,1.9831757686084122,0.9842223501063482,0.9842223501063482,1,0,cadence_not_reached,0.5188691940815302,0,,0.45,1.1458379585322014,0.468868756472653,06e556d54f128e7827b990ef18edd9f168ddf412f866ff3ecc2e2aa391ae7340,0.08991140770663109,0.3229189792661007,1.0,0.06034846344781275,0.9433985346936912,0.39663515372168245,Exp2_to_Exp1,Exp2,Exp1
