dataset,entry_cycle,window_index,center_cycle,state_uncertainty,uncertainty_feature_config_dispersion,uncertainty_ood,uncertainty_target_pair_evidence,uncertainty_prior_adapted_disagreement,uncertainty_adapter_boundary,uncertainty_local_volatility_or_gate,direction
Exp2,0.0,46,240.5,0.34070678766102036,0.18813847578954365,0.8142227821873673,1.0,0.0,0.0,0.04187946798921095,Exp1_to_Exp2
Exp2,0.0,47,245.5,0.3405532382515479,0.18845181285636606,0.8117202003158692,1.0,0.0,0.0,0.04314741633705156,Exp1_to_Exp2
Exp2,0.0,48,250.5,0.34081634594260707,0.18856482573754324,0.8120034400122809,1.0,0.0,0.0,0.04432980990581831,Exp1_to_Exp2
Exp2,0.0,49,255.5,0.34121515315248957,0.18858827435046316,0.8133654055790349,1.0,0.0,0.0,0.0453372389854396,Exp1_to_Exp2
Exp2,0.0,50,260.5,0.3408789555972717,0.1885742390175579,0.8105038014877854,1.0,1.1102230246251565e-16,0.0,0.04619569307828674,Exp1_to_Exp2
Exp2,0.0,51,265.5,0.3411937732594448,0.18814130465861154,0.8121457068051539,1.0,0.0,0.0,0.04687562809290352,Exp1_to_Exp2
Exp2,0.0,52,270.5,0.3411396493985299,0.1880850060578935,0.8112740254763948,1.0,0.0,0.0,0.04747886485689147,Exp1_to_Exp2
Exp2,0.0,53,275.5,0.34100717123995533,0.1880648276631254,0.809957975094963,1.0,0.0,0.0,0.04802022468164359,Exp1_to_Exp2
Exp2,0.0,54,280.5,0.3412618028797942,0.18801748577261643,0.8111262280138261,1.0,0.0,0.0,0.04842710349232241,Exp1_to_Exp2
Exp2,0.0,55,285.5,0.34134514965857304,0.1879777046782852,0.8113883077395265,1.0,0.0,0.0,0.04870488553362617,Exp1_to_Exp2
Exp2,0.0,56,290.5,0.3414504319682634,0.18660501282195138,0.8132706557790159,1.0,1.1102230246251565e-16,0.0,0.04882692320861332,Exp1_to_Exp2
Exp2,0.0,57,295.5,0.3201145917441239,0.18929995665676855,0.6822680728663906,1.0,0.0,0.0,0.0491195209415843,Exp1_to_Exp2
Exp2,0.0,58,300.5,0.2993379803172578,0.18948863953871448,0.5556460836499884,1.0,0.0,0.0,0.05089315871484386,Exp1_to_Exp2
Exp2,0.0,59,305.5,0.24810061767038807,0.0004913816641017894,0.433173742680237,1.0,0.0,0.0,0.054938581677989685,Exp1_to_Exp2
Exp2,0.0,60,310.5,0.23128328777382826,0.0041611890527646555,0.3220496478978534,1.0,0.0,0.0,0.06148888969235158,Exp1_to_Exp2
Exp2,0.0,61,315.5,0.231460110230257,0.004166707824666333,0.3176247820815806,1.0,1.1102230246251565e-16,0.0,0.06696917147529503,Exp1_to_Exp2
Exp2,0.0,62,320.5,0.23214336757592127,0.0034025105659479388,0.31775623963588484,1.0,0.0,0.0,0.07170145525369495,Exp1_to_Exp2
Exp2,0.0,63,325.5,0.23270252943467581,0.0004893997288367455,0.3199581124145331,1.0,0.0,0.0,0.07576766446468493,Exp1_to_Exp2
Exp2,0.0,64,330.5,0.23371432272450932,0.0004734068255364432,0.32247947983187886,1.0,0.0,0.0,0.07933304968964049,Exp1_to_Exp2
Exp2,0.0,65,335.5,0.23444485430971695,0.000483599704114381,0.3236498141356441,1.0,0.0,0.0,0.08253571201854319,Exp1_to_Exp2
Exp2,0.0,66,340.5,0.23456500392442262,0.0006895842516043314,0.32124952525802153,1.0,1.1102230246251565e-16,0.0,0.08545091403691006,Exp1_to_Exp2
Exp2,0.0,67,345.5,0.2347361682700753,0.0035268235763153593,0.3167369558714417,1.0,0.0,0.0,0.08815323017269477,Exp1_to_Exp2
Exp2,0.0,68,350.5,0.23441011597545688,0.0036609039304860993,0.3121542294473947,1.0,0.0,0.0,0.09064556247486043,Exp1_to_Exp2
Exp2,0.0,69,355.5,0.23377618913802556,0.0011620323350528422,0.3085548356068438,1.0,0.0,0.0,0.09294026688625658,Exp1_to_Exp2
Exp2,0.0,70,360.5,0.23361055012533724,0.00046502765427098176,0.30614591889299647,1.0,0.0,0.0,0.09505235420475591,Exp1_to_Exp2
Exp2,0.0,71,365.5,0.23376205330340838,0.00041676962590078465,0.3051738229825537,1.0,0.0,0.0,0.09698172721199586,Exp1_to_Exp2
Exp2,0.0,72,370.5,0.23397978454780619,0.0003709204030335345,0.3047675114073538,1.0,0.0,0.0,0.09874027547644976,Exp1_to_Exp2
Exp2,0.0,73,375.5,0.2342249346306822,0.000322025635057425,0.30471385549805907,1.0,0.0,0.0,0.1003137266509769,Exp1_to_Exp2
Exp2,0.0,74,380.5,0.2344973355911595,0.00030243687926370883,0.3049440205753148,1.0,0.0,0.0,0.10173755609237851,Exp1_to_Exp2
Exp2,0.0,75,385.5,0.2343530342005258,0.0002973797839867244,0.3027838183592002,1.0,0.0,0.0,0.10303700705996796,Exp1_to_Exp2
Exp2,0.0,76,390.5,0.2342821181383683,0.00028974551952810613,0.301179518709941,1.0,0.0,0.0,0.10422344460074089,Exp1_to_Exp2
Exp2,0.0,77,395.5,0.23421613570501731,0.0002798664356285747,0.29968225691532613,1.0,0.0,0.0,0.1053346908791493,Exp1_to_Exp2
Exp2,0.0,78,400.5,0.2340547878752719,0.0002762318616078943,0.29768526287480335,1.0,0.0,0.0,0.10636723251522018,Exp1_to_Exp2
