direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,fast_score,slow_score,residual_persistent,adapter_frozen_fraction,event_status,emit_cycle,event_rank_score,residual_event_peak,residual_high_count,residual_high_fraction,slow_excess_area,event_duration,peak_slow_high,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3402,2,Exp2,V35_HardAND_Current,1845.5,1895.5,1905.5,0.7355557174626545,0.0,1.0661353948004157,21.805127536834355,1.0,unmatched_candidate_event,1905.5,0.7355557174626545,,,,,,1,3570.4592210386154,3653.6649467376833,3670.306091877497
Exp1_to_Exp2,Exp1,Exp2,3402,3,Exp2,V35_HardAND_Current,3025.5,3040.5,3100.5,1.7209789969300904,10.628895156776036,3.0006800130557374,17.18538515938523,1.0,unmatched_candidate_event,3100.5,1.7209789969300904,,,,,,1,5534.166666666667,5559.166666666667,5659.166666666667
Exp1_to_Exp2,Exp1,Exp2,3402,4,Exp2,V35_HardAND_Current,6920.5,7000.5,7000.5,1.5940845082896815,0.338623635663691,2.81157956931946,17.840632710219268,1.0,unmatched_candidate_event,7000.5,1.5940845082896815,,,,,,1,12025.833333333334,12159.166666666666,12159.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,1,Exp2,V351_EventGate_CurrentAdapt,1510.5,1530.5,1800.5,1.1572228208735476,,,,0.9565217391304348,unmatched_candidate_event,1910.5,1.1572228208735476,18.89998399905881,25,0.36231884057971014,41.89553749430329,59,1,3012.9808588548603,3046.2631491344873,3495.5740679094542
Exp1_to_Exp2,Exp1,Exp2,3402,2,Exp2,V351_EventGate_CurrentAdapt,1930.5,2110.5,2435.5,0.8899582717089126,,,,0.9821428571428571,unmatched_candidate_event,2545.5,0.8899582717089126,9.717102656002046,2,0.017857142857142856,23.691473665565375,102,1,3711.9089547270305,4011.449567243675,4552.286784287617
Exp1_to_Exp2,Exp1,Exp2,3402,3,Exp2,V351_EventGate_CurrentAdapt,3015.5,3310.5,3425.5,1.5265371212765433,,,,0.946236559139785,unmatched_candidate_event,3535.5,1.5265371212765433,7.748995667472627,18,0.1935483870967742,35.20911694326902,83,1,5517.5,6009.166666666667,6200.833333333333
Exp1_to_Exp2,Exp1,Exp2,3402,4,Exp2,V351_EventGate_CurrentAdapt,6930.5,7155.5,7195.5,0.7840668237052747,,,,0.984375,unmatched_candidate_event,7305.5,0.7840668237052747,9.739500307179275,19,0.296875,17.479855967209495,54,1,12042.5,12417.5,12484.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,5,Exp2,V351_EventGate_CurrentAdapt,10525.5,10530.5,10535.5,0.6376732634533604,,,,0.8461538461538461,unmatched_candidate_event,10645.5,0.6376732634533604,6.418559687124169,9,0.6923076923076923,0.4276137528349018,3,1,18034.166666666668,18042.5,18050.833333333332
Exp1_to_Exp2,Exp1,Exp2,3402,1,Exp2,V351_EventGate_WarningFreeze,1515.5,1530.5,1800.5,1.042932529337386,,,,0.9705882352941176,unmatched_candidate_event,1910.5,1.042932529337386,18.303743979153918,25,0.36764705882352944,30.08757084896713,58,1,3021.301431424767,3046.2631491344873,3495.5740679094542
Exp1_to_Exp2,Exp1,Exp2,3402,2,Exp2,V351_EventGate_WarningFreeze,6930.5,7155.5,7195.5,0.8290921247370394,,,,1.0,unmatched_candidate_event,7305.5,0.8290921247370394,10.096245609811595,20,0.3125,21.60430940353546,54,1,12042.5,12417.5,12484.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,3,Exp2,V351_EventGate_WarningFreeze,10520.5,10530.5,10545.5,0.8282038614179881,,,,0.875,unmatched_candidate_event,10655.5,0.8282038614179881,7.137994665390133,11,0.6875,2.0084662723461153,6,1,18025.833333333332,18042.5,18067.5
Exp1_to_Exp2,Exp1,Exp2,3402,1,Exp2,V351_EventGate_WarningFreeze_Update5,3015.5,3315.5,3380.5,1.1557656486555583,,,,0.9523809523809523,unmatched_candidate_event,3490.5,1.1557656486555583,8.242192039563136,18,0.21428571428571427,14.864519507796556,74,1,5517.5,6017.5,6125.833333333333
Exp1_to_Exp2,Exp1,Exp2,3402,2,Exp2,V351_EventGate_WarningFreeze_Update5,9310.5,9310.5,9340.5,0.866939455374401,,,,0.7058823529411765,unmatched_candidate_event,9450.5,0.866939455374401,4.945907857561411,3,0.17647058823529413,3.8541601942215857,7,1,16009.166666666666,16009.166666666666,16059.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,3,Exp2,V351_EventGate_WarningFreeze_Update5,9910.5,10530.5,11090.5,1.4349655884180275,,,,0.9838056680161943,unmatched_candidate_event,11200.5,1.4349655884180275,7.181830306422767,52,0.21052631578947367,49.96161974158082,237,1,17009.166666666668,18042.5,18975.833333333332
Exp1_to_Exp2,Exp1,Exp2,3402,1,Exp2,V351_ResidualRerank_WarningFreeze_Update5,3015.5,3315.5,3380.5,1.1557656486555583,,,,0.9523809523809523,unmatched_candidate_event,3490.5,1.55465340989561,8.242192039563136,18,0.21428571428571427,14.864519507796556,74,1,5517.5,6017.5,6125.833333333333
