direction,setting,seed,dataset,from_stage,to_stage,boundary_actual_cycle,boundary_peak_score,boundary_score_percentile,boundary_event_rank
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3402,Exp1,3,4,32000.0,1.0035803808035746,1.0,1.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3402,Exp1,4,5,40000.0,0.18772707879543304,0.8297776272717011,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3402,Exp1,1,2,8000.0,0.34212302988357934,0.9996613613274636,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3402,Exp1,2,3,24000.0,0.2036845088005066,0.8600293486849532,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3402,Exp1,3,4,32000.0,0.18830683827400208,0.6473642623320917,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3402,Exp1,4,5,40000.0,0.20109498500823975,0.7974940738232306,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3402,Exp1,1,2,8000.0,0.34212302988357934,0.9996613613274636,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3402,Exp1,2,3,24000.0,0.2036845088005066,0.8600293486849532,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3402,Exp1,3,4,32000.0,0.18830683827400208,0.6473642623320917,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3402,Exp1,4,5,40000.0,0.20109498500823975,0.7974940738232306,
Exp2_to_Exp1,V35_HardAND_Current,3403,Exp1,1,2,8000.0,1.4823375221558912,1.0,
Exp2_to_Exp1,V35_HardAND_Current,3403,Exp1,2,3,24000.0,0.962391965654676,0.9945476799821965,2.0
Exp2_to_Exp1,V35_HardAND_Current,3403,Exp1,3,4,32000.0,1.3833155370902444,0.999888728162902,1.0
Exp2_to_Exp1,V35_HardAND_Current,3403,Exp1,4,5,40000.0,0.18951547145843506,0.8244130410593079,
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3403,Exp1,1,2,8000.0,2.2195223051735655,1.0,1.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3403,Exp1,2,3,24000.0,1.6291880761585635,0.9935658652218083,3.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3403,Exp1,3,4,32000.0,2.1908959396301775,0.9998871204424878,2.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3403,Exp1,4,5,40000.0,0.19012531638145447,0.7871091545321143,
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3403,Exp1,1,2,8000.0,2.307760732365299,0.9981939270798058,2.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3403,Exp1,2,3,24000.0,1.56517554988,0.9925499492041991,3.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3403,Exp1,3,4,32000.0,2.4169110670579306,1.0,1.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3403,Exp1,4,5,40000.0,0.190328910946846,0.768484027542612,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3403,Exp1,1,2,8000.0,1.6353602699513077,1.0,1.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3403,Exp1,2,3,24000.0,0.2005961537361145,0.9198555141663844,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3403,Exp1,3,4,32000.0,0.6290701703777759,0.99153403318659,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3403,Exp1,4,5,40000.0,0.19186646310564454,0.7873349136471385,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp1,1,2,8000.0,1.6353602699513077,1.0,1.0
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp1,2,3,24000.0,0.2005961537361145,0.9198555141663844,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp1,3,4,32000.0,0.6290701703777759,0.99153403318659,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3403,Exp1,4,5,40000.0,0.19186646310564454,0.7873349136471385,
Exp2_to_Exp1,V35_HardAND_Current,3404,Exp1,1,2,8000.0,11.200117180225792,1.0,1.0
