direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,emit_cycle,peak_score,event_rank_score,residual_event_peak,residual_high_count,residual_high_fraction,slow_excess_area,event_duration,peak_slow_high,adapter_frozen_fraction,event_start_window,event_end_window,event_emit_window,event_status
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_CurrentAdapt,11425.5,11430.5,11440.5,11550.5,1.688135867444902,0.4838399378808307,2.798580908939265,0.0,0.0,0.8732182887596793,4.0,1.0,0.5714285714285714,2283.0,2286.0,2308.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_CurrentAdapt,13170.5,13190.5,13190.5,13300.5,1.4513550633672945,0.27571402788184907,0.20067136125976173,0.0,0.0,0.9688453389852147,5.0,1.0,0.6,2632.0,2636.0,2658.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze,3005.5,3015.5,3640.5,3750.5,4.709455695646676,3.626858642874743,8.913240321959874,19.0,0.13768115942028986,196.27207656628974,128.0,1.0,0.9637681159420289,599.0,726.0,748.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze,3900.5,3910.5,3910.5,4020.5,1.9845606376577514,0.7443917815453511,1.9149250129762292,0.0,0.0,1.3527449238062426,3.0,1.0,0.6153846153846154,778.0,780.0,802.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze,5110.5,5110.5,5270.5,5380.5,1.6965224767352105,0.4912116110075899,1.381789169463598,0.0,0.0,1.457827083393857,33.0,1.0,0.8837209302325582,1020.0,1052.0,1074.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze,6905.5,6930.5,7795.5,7905.5,5.904106982626772,4.811095390224358,10.12438477451806,37.0,0.19576719576719576,267.57176500072495,179.0,1.0,0.9735449735449735,1379.0,1557.0,1579.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze,8705.5,8735.5,8865.5,8975.5,2.622630715196586,1.3052434774765986,4.153331413687656,0.0,0.0,27.306489846498305,33.0,1.0,0.8837209302325582,1739.0,1771.0,1793.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze,9160.5,9310.5,9330.5,9440.5,1.604044627091941,0.5512720205796624,5.789805665082723,8.0,0.17777777777777778,2.4858327057499627,35.0,1.0,0.9111111111111111,1830.0,1864.0,1886.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze,9485.5,9540.5,9600.5,9710.5,1.3143091839995844,0.4139582034386742,6.849265931534979,3.0,0.08823529411764706,2.696682952606415,24.0,1.0,1.0,1895.0,1918.0,1940.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze,9730.5,10540.5,12015.5,12125.5,7.000653192985288,5.954160385106534,11.742318804050969,112.0,0.23931623931623933,568.0100602377512,458.0,1.0,1.0,1944.0,2401.0,2423.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze,13080.5,13190.5,13205.5,13315.5,2.6129736206728613,1.2967550715286333,0.9458344420390657,0.0,0.0,14.106614041860558,26.0,1.0,1.0,2614.0,2639.0,2661.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,2190.5,2225.5,2265.5,2375.5,1.5112565609093458,0.32836632685011735,1.8095397103206412,0.0,0.0,2.5146665936079615,16.0,1.0,0.8846153846153846,436.0,451.0,473.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,2405.5,2415.5,2420.5,2530.5,1.3631618870351472,0.1981938709952602,0.6157705775078394,0.0,0.0,0.4577369827816278,4.0,1.0,1.0,479.0,482.0,504.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,3005.5,3290.5,3645.5,3755.5,7.037034481173171,5.592515247593207,8.188852070825478,19.0,0.1366906474820144,333.09902004616094,129.0,1.0,0.9712230215827338,599.0,727.0,749.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,3900.5,3910.5,3910.5,4020.5,1.3793525979464805,0.21242520387327168,0.6691002690252398,0.0,0.0,0.521273405743202,3.0,1.0,0.6923076923076923,778.0,780.0,802.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,5140.5,5260.5,5300.5,5410.5,1.5773652748169256,0.38647465321751895,1.7337458619139943,0.0,0.0,4.456557571847689,33.0,1.0,1.0,1026.0,1058.0,1080.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,6015.5,6030.5,6325.5,6435.5,1.8417289716283336,0.6188454114126614,0.860734695284795,0.0,0.0,14.089650084748772,63.0,1.0,0.9315068493150684,1201.0,1263.0,1285.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,6915.5,6930.5,7515.5,7625.5,2.8467251137059204,1.8279569133277098,7.454417629124901,19.0,0.1450381679389313,55.561999443778866,121.0,1.0,0.9694656488549618,1381.0,1501.0,1523.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,8700.5,10530.5,11290.5,11400.5,8.282188505672934,6.793871466667666,9.15380107519348,121.0,0.22873345935727787,982.4045357450561,519.0,1.0,0.9905482041587902,1738.0,2256.0,2278.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,11400.5,11430.5,12050.5,12160.5,5.076778896553117,3.4934277252722525,4.79394731220227,10.0,0.07092198581560284,110.61947428886737,131.0,1.0,1.0,2278.0,2408.0,2430.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,12605.5,13190.5,13540.5,13650.5,6.8528668469995155,5.023542128719831,2.9538306668377454,0.0,0.0,433.2145056024122,188.0,1.0,0.9747474747474747,2519.0,2706.0,2728.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_EventGate_WarningFreeze_Update5,13765.5,13830.5,13830.5,13940.5,1.2518758002097488,0.10037547654817369,0.0,0.0,0.0,0.5307037693835315,14.0,1.0,1.0,2751.0,2764.0,2786.0,RESIDUAL_REJECTED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,2190.5,2225.5,2265.5,2375.5,1.5112565609093458,0.32836632685011735,1.8095397103206412,0.0,0.0,2.5146665936079615,16.0,1.0,0.8846153846153846,436.0,451.0,473.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,2405.5,2415.5,2420.5,2530.5,1.3631618870351472,0.1981938709952602,0.6157705775078394,0.0,0.0,0.4577369827816278,4.0,1.0,1.0,479.0,482.0,504.0,COOLDOWN_SUPPRESSED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,3005.5,3290.5,3645.5,3755.5,7.037034481173171,5.592515247593207,8.188852070825478,19.0,0.1366906474820144,333.09902004616094,129.0,1.0,0.9712230215827338,599.0,727.0,749.0,CONFIRMED
Exp1_to_Exp2,Exp1,Exp2,3403,0.0,Exp2,V351_ResidualRerank_WarningFreeze_Update5,3900.5,3910.5,3910.5,4020.5,1.3793525979464805,0.21242520387327168,0.6691002690252398,0.0,0.0,0.521273405743202,3.0,1.0,0.6923076923076923,778.0,780.0,802.0,CONFIRMED
