direction,dataset,entry_cycle,window_index,center_cycle,progression_uncertainty,prediction_ensemble_uncertainty,adapter_support_uncertainty,primitive_match_uncertainty,private_state_support_uncertainty,change_point_uncertainty,entry_prior_uncertainty,ood_uncertainty,initial_match_quality
Exp2_to_Exp1,Exp1,0.0,8463,42325.5,1.4838948252850634,0.0031949824347453078,0.0,1.0,1.0,0.009375579584837992,0.35,0.28168376435726517,0.0
Exp2_to_Exp1,Exp1,0.0,8464,42330.5,1.5804399146935966,0.002687945774677647,0.0,1.0,1.0,0.00988880003502028,0.35,0.6125237224288393,0.0
Exp2_to_Exp1,Exp1,0.0,8465,42335.5,1.5005223701079216,0.002866810955115143,0.0,1.0,1.0,0.009397039574322068,0.35,0.3591251317249746,0.0
Exp2_to_Exp1,Exp1,0.0,8466,42340.5,1.466430795172832,0.00306606347830403,0.0,1.0,1.0,0.009262821570591075,0.35,0.16680550477284065,0.0
Exp2_to_Exp1,Exp1,0.0,8467,42345.5,1.465120743931688,0.0030557859191889507,0.0,1.0,1.0,0.009287297420802506,0.35,0.15486511091261548,0.0
Exp2_to_Exp1,Exp1,0.0,8468,42350.5,1.4631569396958943,0.0032295376755783396,0.0,1.0,1.0,0.009701945524873214,0.35,0.13499508331672624,0.0
Exp2_to_Exp1,Exp1,0.0,8469,42355.5,1.4622261489167754,0.0031395636365122073,0.0,1.0,1.0,0.00929693907961271,0.35,0.12453521847215028,0.0
Exp2_to_Exp1,Exp1,0.0,8470,42360.5,1.4711251749273213,0.0027678210934097085,0.0,1.0,1.0,0.009278019060880582,0.35,0.20399886723617514,0.0
Exp2_to_Exp1,Exp1,0.0,8471,42365.5,1.4778048178098961,0.0027002341908800485,0.0,1.0,1.0,0.009279474787375152,0.35,0.2476159922644842,0.0
Exp2_to_Exp1,Exp1,0.0,8472,42370.5,1.4832101101780468,0.0026785576249005044,0.0,1.0,1.0,0.009213093793016991,0.35,0.27806505563659895,0.0
Exp2_to_Exp1,Exp1,0.0,8473,42375.5,1.4582602444686188,0.002851783949578776,0.0,1.0,1.0,0.009223855923277012,0.35,0.0626875458754556,0.0
Exp2_to_Exp1,Exp1,0.0,8474,42380.5,1.4570256402981647,0.0029674243344139043,0.0,1.0,1.0,0.009223865804476537,0.35,0.01816125487726909,0.0
Exp2_to_Exp1,Exp1,0.0,8475,42385.5,1.4569130126556422,0.003027794269765609,0.0,1.0,1.0,0.009292949327265232,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8476,42390.5,1.4569129589877918,0.003066676485345589,0.0,1.0,1.0,0.009271761531526661,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8477,42395.5,1.4569124408883827,0.003021098951789571,0.0,1.0,1.0,0.009205073409190188,0.35,0.0,0.0
