direction,entry_cycle,latest_entry_cycle,common_window_rank,center_cycle,common_arrived_windows,progression_increment_abs_difference,progression_score_abs_difference,uncertainty,latest_uncertainty,uncertainty_difference_to_latest,state_match_available,state_match_quality,latest_state_match_quality,state_match_quality_difference
Exp1_to_Exp2,0.0,9000.0,77,9380.5,200,0.0,1.0139783105156397e-05,1.704570134048538,1.6042408273109177,0.1003293067376203,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,78,9385.5,200,0.0,7.5117360780474485e-06,1.6826031210260635,1.599547870986669,0.0830552500393944,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,79,9390.5,200,0.04699229693013046,4.857771389699117e-06,1.6712793570385887,1.595622004078364,0.07565735296022469,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,80,9395.5,200,0.04689965916491956,3.1423182165202235e-06,1.5809913495447283,1.5453783073953355,0.03561304214939276,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,81,9400.5,200,0.18623272928665113,2.388976875877802e-06,1.5171202544590243,1.5156163986901627,0.001503855768861584,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,82,9405.5,200,0.2202941358512595,1.97076863495127e-06,1.4895338755340817,1.507239191889654,-0.017705316355572265,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,83,9410.5,200,0.17532087543690478,1.4988129283244334e-06,1.4754942657575731,1.5054986582154417,-0.030004392457868567,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,84,9415.5,200,0.21845264840609935,1.1672766822012903e-06,1.477260852092106,1.5000460565471525,-0.022785204455046504,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,85,9420.5,200,0.25901401363569004,9.315887753436058e-07,1.480283911740197,1.4979677084998781,-0.017683796759681236,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,86,9425.5,200,0.27413921887415943,7.500514052072305e-07,1.4815259140734904,1.496130989807726,-0.014605075734235529,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,87,9430.5,200,0.3072734942618231,6.531151758304432e-07,1.4853726685082056,1.4943463662054983,-0.008973697697292726,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,88,9435.5,200,0.27738157477504566,6.112471744312842e-07,1.4843141334794285,1.4926242407315353,-0.008310107252106791,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,89,9440.5,200,0.29194309541750413,5.432263430193984e-07,1.48360976538379,1.490938829719159,-0.007329064335368951,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,90,9445.5,200,0.30164879413304835,4.763453094192016e-07,1.4846748240974712,1.4892939397367495,-0.004619115639278304,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,91,9450.5,200,0.292031064272065,4.3806120164635587e-07,1.4861462019847975,1.4876905516410215,-0.0015443496562239645,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,92,9455.5,200,0.2762506022563567,4.1750565993314837e-07,1.4854004286683253,1.4861317636080096,-0.0007313349396842472,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,93,9460.5,200,0.2616060062214329,4.1750565993314837e-07,1.4858277521777241,1.48461744483995,0.0012103073377740525,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,94,9465.5,200,0.2592802849714549,4.1750565993314837e-07,1.4853259450642342,1.4831476753312356,0.0021782697329986167,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,95,9470.5,200,0.24997260132081867,4.1750565993314837e-07,1.4833530586745378,1.4817158366288539,0.0016372220456839504,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,96,9475.5,200,0.2411071004258822,4.1750565993314837e-07,1.481532787842624,1.4803154496781696,0.0012173381644544623,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,97,9480.5,200,0.2156089678671104,4.1750565993314837e-07,1.4766668992677652,1.4789582003379709,-0.002291301070205698,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,98,9485.5,200,0.21768165279108365,3.3065137539090017e-07,1.4741023361044807,1.4776447498270833,-0.0035424137226025554,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,99,9490.5,200,0.2494668210996745,2.8293390896827475e-07,1.4732124837161602,1.4763721435245363,-0.0031596598083760696,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,100,9495.5,200,0.19687185735502788,2.8293390896827475e-07,1.473423732827038,1.4751411300962074,-0.0017173972691693074,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,101,9500.5,200,0.1911241043773131,2.8293390896827475e-07,1.4724868118354686,1.4739501901570577,-0.0014633783215891594,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,102,9505.5,200,0.17949919448012147,2.8293390896827475e-07,1.470677958832252,1.4727956863735139,-0.002117727541261827,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,103,9510.5,200,0.1801779364015361,2.8293390896827475e-07,1.4707778242368226,1.4716825422040059,-0.0009047179671832772,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,104,9515.5,200,0.1673209035890512,2.8293390896827475e-07,1.4688975923060177,1.470608162566654,-0.0017105702606363682,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,105,9520.5,200,0.16222932038652388,2.8293390896827475e-07,1.468193836107309,1.4695745195815966,-0.0013806834742875473,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,106,9525.5,200,0.14941950098775134,2.8293390896827475e-07,1.4665064461264163,1.4685816804047531,-0.0020752342783367794,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,107,9530.5,200,0.12893674872472985,2.8293390896827475e-07,1.4640976160696044,1.4676291049145729,-0.0035314888449684556,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,108,9535.5,200,0.17898583179595381,2.3507883972762045e-07,1.4626489429180667,1.4667178770834863,-0.0040689341654196465,True,0.0,0.0,0.0
