direction,dataset,entry_cycle,window_index,center_cycle,activity_score,progression_increment,relative_progression_score,cumulative_progression,progression_uncertainty,prediction_ensemble_uncertainty,adapter_support_uncertainty,primitive_match_uncertainty,private_state_support_uncertainty,change_point_uncertainty,entry_prior_uncertainty,ood_uncertainty,initial_progression_prior_mean,initial_progression_prior_std,initial_match_quality,trend_evidence,persistent_prediction_anomaly_evidence,bocpd_confirmed_transition_evidence,persistent_novel_segment_evidence,state_id_input_count,cycle_used_as_model_feature,rolling_z_used
Exp1_to_Exp2,Exp2,0.0,41,215.5,0.9564450002799298,0.0,0.95813396022072,3.173280287153091,1.6077357900840665,0.008547479362906937,0.6796875,1.0,1.0,0.016316055207316504,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,42,220.5,1.0848416976558852,0.22541381028988194,0.9665831193316266,3.398694097442973,1.60444457881992,0.007702051930517592,0.671875,1.0,1.0,0.016342254302576544,0.35,0.0,0.5,0.35,0.0,0.9016552411595278,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,43,225.5,0.8090640082866448,0.21026215435520992,0.9729199030767186,3.6089562517981832,1.6011820005634074,0.006910485400947633,0.6640625,1.0,1.0,0.016032473717726193,0.35,0.0,0.5,0.35,0.0,0.8410486174208397,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,44,230.5,0.7597968353468703,0.15903307044996665,0.9769015398130128,3.76798932224815,1.5979548092117086,0.006602599785515858,0.65625,1.0,1.0,0.015871844848680546,0.35,0.0,0.5,0.35,0.0,0.6361322817998666,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,45,235.5,0.6477008750809965,0.1269175720898845,0.979654731379317,3.8949068943380345,1.5947599579353757,0.006481974184351908,0.6484375,1.0,1.0,0.015688085876385597,0.35,0.0,0.5,0.35,0.0,0.507670288359538,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,46,240.5,0.6741705514694856,0.11965789757994598,0.9819491913006353,4.01456479191798,1.5915984515100583,0.0065799677723686655,0.640625,1.0,1.0,0.0155545571563294,0.35,0.0,0.5,0.35,0.0,0.4786315903197839,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,47,245.5,0.6001419209990267,0.1031723855121685,0.9837186854838178,4.117737177430149,1.5884701213955694,0.00695518433720304,0.6328125,1.0,1.0,0.015404279309329192,0.35,0.0,0.5,0.35,0.0,0.412689542048674,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,48,250.5,0.5497845293045154,0.05038526890615436,0.9845187001752149,4.168122446336303,1.5853728639407825,0.007001932196605109,0.625,1.0,1.0,0.015267307074687549,0.35,0.0,0.5,0.35,0.0,0.20154107562461743,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,49,255.5,0.4037811579307625,0.0,0.9845187001752149,4.168122446336303,1.5823098530650235,0.007255002381416398,0.6171875,1.0,1.0,0.015212688482031618,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,50,260.5,0.6388216609919612,0.0,0.9845187001752149,4.168122446336303,1.5792779297129342,0.007329506350971748,0.609375,1.0,1.0,0.01507205991305848,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,51,265.5,1.252082055396959,0.0,0.9845187001752149,4.168122446336303,1.6916944383733428,0.0327768538159159,0.6015625,1.0,1.0,0.014967493949262776,0.35,0.6133141800055322,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,52,270.5,1.2678114645365386,0.0,0.9845187001752149,4.168122446336303,1.685764353073285,0.032830016591848234,0.59375,1.0,1.0,0.014826309151128567,0.35,0.6045368162156263,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,53,275.5,1.1708366042407132,0.3,0.9885311710099626,4.468122446336303,1.679709063533183,0.03289511924977114,0.5859375,1.0,1.0,0.014748615874256297,0.35,0.5952311934606667,0.5,0.35,0.0,0.0,1.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,54,280.5,1.2493543477953002,0.3,0.9915036825142975,4.768122446336303,1.6813089097590725,0.033318956249381235,0.578125,1.0,1.0,0.014639039973294028,0.35,0.607245156484062,0.5,0.35,0.0,0.0,1.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,55,285.5,1.2416485098169372,0.3,0.993705773197895,5.068122446336303,1.6799478859397872,0.03348269754290401,0.5703125,1.0,1.0,0.01458747018870737,0.35,0.6108474985592179,0.5,0.35,0.0,0.0,1.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,56,290.5,1.4845152783302893,0.3,0.9953371220998973,5.368122446336303,1.680307128406522,0.03366849036699529,0.5625,1.0,1.0,0.01442008593351666,0.35,0.6190188120338913,0.5,0.35,0.0,0.0,1.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,57,295.5,2.5918642717694973,0.55,0.9973097534797084,5.9181224463363025,1.7158100817934636,0.026426887633135436,0.5546875,1.0,1.0,0.04405973821408316,0.35,0.7149729877459525,0.5,0.35,0.0,1.0,1.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,58,300.5,2.400175909177889,0.55,0.998447862780241,6.468122446336302,1.7307857257611425,0.02104659988768425,0.546875,1.0,1.0,0.03594796497407302,0.35,0.7565128864209223,0.5,0.35,0.0,1.0,1.0,0.0,0.0,0,False,False
