direction,setting,seed,tolerance_actual_cycles,boundary_hit_rate,mean_absolute_detection_delay,median_absolute_detection_delay,event_level_precision,event_level_recall,event_level_f1,candidate_event_count,unmatched_candidate_count
Exp2_to_Exp1,OnlineAdaptation,3401,500.0,1.0,143.92783116757573,83.41431963430841,0.07407407407407407,1.0,0.13793103448275862,54,50
Exp2_to_Exp1,OnlineAdaptation,3401,1000.0,1.0,143.92783116757573,83.41431963430841,0.07407407407407407,1.0,0.13793103448275862,54,50
Exp2_to_Exp1,TargetSupervisedUpperBound,3401,100.0,0.75,24.296643608819977,24.260355029586208,0.08333333333333333,0.75,0.15,36,33
Exp2_to_Exp1,TargetSupervisedUpperBound,3401,250.0,0.75,24.296643608819977,24.260355029586208,0.08333333333333333,0.75,0.15,36,33
Exp2_to_Exp1,TargetSupervisedUpperBound,3401,500.0,0.75,24.296643608819977,24.260355029586208,0.08333333333333333,0.75,0.15,36,33
Exp2_to_Exp1,TargetSupervisedUpperBound,3401,1000.0,0.75,24.296643608819977,24.260355029586208,0.08333333333333333,0.75,0.15,36,33
Exp2_to_Exp1,DirectTransfer,3402,100.0,0.0,,,0.0,0.0,0.0,1,1
Exp2_to_Exp1,DirectTransfer,3402,250.0,0.0,,,0.0,0.0,0.0,1,1
Exp2_to_Exp1,DirectTransfer,3402,500.0,0.25,361.37397634213266,361.37397634213266,1.0,0.25,0.4,1,0
Exp2_to_Exp1,DirectTransfer,3402,1000.0,0.25,361.37397634213266,361.37397634213266,1.0,0.25,0.4,1,0
Exp2_to_Exp1,CalibrationOnly,3402,100.0,0.75,63.854601574121865,77.51479289940835,0.08333333333333333,0.75,0.15,36,33
Exp2_to_Exp1,CalibrationOnly,3402,250.0,0.75,63.854601574121865,77.51479289940835,0.08333333333333333,0.75,0.15,36,33
Exp2_to_Exp1,CalibrationOnly,3402,500.0,0.75,63.854601574121865,77.51479289940835,0.08333333333333333,0.75,0.15,36,33
Exp2_to_Exp1,CalibrationOnly,3402,1000.0,0.75,63.854601574121865,77.51479289940835,0.08333333333333333,0.75,0.15,36,33
Exp2_to_Exp1,OnlineAdaptation,3402,100.0,0.75,57.80692900859261,77.47952684258053,0.05357142857142857,0.75,0.09999999999999999,56,53
Exp2_to_Exp1,OnlineAdaptation,3402,250.0,0.75,57.80692900859261,77.47952684258053,0.05357142857142857,0.75,0.09999999999999999,56,53
Exp2_to_Exp1,OnlineAdaptation,3402,500.0,0.75,57.80692900859261,77.47952684258053,0.05357142857142857,0.75,0.09999999999999999,56,53
Exp2_to_Exp1,OnlineAdaptation,3402,1000.0,1.0,230.95667277120447,80.45573975265143,0.07142857142857142,1.0,0.13333333333333333,56,52
Exp2_to_Exp1,TargetSupervisedUpperBound,3402,100.0,0.75,55.965055223036565,53.84615384615245,0.10344827586206896,0.75,0.18181818181818182,29,26
Exp2_to_Exp1,TargetSupervisedUpperBound,3402,250.0,0.75,55.965055223036565,53.84615384615245,0.10344827586206896,0.75,0.18181818181818182,29,26
Exp2_to_Exp1,TargetSupervisedUpperBound,3402,500.0,0.75,55.965055223036565,53.84615384615245,0.10344827586206896,0.75,0.18181818181818182,29,26
Exp2_to_Exp1,TargetSupervisedUpperBound,3402,1000.0,0.75,55.965055223036565,53.84615384615245,0.10344827586206896,0.75,0.18181818181818182,29,26
Exp2_to_Exp1,DirectTransfer,3403,100.0,0.25,77.51479289940835,77.51479289940835,1.0,0.25,0.4,1,0
Exp2_to_Exp1,DirectTransfer,3403,250.0,0.25,77.51479289940835,77.51479289940835,1.0,0.25,0.4,1,0
Exp2_to_Exp1,DirectTransfer,3403,500.0,0.25,77.51479289940835,77.51479289940835,1.0,0.25,0.4,1,0
Exp2_to_Exp1,DirectTransfer,3403,1000.0,0.25,77.51479289940835,77.51479289940835,1.0,0.25,0.4,1,0
Exp2_to_Exp1,CalibrationOnly,3403,100.0,0.5,74.73668303324985,74.73668303324985,0.08333333333333333,0.5,0.14285714285714285,24,22
Exp2_to_Exp1,CalibrationOnly,3403,250.0,0.75,93.3091910219188,78.03425167535534,0.125,0.75,0.21428571428571427,24,21
Exp2_to_Exp1,CalibrationOnly,3403,500.0,0.75,93.3091910219188,78.03425167535534,0.125,0.75,0.21428571428571427,24,21
Exp2_to_Exp1,CalibrationOnly,3403,1000.0,0.75,93.3091910219188,78.03425167535534,0.125,0.75,0.21428571428571427,24,21
Exp2_to_Exp1,OnlineAdaptation,3403,100.0,0.75,65.84187094582133,77.47952684258053,0.05660377358490566,0.75,0.10526315789473685,53,50
Exp2_to_Exp1,OnlineAdaptation,3403,250.0,0.75,65.84187094582133,77.47952684258053,0.05660377358490566,0.75,0.10526315789473685,53,50
Exp2_to_Exp1,OnlineAdaptation,3403,500.0,1.0,142.97941944913373,77.75688925896793,0.07547169811320754,1.0,0.14035087719298245,53,49
Exp2_to_Exp1,OnlineAdaptation,3403,1000.0,1.0,142.97941944913373,77.75688925896793,0.07547169811320754,1.0,0.14035087719298245,53,49
Exp2_to_Exp1,TargetSupervisedUpperBound,3403,100.0,0.5,71.51837376361937,71.51837376361937,0.06666666666666667,0.5,0.11764705882352941,30,28
Exp2_to_Exp1,TargetSupervisedUpperBound,3403,250.0,0.5,71.51837376361937,71.51837376361937,0.06666666666666667,0.5,0.11764705882352941,30,28
Exp2_to_Exp1,TargetSupervisedUpperBound,3403,500.0,0.5,71.51837376361937,71.51837376361937,0.06666666666666667,0.5,0.11764705882352941,30,28
Exp2_to_Exp1,TargetSupervisedUpperBound,3403,1000.0,0.75,228.53992445249938,71.59763313609437,0.1,0.75,0.17647058823529416,30,27
Exp2_to_Exp1,DirectTransfer,3404,100.0,0.25,47.92899408283847,47.92899408283847,1.0,0.25,0.4,1,0
Exp2_to_Exp1,DirectTransfer,3404,250.0,0.25,47.92899408283847,47.92899408283847,1.0,0.25,0.4,1,0
Exp2_to_Exp1,DirectTransfer,3404,500.0,0.25,47.92899408283847,47.92899408283847,1.0,0.25,0.4,1,0
Exp2_to_Exp1,DirectTransfer,3404,1000.0,0.25,47.92899408283847,47.92899408283847,1.0,0.25,0.4,1,0
Exp2_to_Exp1,CalibrationOnly,3404,100.0,0.75,57.92422403024951,65.6804733727804,0.06976744186046512,0.75,0.1276595744680851,43,40
Exp2_to_Exp1,CalibrationOnly,3404,250.0,0.75,57.92422403024951,65.6804733727804,0.06976744186046512,0.75,0.1276595744680851,43,40
Exp2_to_Exp1,CalibrationOnly,3404,500.0,0.75,57.92422403024951,65.6804733727804,0.06976744186046512,0.75,0.1276595744680851,43,40
Exp2_to_Exp1,CalibrationOnly,3404,1000.0,0.75,57.92422403024951,65.6804733727804,0.06976744186046512,0.75,0.1276595744680851,43,40
Exp2_to_Exp1,OnlineAdaptation,3404,100.0,1.0,39.03092047154155,39.03965950756901,0.10526315789473684,1.0,0.1904761904761905,38,34
Exp2_to_Exp1,OnlineAdaptation,3404,250.0,1.0,39.03092047154155,39.03965950756901,0.10526315789473684,1.0,0.1904761904761905,38,34
Exp2_to_Exp1,OnlineAdaptation,3404,500.0,1.0,39.03092047154155,39.03965950756901,0.10526315789473684,1.0,0.1904761904761905,38,34
Exp2_to_Exp1,OnlineAdaptation,3404,1000.0,1.0,39.03092047154155,39.03965950756901,0.10526315789473684,1.0,0.1904761904761905,38,34
Exp2_to_Exp1,TargetSupervisedUpperBound,3404,100.0,0.75,55.92988584677065,53.84615384615245,0.07894736842105263,0.75,0.14285714285714285,38,35
Exp2_to_Exp1,TargetSupervisedUpperBound,3404,250.0,0.75,55.92988584677065,53.84615384615245,0.07894736842105263,0.75,0.14285714285714285,38,35
Exp2_to_Exp1,TargetSupervisedUpperBound,3404,500.0,0.75,55.92988584677065,53.84615384615245,0.07894736842105263,0.75,0.14285714285714285,38,35
