direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,short_score,medium_score,long_score,source_probability,adapter_frozen_fraction,event_status,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3402,7,Exp2,CalibrationOnly,5100.5,5110.5,5430.5,3.9939643005103735,2.5950740325443613,2.130435514313832,1.446762563832576,0.39893773198127747,0.9552238805970149,unmatched_candidate_event,8992.5,9009.166666666666,9542.5
Exp1_to_Exp2,Exp1,Exp2,3402,8,Exp2,CalibrationOnly,5585.5,5710.5,5810.5,2.103763932922933,0.9521047043164652,1.150496931934127,1.968646115245474,0.4000709652900696,0.8695652173913043,unmatched_candidate_event,9800.833333333332,10009.166666666668,10175.833333333332
Exp1_to_Exp2,Exp1,Exp2,3402,9,Exp2,CalibrationOnly,6015.5,6080.5,6650.5,2.808708537996739,1.2572368211096268,1.8356049830800547,2.125608051660176,0.44349777698516846,1.0,unmatched_candidate_event,10517.5,10625.833333333334,11575.833333333334
Exp1_to_Exp2,Exp1,Exp2,3402,10,Exp2,CalibrationOnly,6905.5,6970.5,7285.5,3.209009526279425,1.7828011403825064,1.849637291962784,1.840934154742136,0.3570118844509125,1.0,unmatched_candidate_event,12000.833333333334,12109.166666666666,12634.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,11,Exp2,CalibrationOnly,7805.5,7810.5,7870.5,1.919149874140911,1.1937384263945956,0.8139255772886809,1.6286497573560004,0.4368155300617218,1.0,unmatched_candidate_event,13500.833333333334,13509.166666666666,13609.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,12,Exp2,CalibrationOnly,8105.5,8110.5,8115.5,1.6041561418012653,1.0660489259562804,1.2203735401532148,0.9775973008429392,0.42394259572029114,1.0,unmatched_candidate_event,14000.833333333334,14009.166666666666,14017.5
Exp1_to_Exp2,Exp1,Exp2,3402,13,Exp2,CalibrationOnly,8410.5,8455.5,8525.5,1.2737520200408055,0.6179668982064348,0.9280203675502131,1.4822573966037826,0.3371272683143616,1.0,unmatched_candidate_event,14509.166666666666,14584.166666666666,14700.833333333332
Exp1_to_Exp2,Exp1,Exp2,3402,14,Exp2,CalibrationOnly,8700.5,8725.5,9190.5,3.0319944862307,1.8247863955931252,1.5935629595544099,1.7455006426422432,0.42409664392471313,0.898989898989899,unmatched_candidate_event,14992.5,15034.166666666666,15809.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,15,Exp2,CalibrationOnly,9295.5,9310.5,9790.5,4.746134237696806,2.1974632776643923,2.5747373358016574,3.030899824433538,0.4120377004146576,1.0,unmatched_candidate_event,15984.166666666666,16009.166666666666,16809.166666666668
Exp1_to_Exp2,Exp1,Exp2,3402,16,Exp2,CalibrationOnly,9865.5,10530.5,12035.5,9.265998276055857,4.598829311370621,4.418612762884401,4.770679529671911,0.2982735335826874,1.0,unmatched_candidate_event,16934.166666666668,18042.5,20551.983298538624
Exp1_to_Exp2,Exp1,Exp2,3402,17,Exp2,CalibrationOnly,12605.5,12625.5,12785.5,2.9331767526397345,1.6347794138648506,1.6924727980953314,1.9111158473958465,0.3654176592826843,1.0,unmatched_candidate_event,21503.966597077244,21537.369519832984,21804.592901878914
Exp1_to_Exp2,Exp1,Exp2,3402,18,Exp2,CalibrationOnly,12950.5,13215.5,13535.5,2.345029721984388,1.1462931306488213,1.6223590113032844,1.9026254204393482,0.34576416015625,0.9915254237288136,unmatched_candidate_event,22080.167014613777,22522.75574112735,23057.202505219208
Exp1_to_Exp2,Exp1,Exp2,3402,19,Exp2,CalibrationOnly,13740.5,13815.5,13840.5,1.0950890519930465,0.34561353718921206,0.374806427753291,2.21017049846846,0.4104806184768677,1.0,unmatched_candidate_event,23399.582463465555,23524.843423799583,23566.59707724426
Exp1_to_Exp2,Exp1,Exp2,3402,1,Exp2,OnlineAdaptation,910.5,970.5,1270.5,2.7460647279158596,1.372272085263825,1.3521900761851358,1.7125459734304846,0.35284438729286194,0.958904109589041,unmatched_candidate_event,2014.5121504660453,2114.3590213049265,2613.5933754993343
