candidate_set,features,l2,optimizer_success,candidate_valid,selection_score,Stage5_AUROC,Stage5_AUPRC,Risk_Stage_Spearman,soft_target_brier,Stage4to5_recall_at_10pct_early_fpr,max_effective_beta,distinct_logits,direction_id
F2,AWR_adaptive;BDall_xy_v2,0.1,True,True,0.9194496190660522,1.0,1.0,0.7158218324493751,0.09630664676470939,0.6231343283582089,0.25448612784610447,728,Exp2_to_Exp1
F2,AWR_adaptive;BDall_xy_v2,0.5,True,True,0.9095241220957084,1.0,1.0,0.7146256981327017,0.1467538305548891,0.6007462686567164,0.07922685522995261,728,Exp2_to_Exp1
F2,AWR_adaptive;BDall_xy_v2,1.0,True,True,0.9075698909314788,1.0,1.0,0.7145357152028743,0.1597220496965355,0.6007462686567164,0.04262091666522597,728,Exp2_to_Exp1
F2,AWR_adaptive;BDall_xy_v2,2.0,True,True,0.9064251446276764,1.0,1.0,0.714446542500699,0.1672942432537679,0.6007462686567164,0.02214683478610648,728,Exp2_to_Exp1
F3,AWR_adaptive;BDall_xy_v2;RS50_positive,0.05,True,True,0.9183552371279166,1.0,1.0,0.6890193269646434,0.07827150279529436,0.6119402985074627,5.0,728,Exp2_to_Exp1
F3,AWR_adaptive;BDall_xy_v2;RS50_positive,0.1,True,True,0.9135114747178968,1.0,1.0,0.6781859954445435,0.0983659068039156,0.6044776119402985,5.0,728,Exp2_to_Exp1
F3,AWR_adaptive;BDall_xy_v2;RS50_positive,0.5,True,True,0.8836214469386064,1.0,1.0,0.6000327070733296,0.14851564104524195,0.458955223880597,4.795067440182097,728,Exp2_to_Exp1
F3,AWR_adaptive;BDall_xy_v2;RS50_positive,1.0,True,True,0.8806333776899746,1.0,1.0,0.5958590020221964,0.16067850829058875,0.45149253731343286,2.805525733688581,728,Exp2_to_Exp1
F3,AWR_adaptive;BDall_xy_v2;RS50_positive,2.0,True,True,0.8793910607301534,1.0,1.0,0.5941053834204638,0.16779154228824136,0.45149253731343286,1.527790428011818,728,Exp2_to_Exp1
F4,AWR_adaptive;BDall_xy_v2;TES,0.05,True,True,0.9216672187248445,1.0,1.0,0.7157642586256296,0.07650914211215282,0.6156716417910447,0.35544654644688295,728,Exp2_to_Exp1
F4,AWR_adaptive;BDall_xy_v2;TES,0.1,True,True,0.9134170165980058,1.0,1.0,0.6944803248867139,0.09742070295269592,0.585820895522388,0.25384973621904444,728,Exp2_to_Exp1
F4,AWR_adaptive;BDall_xy_v2;TES,0.5,True,True,0.8997818820386114,1.0,1.0,0.6520264453187536,0.14758120269141156,0.5671641791044776,0.07908980568685359,728,Exp2_to_Exp1
F4,AWR_adaptive;BDall_xy_v2;TES,1.0,True,True,0.8972317886169279,1.0,1.0,0.6454707821783162,0.16021138340901114,0.5671641791044776,0.04257738005027395,728,Exp2_to_Exp1
F4,AWR_adaptive;BDall_xy_v2;TES,2.0,True,True,0.8958661099257338,1.0,1.0,0.642840544917518,0.16756241650977236,0.5671641791044776,0.022134204970646255,728,Exp2_to_Exp1
F5,AWR_adaptive;BDall_xy_v2;RS50_positive;TES,0.05,True,True,0.9183061556674214,1.0,1.0,0.6885745437573026,0.07830219039370205,0.6119402985074627,5.0,728,Exp2_to_Exp1
F5,AWR_adaptive;BDall_xy_v2;RS50_positive;TES,0.1,True,True,0.9095694961393659,1.0,1.0,0.6588157717593148,0.09929447059202891,0.585820895522388,5.0,728,Exp2_to_Exp1
F5,AWR_adaptive;BDall_xy_v2;RS50_positive;TES,0.5,True,True,0.8799497712346789,1.0,1.0,0.5607238770615525,0.14927515458596255,0.4626865671641791,4.757782020422337,728,Exp2_to_Exp1
F5,AWR_adaptive;BDall_xy_v2;RS50_positive;TES,1.0,True,True,0.8756437699027122,0.999436556231688,0.9964505335404976,0.5534976790483702,0.16114657544304833,0.4552238805970149,2.7924416986642275,728,Exp2_to_Exp1
F5,AWR_adaptive;BDall_xy_v2;RS50_positive;TES,2.0,True,True,0.8687793336395355,0.9982674104124408,0.9793372840796314,0.5489662028849993,0.16805300130393067,0.44776119402985076,1.5237851085758831,728,Exp2_to_Exp1
