scope,direction_id,model,stage,count,median_logit,IQR_logit,p05,p25,p75,p95,median_probability,high_rate,watch_rate
target,Exp2_to_Exp1,P1,1,1511,-1.4966207466466896,0.2015786212081414,-1.6569129057458278,-1.5678663228022627,-1.3662877015941213,-0.33827935665880404,0.18293006843395868,0.0,0.004632693580410324
target,Exp2_to_Exp1,P1,2,2710,-0.3047694335974181,0.5918355779791713,-0.9702396926667713,-0.7920624917969485,-0.2002269138177772,-0.06324885128976958,0.42439197152610364,0.0,0.0
target,Exp2_to_Exp1,P1,3,1343,-0.5768169085276582,0.3804964039304234,-0.7867060310680656,-0.7558702132468964,-0.375373809316473,-0.06452232777904283,0.3596653513830124,0.0,0.0
target,Exp2_to_Exp1,P1,4,1352,0.09051645791356179,0.16089204228212156,0.02271037800698386,0.058023055059726145,0.21891509734184772,0.6916659353796349,0.5226136765564995,0.015532544378698224,0.13313609467455623
target,Exp2_to_Exp1,P1,5,2199,0.052173918976336664,0.8085691749386346,-0.2799824366158059,-0.15850878805212723,0.6500603868865074,0.830660830116717,0.5130405217252338,0.0,0.4083674397453388
target,Exp2_to_Exp1,P2,1,1511,-1.2848883468330063,0.2015786212081414,-1.4451805059321448,-1.3561339229885792,-1.1545553017804377,-0.12654695684512074,0.21671926776286865,0.0,0.00727994705493051
target,Exp2_to_Exp1,P2,2,2710,-0.09303703378373479,0.5918355779791713,-0.758507292853088,-0.5803300919832652,0.01150548599590609,0.14848354852391374,0.4767575045089363,0.0,0.0
target,Exp2_to_Exp1,P2,3,1343,-0.3650845087139749,0.3804964039304234,-0.5749736312543823,-0.5441378134332131,-0.16364140950278971,0.14721007203464045,0.40972930937981955,0.0,0.029039463886820552
target,Exp2_to_Exp1,P2,4,1352,0.3022488577272451,0.16089204228212162,0.23444277782066716,0.26975545487340946,0.4306474971555311,0.9033983351933182,0.5749921761661356,0.03476331360946745,0.39201183431952663
target,Exp2_to_Exp1,P2,5,2199,0.26390631879001997,0.8085691749386346,-0.06825003680212258,0.05322361176155607,0.8617927867001907,1.0423932299304002,0.5655963078705397,0.08913142337426103,0.43337880854934063
target,Exp2_to_Exp1,P3,1,1511,-1.4319247355925087,0.2015786212081414,-1.592216894691647,-1.5031703117480815,-1.30159169053994,-0.27358334560462305,0.19279896527256649,0.0,0.005294506949040371
target,Exp2_to_Exp1,P3,2,2710,-0.24007342254323707,0.5918355779791713,-0.9055436816125904,-0.7273664807427676,-0.1355309027635962,0.0014471597644114434,0.44026825698056316,0.0,0.0
target,Exp2_to_Exp1,P3,3,1343,-0.5121208974734772,0.3804964039304234,-0.7220100200138846,-0.6911742021927154,-0.310677798262292,0.00017368327513817987,0.3746964694116436,0.0,0.0007446016381236039
target,Exp2_to_Exp1,P3,4,1352,0.15521246896774282,0.16089204228212162,0.08740638906116488,0.12271906611390716,0.28361110839602877,0.7563619464338159,0.5387254040640039,0.019970414201183433,0.21745562130177515
target,Exp2_to_Exp1,P3,5,2199,0.11686993003051768,0.8085691749386346,-0.21528642556162486,-0.09381277699794621,0.7147563979406883,0.895356841170898,0.529184272089429,0.00045475216007276033,0.41246020918599363
target,Exp2_to_Exp1,V11_R1_REF,1,1511,-3.4548274835614e-14,4.0564265043469696e-14,-5.900156143423215e-14,-4.7100998044283136e-14,-6.53673300081344e-15,7.316588470252515e-14,0.49999999999999134,0.0,0.0
target,Exp2_to_Exp1,V11_R1_REF,2,2710,7.30011090963453e-14,7.671175202979168e-14,3.0902260397988395e-14,5.1877816598810806e-14,1.2858956862860247e-13,3.8544951089492025e-13,0.5000000000000183,0.0,0.0
target,Exp2_to_Exp1,V11_R1_REF,3,1343,1.1084063193006955e-13,7.601067574960782e-14,6.334926507692361e-14,9.600865429383313e-14,1.7201933004344096e-13,6.845440954539266e-13,0.5000000000000278,0.0,0.0
target,Exp2_to_Exp1,V11_R1_REF,4,1352,4.562377481571396e-14,4.7890257147452816e-14,1.679067644727935e-14,2.6710466901000407e-14,7.460072404845323e-14,3.98999913548298e-13,0.5000000000000114,0.0,0.0
target,Exp2_to_Exp1,V11_R1_REF,5,2199,1.4590536775546709e-13,8.612323973482534e-14,9.303080404929764e-14,1.191593118734092e-13,2.0528255160823454e-13,5.571802633612385e-13,0.5000000000000365,0.0,0.0
target,Exp2_to_Exp1,V11_R5_REF,1,1511,1.857449932375825e-14,3.093575973723066e-14,-6.242801105356569e-15,7.328336378286773e-15,3.8264096115517434e-14,1.0560367707927522e-13,0.5000000000000047,0.0,0.0
target,Exp2_to_Exp1,V11_R5_REF,2,2710,1.0635072224514402e-13,5.865394375127977e-14,7.576062616069142e-14,8.868257268274973e-14,1.473365164340295e-13,3.9025000769122e-13,0.5000000000000266,0.0,0.0
target,Exp2_to_Exp1,V11_R5_REF,3,1343,1.3130516589789762e-13,5.876682729552813e-14,9.464977340692291e-14,1.1914783995073947e-13,1.779146672462676e-13,7.220802071689628e-13,0.5000000000000329,0.0,0.0
target,Exp2_to_Exp1,V11_R5_REF,4,1352,7.73432984940976e-14,4.674858939323408e-14,5.0135548374106033e-14,5.730758618680408e-14,1.0405617558003817e-13,4.858392341968464e-13,0.5000000000000193,0.0,0.0
target,Exp2_to_Exp1,V11_R5_REF,5,2199,1.763804236182753e-13,7.334725432227347e-14,1.2292138311403423e-13,1.4872920822498112e-13,2.2207646254725459e-13,5.592990896897807e-13,0.5000000000000441,0.0,0.0
