direction_id,bootstrap_repeat,feature_name,normalized_weight
Exp1_source,30,rx_mean,0.4360153462000964
Exp1_source,30,rx_q05,-0.1468986508923399
Exp1_source,31,rs_corrdist_base,0.0224874054487888
Exp1_source,31,rs_mean,-0.3102304810440918
Exp1_source,31,ry_p2p,0.1214288981127495
Exp1_source,31,rx_mean,0.4331590038084413
Exp1_source,31,rx_q05,-0.1126942113356963
Exp1_source,32,rs_corrdist_base,0.0307550560685289
Exp1_source,32,rs_mean,-0.3625287141814229
Exp1_source,32,ry_p2p,0.0714078755210801
Exp1_source,32,rx_mean,0.4633064167759879
Exp1_source,32,rx_q05,-0.0720019372874203
Exp1_source,33,rs_corrdist_base,0.0209460594200708
Exp1_source,33,rs_mean,-0.3790595701921052
Exp1_source,33,ry_p2p,0.0667130963883415
Exp1_source,33,rx_mean,0.4616962131535267
Exp1_source,33,rx_q05,-0.0715850607307691
Exp1_source,34,rs_corrdist_base,0.0264433226679868
Exp1_source,34,rs_mean,-0.4271086778917346
Exp1_source,34,ry_p2p,0.0565904638306628
Exp1_source,34,rx_mean,0.4542413523253804
Exp1_source,34,rx_q05,-0.0356161831605302
Exp1_source,35,rs_corrdist_base,0.0201120882023593
Exp1_source,35,rs_mean,-0.4085809330283764
Exp1_source,35,ry_p2p,0.0810150969742435
Exp1_source,35,rx_mean,0.4537813009991098
Exp1_source,35,rx_q05,-0.0365105806551112
Exp1_source,36,rs_corrdist_base,0.0250127120134242
Exp1_source,36,rs_mean,-0.3668762191740746
Exp1_source,36,ry_p2p,0.0732437960382442
Exp1_source,36,rx_mean,0.4610706686874231
Exp1_source,36,rx_q05,-0.073796603939619
Exp1_source,37,rs_corrdist_base,0.0260468464438988
Exp1_source,37,rs_mean,-0.3644347393778236
Exp1_source,37,ry_p2p,0.0875904308513631
Exp1_source,37,rx_mean,0.4486822652669425
Exp1_source,37,rx_q05,-0.0732457178630635
Exp1_source,38,rs_corrdist_base,0.0246162308542347
Exp1_source,38,rs_mean,-0.4243456612613758
Exp1_source,38,ry_p2p,0.0668489496491162
Exp1_source,38,rx_mean,0.4528797025803401
Exp1_source,38,rx_q05,-0.0313094555207474
Exp1_source,39,rs_corrdist_base,0.033968983139102
Exp1_source,39,rs_mean,-0.2689914868908701
Exp1_source,39,ry_p2p,0.10123472176282
Exp1_source,39,rx_mean,0.4569009222612561
Exp1_source,39,rx_q05,-0.1389038857283368
Exp1_source,40,rs_corrdist_base,0.0359027490684731
Exp1_source,40,rs_mean,-0.378992603093184
Exp1_source,40,ry_p2p,0.0823383007729755
Exp1_source,40,rx_mean,0.4308155536655545
Exp1_source,40,rx_q05,-0.0719507932482831
Exp1_source,41,rs_corrdist_base,0.0082442082391316
Exp1_source,41,rs_mean,-0.3186653566120433
Exp1_source,41,ry_p2p,0.1181920012298802
Exp1_source,41,rx_mean,0.4570927148730968
Exp1_source,41,rx_q05,-0.0978057188250336
Exp1_source,42,rs_corrdist_base,0.021306777642594
Exp1_source,42,rs_mean,-0.3960903611955588
Exp1_source,42,ry_p2p,0.0747911557060328
Exp1_source,42,rx_mean,0.4721812272057014
Exp1_source,42,rx_q05,-0.03563047808074
Exp1_source,43,rs_corrdist_base,0.041712916040561
Exp1_source,43,rs_mean,-0.2514455137983693
Exp1_source,43,ry_p2p,0.1057312171726414
Exp1_source,43,rx_mean,0.4539459511930391
Exp1_source,43,rx_q05,-0.147164401617189
Exp1_source,44,rs_corrdist_base,0.0247295612337813
Exp1_source,44,rs_mean,-0.3402550395404824
Exp1_source,44,ry_p2p,0.10565504396018
Exp1_source,44,rx_mean,0.4330420139844406
Exp1_source,44,rx_q05,-0.0963183410650918
Exp1_source,45,rs_corrdist_base,0.0191622639466144
Exp1_source,45,rs_mean,-0.3750752913580793
Exp1_source,45,ry_p2p,0.0724816742614913
Exp1_source,45,rx_mean,0.4581830350392119
Exp1_source,45,rx_q05,-0.0750977352717075
Exp1_source,46,rs_corrdist_base,0.0153026517378769
Exp1_source,46,rs_mean,-0.2457065616712208
Exp1_source,46,ry_p2p,0.1222910420930088
Exp1_source,46,rx_mean,0.4618243079994766
Exp1_source,46,rx_q05,-0.1548754362988796
Exp1_source,47,rs_corrdist_base,0.0224200895138989
Exp1_source,47,rs_mean,-0.3900816909243672
Exp1_source,47,ry_p2p,0.0922633131132964
Exp1_source,47,rx_mean,0.432627108358208
Exp1_source,47,rx_q05,-0.062607797921624
Exp1_source,48,rs_corrdist_base,0.0463917218609273
Exp1_source,48,rs_mean,-0.3349398661286884
Exp1_source,48,ry_p2p,0.0822115469130724
Exp1_source,48,rx_mean,0.4413343069859299
Exp1_source,48,rx_q05,-0.0951225579022027
Exp1_source,49,rs_corrdist_base,0.0306592686289536
Exp1_source,49,rs_mean,-0.2875864743281857
Exp1_source,49,ry_p2p,0.0922060870672377
Exp1_source,49,rx_mean,0.4497611508664546
Exp1_source,49,rx_q05,-0.1397870189687655
Exp1_source,50,rs_corrdist_base,0.0176026426835658
Exp1_source,50,rs_mean,-0.4576334489600327
Exp1_source,50,ry_p2p,0.0603741166844693
Exp1_source,50,rx_mean,0.4506562452677632
Exp1_source,50,rx_q05,0.0137335462896518
Exp1_source,51,rs_corrdist_base,0.0226802711735045
Exp1_source,51,rs_mean,-0.3758443586650122
Exp1_source,51,ry_p2p,0.1020593371351999
Exp1_source,51,rx_mean,0.43261814071476
Exp1_source,51,rx_q05,-0.0667978921612533
Exp1_source,52,rs_corrdist_base,-0.0238980353700136
Exp1_source,52,rs_mean,0.097921641273253
Exp1_source,52,ry_p2p,0.2366399035076967
Exp1_source,52,rx_mean,0.3489780491916966
Exp1_source,52,rx_q05,-0.2925623701662531
Exp1_source,53,rs_corrdist_base,0.0200821563646292
Exp1_source,53,rs_mean,-0.3382019405655188
Exp1_source,53,ry_p2p,0.1013087158770737
Exp1_source,53,rx_mean,0.4495874415275708
Exp1_source,53,rx_q05,-0.0908197454658402
Exp1_source,54,rs_corrdist_base,0.0266144171113638
Exp1_source,54,rs_mean,-0.3006200168670698
Exp1_source,54,ry_p2p,0.0906717299599793
Exp1_source,54,rx_mean,0.4669309997864062
Exp1_source,54,rx_q05,-0.1151628360991524
Exp1_source,55,rs_corrdist_base,0.0158806528102461
Exp1_source,55,rs_mean,-0.4142047161621549
Exp1_source,55,ry_p2p,0.0907080681471873
Exp1_source,55,rx_mean,0.4458590102780477
Exp1_source,55,rx_q05,-0.0333475524263934
Exp1_source,56,rs_corrdist_base,0.0209021532854466
