dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,forecast_mae,persistence_mae,forecast_activity,shared_predictor_observed_updates,causal_warmup,shared_z0,shared_z1,shared_z2,shared_z3,shared_z4,shared_z5
Exp1,83,83,416.0,435.0,425.5,0.12313290151873663,0.08871600188368513,0.10090974610596981,164,0,0.021830659928218882,-0.06966833466271666,0.0469505775201912,-0.13886011372021773,0.01709418569124576,0.1408829674115541
Exp1,84,84,421.0,440.0,430.5,0.1212830837539709,0.08673359813621813,0.1012618375110474,166,0,0.04933950389332887,0.07130696638845566,0.0026922967915660456,-0.16493005882999295,-0.07162300740859158,0.2685194656567316
Exp1,85,85,426.0,445.0,435.5,0.08273175218843283,0.0681014148727624,0.07628828554860587,168,0,0.0765773299371161,0.055759687231522914,-0.05876218919043917,-0.18091485939853713,-0.11552226155240618,0.3709037064248639
Exp1,86,86,431.0,450.0,440.5,0.06929636418247881,0.09432285881498531,0.14885466782373338,170,0,0.09082627368110271,0.0753492468483608,-0.10716699428647494,-0.19736395417261415,-0.12085312159738386,0.415322440167067
Exp1,87,87,436.0,455.0,445.5,0.10229455016301199,0.11349786589733218,0.198544521291945,172,0,0.08149850771489461,0.13912845798207943,-0.09715760809937814,-0.22967316486401945,-0.08332888098532311,0.34126287318410403
Exp1,88,88,441.0,460.0,450.5,0.052308190981551324,0.09321379319288442,0.13035275879187277,174,0,0.057430110011851804,0.08861441862960728,-0.1292066424846456,-0.22514374036687257,-0.01242815350515225,0.2991399896669331
Exp1,89,89,446.0,465.0,455.5,0.0968200272511223,0.09155342659873898,0.15419739871424337,176,0,0.03330376331900667,0.0652809923118337,-0.14087627536487526,-0.2253934669389731,0.03380789666759063,0.2264613972423982
Exp1,90,90,451.0,470.0,460.5,0.07748396099436022,0.04763831898996711,0.08738105889884112,178,0,0.01770291071450724,0.05389681604435205,-0.06229147372452128,-0.2110362147711839,-0.003422135002744811,-0.2867642585578975
Exp1,91,91,456.0,475.0,465.5,0.0829517233367483,0.07785719794936578,0.16090115093017604,180,0,0.0017824555579600727,-0.008499363274723337,-0.04268600615860006,-0.20939075065090668,0.09094453324855681,-0.31058348696583393
Exp1,92,92,461.0,480.0,470.5,0.09750444576031968,0.07756368404272597,0.1322404943246708,182,0,0.01389871436397564,-0.040831008253488316,0.03537042107931664,-0.21244158598734125,0.15226199096808563,-0.19112018091069347
Exp1,93,93,466.0,485.0,475.5,0.08289864852377778,0.07809069149755914,0.11959213032222331,184,0,0.00886984715396144,0.02901930325371792,0.05541961724543633,-0.22548574096270319,0.20041528599051686,-0.13009174396272832
Exp1,94,94,471.0,490.0,480.5,0.04591068383919831,0.05319929280569166,0.06654587995561619,186,0,0.009534723137317049,0.02075781720032511,0.02013503016501763,-0.22596905603434178,0.28601945409606294,0.0913206158828004
Exp1,95,95,476.0,495.0,485.5,0.07150998842404906,0.07651122140521308,0.08528030679533227,188,0,0.02531060396036689,-2.855927028863614e-05,-0.03810366856355324,-0.19927547833936085,0.19815106746185154,-0.11830121713200559
Exp1,96,96,481.0,500.0,490.5,0.10119336953082524,0.11935530300010903,0.15585103783989568,190,0,0.03866129799097046,-0.01653457511490322,-0.04793748153383492,-0.2004042453144256,0.10118900523697841,-0.21251028125496285
Exp1,97,97,486.0,505.0,495.5,0.21069243001184165,0.16648653551720685,0.2554153055587907,192,0,0.08849815172220284,-0.011455661913742199,-0.09925957712757442,-0.1864143170423912,0.016343844227485534,0.37508199516505175
Exp1,98,98,491.0,510.0,500.5,0.14261834563095455,0.08528040922240959,0.11615649223052174,194,0,0.08769821358857173,-0.10705227578380151,-0.2198605884663644,-0.21087971821375218,0.03172397844130154,-0.551555239619165
