due_observation_cycle,protocol_id,output_name,horizon_cycles,baseline_model,instantaneous_regret,cumulative_regret
2660.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,0.0,0.0
3910.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,0.0,0.0
5160.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,0.0,0.0
6410.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,0.0,0.0
7660.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,0.0,0.0
8910.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,0.0,0.0
10160.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,0.0,0.0
11410.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,0.0,0.0
12660.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,0.0,0.0
13910.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,0.0,0.0
14060.5,A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,0.0,0.0
3160.5,A_Exp1_to_Exp2,D_state,1000,Zero_Delta,-7.726921976974313,-35.77837788663223
4410.5,A_Exp1_to_Exp2,D_state,1000,Zero_Delta,-2.434575869206869,-124.301033592803
5660.5,A_Exp1_to_Exp2,D_state,1000,Zero_Delta,2.1367873092796934,-118.90160177613424
6910.5,A_Exp1_to_Exp2,D_state,1000,Zero_Delta,-4.885509113172407,-50.47873971984511
8160.5,A_Exp1_to_Exp2,D_state,1000,Zero_Delta,4.437678450419249,-137.62102635401246
9410.5,A_Exp1_to_Exp2,D_state,1000,Zero_Delta,-0.7778369845920308,-139.0382635049485
10660.5,A_Exp1_to_Exp2,D_state,1000,Zero_Delta,3.510358090866438,-206.2150381932204
11910.5,A_Exp1_to_Exp2,D_state,1000,Zero_Delta,-2.2368004801552246,-208.00305346998192
13160.5,A_Exp1_to_Exp2,D_state,1000,Zero_Delta,-4.463040834006955,-270.1001281971753
14060.5,A_Exp1_to_Exp2,D_state,1000,Zero_Delta,3.77718339260524,-321.2916104883326
3160.5,A_Exp1_to_Exp2,D_state,1000,Local_Linear,-10.5096881301445,-72.83575912632271
4410.5,A_Exp1_to_Exp2,D_state,1000,Local_Linear,1.248878340046998,-219.5147257092592
5660.5,A_Exp1_to_Exp2,D_state,1000,Local_Linear,5.756678916145457,-251.64974707208688
6910.5,A_Exp1_to_Exp2,D_state,1000,Local_Linear,-8.158850670537614,-102.43797810778868
8160.5,A_Exp1_to_Exp2,D_state,1000,Local_Linear,9.345125262502089,-218.15294273591547
9410.5,A_Exp1_to_Exp2,D_state,1000,Local_Linear,2.945835367459151,-311.8703152367682
10660.5,A_Exp1_to_Exp2,D_state,1000,Local_Linear,-4.513524141027881,-491.748379427799
11910.5,A_Exp1_to_Exp2,D_state,1000,Local_Linear,-9.139123173075046,-488.078863831024
13160.5,A_Exp1_to_Exp2,D_state,1000,Local_Linear,1.7985218725827163,-668.6002536385367
14060.5,A_Exp1_to_Exp2,D_state,1000,Local_Linear,2.832750531061608,-669.8240027337724
3160.5,A_Exp1_to_Exp2,D_state,1000,Kalman_Trend,-67.0269963450626,-631.1781211634601
4410.5,A_Exp1_to_Exp2,D_state,1000,Kalman_Trend,-47.1385855980085,-1524.220536438106
5660.5,A_Exp1_to_Exp2,D_state,1000,Kalman_Trend,-23.05020449611439,-2104.1314520793057
6910.5,A_Exp1_to_Exp2,D_state,1000,Kalman_Trend,6.580521162368051,-2224.7250911179663
8160.5,A_Exp1_to_Exp2,D_state,1000,Kalman_Trend,-64.24412768184956,-3386.370611828191
9410.5,A_Exp1_to_Exp2,D_state,1000,Kalman_Trend,-73.34369499363544,-4085.253300799872
10660.5,A_Exp1_to_Exp2,D_state,1000,Kalman_Trend,-30.27715757855785,-4886.791166941864
11910.5,A_Exp1_to_Exp2,D_state,1000,Kalman_Trend,-24.124651680844504,-5681.233671584801
13160.5,A_Exp1_to_Exp2,D_state,1000,Kalman_Trend,-15.431052985542124,-6459.194495605011
14060.5,A_Exp1_to_Exp2,D_state,1000,Kalman_Trend,-10.6475376141957,-6604.334321350415
3160.5,A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,0.0,0.0
4410.5,A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,0.0,0.0
5660.5,A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,0.0,0.0
6910.5,A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,0.0,0.0
8160.5,A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,0.0,0.0
9410.5,A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,0.0,0.0
10660.5,A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,0.0,0.0
11910.5,A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,0.0,0.0
13160.5,A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,0.0,0.0
14060.5,A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,0.0,0.0
2260.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,5.3722763415958,25.630885818389743
3510.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,-1.5363148729166785,88.0490506167899
4760.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,4.568517383803716,166.88395670742855
6010.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,5.152473155214917,267.7206708545866
7260.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,-2.678991122020768,346.2342100305287
8510.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,-0.7223357075175434,443.8341335441703
9760.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,6.957649092631184,507.3316580796379
11010.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,1.987576254182664,486.2351383615061
12260.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,1.0971716852028572,530.6409732418631
13510.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,-0.5191335314652004,548.228224782021
14060.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,1.8119599457192583,556.8858827951557
2260.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,5.382492021641941,25.632372845670496
3510.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,-1.5471988764067386,87.90046104505801
4760.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,4.556965056869737,166.71152146623731
6010.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,5.141589151724857,267.55530520156515
7260.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,-2.6628247939457768,346.10449646947285
8510.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,-0.7129764742341376,443.6890450483188
9760.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,6.967008325914589,507.24792860797385
11010.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,1.9782170208992584,485.9348641068921
12260.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,0.9823337547645676,530.1613138085061
13510.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,-0.3765803584825489,547.5720680139141
