due_observation_cycle,protocol_id,output_name,horizon_cycles,model,rolling_count,rolling_MAE,rolling_RMSE,rolling_direction_accuracy
4760.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,75,1.931022273613868,2.6949148628270225,0.0
6010.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,100,1.5992717876138984,2.372119216113977,0.0
7260.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,125,1.7167638674363217,2.661401901496791,0.0
8510.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,150,1.825428366342216,2.7699616009034136,0.0
9760.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,175,1.826876494712188,2.7080881793792777,0.0
11010.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,200,2.3658585619768724,3.5475776858553907,0.0
12260.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,225,2.412890461941454,3.564192432870681,0.0
13510.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,250,2.2568671821856863,3.402601466072836,0.0
14060.5,A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,261,2.174007790149492,3.331059923956839,0.0
2260.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,25,1.9019718830036945,2.196967553299908,0.6
3510.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,50,2.24933230080832,3.010637545177304,0.52
4760.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,75,1.933321410163085,2.696991306175652,0.5066666666666667
6010.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,100,1.600925444144114,2.373896661081427,0.51
7260.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,125,1.717801575924769,2.662590374190755,0.52
8510.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,150,1.8263956229812264,2.771143687173093,0.52
9760.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,175,1.8273549488359837,2.709078728774076,0.5371428571428571
11010.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,200,2.367359933249943,3.5504875747416644,0.49
12260.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,225,2.415022281645263,3.567154479102,0.4844444444444444
13510.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,250,2.259491809258114,3.4057833490429594,0.488
14060.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,261,2.1783760703250423,3.334372615115018,0.4865900383141762
2260.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,25,2.2794415360493323,2.641297173156663,0.2
3510.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,50,2.781604261079293,3.5982865656845706,0.22
4760.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,75,2.385210764357004,3.222877589619193,0.2666666666666666
6010.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,100,1.9662370542294416,2.83710915820911,0.3
7260.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,125,2.092614277531552,3.1794319755714726,0.28
