dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,rx_mean,rx_absmean,rx_q05,ry_mean,ry_absmean,ry_q05,ry_p2p,rs_mean,rs_rms,offline_diagnostic_only,offline_smoothing_window_rows,offline_smooth__rx_mean,offline_d1__rx_mean,offline_d2__rx_mean,offline_vol__rx_mean,offline_smooth__rx_absmean,offline_d1__rx_absmean,offline_d2__rx_absmean,offline_vol__rx_absmean,offline_smooth__rx_q05,offline_d1__rx_q05,offline_d2__rx_q05,offline_vol__rx_q05,offline_smooth__ry_mean,offline_d1__ry_mean,offline_d2__ry_mean,offline_vol__ry_mean,offline_smooth__ry_absmean,offline_d1__ry_absmean,offline_d2__ry_absmean,offline_vol__ry_absmean,offline_smooth__ry_q05,offline_d1__ry_q05,offline_d2__ry_q05,offline_vol__ry_q05,offline_smooth__ry_p2p,offline_d1__ry_p2p,offline_d2__ry_p2p,offline_vol__ry_p2p,offline_smooth__rs_mean,offline_d1__rs_mean,offline_d2__rs_mean,offline_vol__rs_mean,offline_smooth__rs_rms,offline_d1__rs_rms,offline_d2__rs_rms,offline_vol__rs_rms
Exp1,1443,1443,7216.0,7235.0,7225.5,0.1278232234467687,0.1278232234467687,0.0320403639458475,-0.0300802682218738,0.0320453242451882,-0.0677514782349214,0.0900104506643156,0.1325997485485456,0.152759231522243,True,183,0.1286529696795336,0.0,0.0,0.009010681067218484,0.1286529696795336,0.0,0.0,0.009010681067218484,0.0329502019348566,0.0,0.0,0.01601334726150571,-0.0296464171050306,0.0,0.0,0.007157699610339011,0.0317199210139483,0.0,0.0,0.006503418830368759,-0.0670956285354662,-1.2691924423990918e-06,-2.0200885358923083e-09,0.007964607111892119,0.0895168002022687,5.796149524969763e-06,1.8614427352514623e-07,0.002155037288555371,0.1332892702705788,0.0,0.0,0.010731836021062329,0.1534415945442795,0.0,0.0,0.0071837736960699795
Exp1,1444,1444,7221.0,7240.0,7230.5,0.1282637702936099,0.1282637702936099,0.033598537235213,-0.0299303660069617,0.0319890534602314,-0.0675623263901736,0.0893711688377094,0.1330109538261765,0.1528070587648899,True,183,0.1286529696795336,0.0,0.0,0.009185403220228795,0.1286529696795336,0.0,0.0,0.009185403220228795,0.0329502019348566,0.0,0.0,0.016379228875360714,-0.0296464171050306,0.0,0.0,0.007300865002486445,0.0317199210139483,0.0,0.0,0.006632785168729721,-0.0671014057279966,-9.216578138890319e-07,2.0257375418775104e-09,0.008121372208533623,0.0895551432240822,4.144087337570879e-06,-5.478633258400312e-07,0.002188457565172714,0.1332892702705788,0.0,0.0,0.010942398942580553,0.1534415945442795,0.0,1.2038747765896751e-08,0.007318276352549504
Exp1,1445,1445,7226.0,7245.0,7235.5,0.1284436582703719,0.1284436582703719,0.0336479855027547,-0.0297035070672417,0.0318256187899916,-0.0674738140847738,0.0893424265717175,0.1331312818483257,0.1529485946405149,True,183,0.1286529696795336,0.0,0.0,0.009353057066285165,0.1286529696795336,0.0,0.0,0.009353057066285165,0.0329502019348566,0.0,0.0,0.01673636722988159,-0.0296464171050306,0.0,0.0,0.007441348017621061,0.0317199210139483,0.0,0.0,0.0067598032519553064,-0.0671048451136051,-1.2489350669803167e-06,-6.710981250809822e-08,0.008274133921181039,0.0895582410756444,3.175162665694509e-07,-1.522789088320709e-07,0.0022134856487930478,0.1332892702705788,0.0,0.0,0.011145428331488868,0.1534415945442795,1.203874776589675e-07,1.2038747765896751e-08,0.007444811718852315
Exp1,1446,1446,7231.0,7250.0,7240.5,0.1284034924681253,0.1284034924681253,0.0336714925268595,-0.0296362867532447,0.0317785955972564,-0.0674178216434218,0.0892305325542236,0.1330790669751582,0.1528469386330793,True,183,0.1286529696795336,0.0,0.0,0.009514462649429288,0.1286529696795336,0.0,0.0,0.009514462649429288,0.0329502019348566,0.0,0.0,0.017074810800591398,-0.0296464171050306,0.0,0.0,0.007578431101967849,0.0317199210139483,0.0,0.0,0.006883808971585758,-0.0671138950786664,-1.5927559389700141e-06,5.180057684905925e-08,0.008423512072176018,0.0895583183867479,2.62129824925017e-06,2.9945456840208e-07,0.002234158659001945,0.1332892702705788,0.0,0.0,0.011341401054141846,0.1534427984190561,1.203874776589675e-07,-1.2038747765896751e-08,0.007565457913600525
Exp1,1447,1447,7236.0,7255.0,7245.5,0.128594607773109,0.128594607773109,0.033939067228481,-0.029700198541504,0.0318653675072079,-0.0673523138579041,0.0889323603969585,0.1332822707310316,0.1529881952053088,True,183,0.1286529696795336,0.0,0.0,0.009669000041816306,0.1286529696795336,0.0,0.0,0.009669000041816306,0.0329502019348566,0.0,0.0,0.017395327862985786,-0.0296464171050306,0.0,0.0,0.007710803268617017,0.0317199210139483,0.0,0.0,0.0070035821506423636,-0.0671207726729948,-7.309292984897242e-07,1.549586073319731e-07,0.008573670588255474,0.0895844540581369,3.3120619505902505e-06,-1.4912484229301357e-07,0.0022593433245131017,0.1332892702705788,0.0,0.0,0.011529765992117854,0.1534427984190561,0.0,-1.2038747765896751e-08,0.00768115742348621
Exp1,1448,1448,7241.0,7260.0,7250.5,0.1280915407576715,0.1280915407576715,0.0328154501510224,-0.0297400919280261,0.0318655156348179,-0.0673255324946736,0.0895914390062538,0.1327975963722501,0.1527653208355727,True,183,0.1286529696795336,0.0,0.0,0.009821985624285778,0.1286529696795336,0.0,0.0,0.009821985624285778,0.0329502019348566,0.0,0.0,0.017720609701541244,-0.0296464171050306,0.0,0.0,0.007839570294071225,0.0317199210139483,0.0,0.0,0.007120286868935531,-0.0671212043716513,-4.316986565028324e-08,7.309292984897243e-08,0.008724291176029096,0.0895914390062538,1.1300498263200343e-06,-2.427382263030242e-07,0.0022956164638727947,0.1332892702705788,0.0,0.0,0.011716016890180163,0.1534427984190561,0.0,0.0,0.007794824622305732
Exp1,1449,1449,7246.0,7265.0,7255.5,0.1281230485521205,0.1281230485521205,0.0332147540732334,-0.0299087009043458,0.0319948880030249,-0.0674072460335539,0.0898042284172026,0.1328685178751881,0.1527656445330057,True,183,0.1286529696795336,0.0,0.0,0.009972358427111614,0.1286529696795336,0.0,0.0,0.009972358427111614,0.0329502019348566,0.0,0.0,0.01803248722281691,-0.0296464171050306,0.0,0.0,0.007966775602846919,0.0317199210139483,0.0,0.0,0.007235809900009081,-0.0671212043716513,0.0,4.316986565028325e-09,0.008876259907625644,0.0895957545564001,8.846796875600083e-07,7.362073014896553e-08,0.0023415194522123876,0.1332892702705788,0.0,0.0,0.011899364076027074,0.1534427984190561,0.0,0.0,0.007908804525016295
Exp1,1450,1450,7251.0,7270.0,7260.5,0.1277541198883893,0.1277541198883893,0.0318626723808689,-0.0299849991092185,0.0320162158432314,-0.067228148515337,0.0899943021240498,0.1325203596461893,0.152753392904513,True,183,0.1286529696795336,0.0,0.0,0.01011572068154418,0.1286529696795336,0.0,0.0,0.01011572068154418,0.0329502019348566,0.0,0.0,0.018321699217389475,-0.0296464171050306,0.0,0.0,0.008090619363707668,0.0317199210139483,0.0,0.0,0.0073483170343388235,-0.0671212043716513,0.0,0.0,0.009023744390053143,0.0896002858031294,1.8662571278096896e-06,1.341819465519589e-07,0.002382507505494327,0.1332892702705788,0.0,0.0,0.012074600376970975,0.1534427984190561,0.0,0.0,0.008019869020035588
Exp1,1451,1451,7256.0,7275.0,7265.5,0.127340246970188,0.127340246970188,0.0304443632665058,-0.0299280923581342,0.0319233695089157,-0.0671305343798502,0.0902749621531049,0.1320940882106032,0.1526452146723333,True,183,0.1286529696795336,0.0,0.0,0.01025982896926152,0.1286529696795336,0.0,0.0,0.01025982896926152,0.0329502019348566,0.0,0.0,0.018610322178045282,-0.0296464171050306,0.0,0.0,0.00821301298477955,0.0317199210139483,0.0,0.0,0.007459685381795214,-0.0671212043716513,0.0,-3.947587689803744e-08,0.009166556520987615,0.0896144171276782,2.2264991530795974e-06,1.6398752524932033e-08,0.0024199927427044662,0.1332892702705788,0.0,0.0,0.01225000498737996,0.1534427984190561,0.0,0.0,0.008131944932440866
Exp1,1452,1452,7261.0,7280.0,7270.5,0.1275781737832695,0.1275781737832695,0.0316376150601021,-0.0298779349687535,0.0319036413787037,-0.0671643679823229,0.0897572527062474,0.1323214680582764,0.1525428534321032,True,183,0.1286529696795336,0.0,0.0,0.010392042266145552,0.1286529696795336,0.0,0.0,0.010392042266145552,0.0329502019348566,0.0,0.0,0.018853010249330986,-0.0296464171050306,0.0,0.0,0.008333666646563527,0.0317199210139483,0.0,0.0,0.0075694616946096515,-0.0671212043716513,-3.947587689803744e-07,-8.505473597000824e-08,0.009301889253070857,0.0896225507946602,2.03024465305901e-06,-8.509341526283242e-08,0.0024454321023180776,0.1332892702705788,0.0,0.0,0.01241259965775039,0.1534427984190561,0.0,0.0,0.008238973358124452
Exp1,1453,1453,7266.0,7285.0,7275.5,0.1273482045662553,0.1273482045662553,0.0312997439805351,-0.0297523288045413,0.0318164762026254,-0.0671138950786664,0.0895957545564001,0.1320741100733156,0.1523539503169182,True,183,0.1286529696795336,0.0,0.0,0.010522678885167901,0.1286529696795336,0.0,0.0,0.010522678885167901,0.0329502019348566,0.0,0.0,0.01910113541952512,-0.0296464171050306,0.0,0.0,0.008449614286859584,0.0317199210139483,0.0,1.6160854488037056e-08,0.007674885403241053,-0.0671251519593411,-8.505473597000824e-07,-1.4348328192942405e-08,0.009431592177470973,0.0896347195742088,1.3755650004512732e-06,-8.217123801682045e-08,0.0024665908491009712,0.1332892702705788,0.0,0.0,0.012572400453943791,0.1534427984190561,0.0,0.0,0.008344146289397215
Exp1,1454,1454,7271.0,7290.0,7280.5,0.1276145043744862,0.1276145043744862,0.0319308713680053,-0.0296418277837644,0.0317492776291887,-0.0671680872052799,0.0895844540581369,0.1323116541390189,0.1523917915659771,True,183,0.1286529696795336,0.0,0.0,0.010650259755655877,0.1286529696795336,0.0,0.0,0.010650259755655877,0.0329502019348566,0.0,0.0,0.019352971326654502,-0.0296464171050306,0.0,-5.3584004355983205e-08,0.00856023466108385,0.0317199210139483,1.6160854488037056e-07,2.1748701931598168e-07,0.007775265666850518,-0.0671297098452483,-5.382420509097985e-07,1.1324231823928175e-08,0.009556470198375841,0.0896363064446647,1.2085322728908054e-06,-7.207159602451483e-10,0.0024912536127283335,0.1332892702705788,0.0,0.0,0.012728034996873775,0.1534427984190561,0.0,0.0,0.008444685114944716
Exp1,1455,1455,7276.0,7295.0,7285.5,0.1277382445926978,0.1277382445926978,0.0327492426864741,-0.0294833989085705,0.0316605840907314,-0.06704608782771,0.0894211682938722,0.1324119129358861,0.1522517806714805,True,183,0.1286529696795336,0.0,0.0,0.01077156742233053,0.1286529696795336,0.0,0.0,0.01077156742233053,0.0329502019348566,0.0,0.0,0.019598670991894072,-0.0296464171050306,-5.35840043559832e-07,-2.3644793308800344e-07,0.008665002512293239,0.0317215370993971,2.174870193159817e-06,2.5303930990594475e-07,0.007870119667554458,-0.0671305343798502,-7.373050414608006e-07,-4.0992761033004085e-08,0.009672587622570986,0.0896468048969377,1.3683578408488217e-06,1.6270946506996566e-07,0.0025113874955797456,0.1332892702705788,0.0,0.0,0.012875990000170827,0.1534427984190561,0.0,0.0,0.008538344030108709
Exp1,1456,1456,7281.0,7300.0,7290.5,0.1274924307276285,0.1274924307276285,0.0314425508047639,-0.0293591197626684,0.0315163752976588,-0.0669420490494943,0.0897269097350068,0.1321281817975066,0.1522912135555995,True,183,0.1286529696795336,0.0,0.0,0.01089093797384271,0.1286529696795336,0.0,0.0,0.01089093797384271,0.0329502019348566,0.0,0.0,0.019854664018452265,-0.0296517755054662,-2.3644793308800344e-06,-1.4730738200904175e-07,0.008764955539520862,0.0317416697158799,2.6920016439398177e-06,-1.4140788622794832e-07,0.007960589185927939,-0.0671370828956629,-9.481696612398393e-07,4.439869614916713e-08,0.009785056065640063,0.0896499900230732,2.835626923590462e-06,1.7693135378513135e-07,0.0025359032249861334,0.1332892702705788,0.0,0.0,0.013021084387491845,0.1534427984190561,0.0,0.0,0.008627969147938761
Exp1,1457,1457,7286.0,7305.0,7295.5,0.1275062053431934,0.1275062053431934,0.031521425679793,-0.0292996155568314,0.0314504309409135,-0.0667207141771572,0.0896813667368602,0.1321148519354325,0.152290720082923,True,183,0.1286529696795336,0.0,0.0,0.011004476576949564,0.1286529696795336,0.0,0.0,0.011004476576949564,0.0329502019348566,0.0,0.0,0.020090857113023063,-0.0296700618983394,-2.0089138636502498e-06,1.283348722900049e-07,0.008859424788135487,0.0317484571158365,7.607913308803338e-07,-2.609950308719855e-07,0.00804593306938786,-0.0671400160764626,-2.933180799691293e-07,9.481696612398394e-08,0.009892391007230125,0.0896751611661736,3.137671378700135e-06,-2.2150698549314173e-07,0.0025640047480308,0.1332892702705788,0.0,0.0,0.013158952526180783,0.1534427984190561,0.0,0.0,0.008712553624192208
Exp1,1458,1458,7291.0,7310.0,7300.5,0.1272337578152902,0.1272337578152902,0.0306104683107323,-0.029314429769243,0.0314102259776987,-0.0667354549696095,0.0896225507946602,0.1318374604882921,0.1522231618625417,True,183,0.1286529696795336,0.0,0.0,0.011112857265565363,0.1286529696795336,0.0,0.0,0.011112857265565363,0.0329502019348566,0.0,1.268827011340068e-07,0.0203104059916167,-0.0296718646441027,-1.0811306079799854e-06,1.1080578320003117e-07,0.00895069724738636,0.0317492776291887,8.205133521996255e-08,-7.607913308803339e-08,0.008128429101165615,-0.0671400160764626,0.0,2.933180799691293e-08,0.009996075405375364,0.0896813667368602,6.205570686590445e-07,-3.137671378700135e-07,0.002589372626170178,0.1332892702705788,0.0,0.0,0.013290711012151723,0.1534427984190561,0.0,0.0,0.00879438251338457
Exp1,1459,1459,7296.0,7315.0,7305.5,0.1271113574566665,0.1271113574566665,0.029713743011168,-0.0294368419028527,0.0314511468604296,-0.0666562814769618,0.0894971817288325,0.1317323520263095,0.1523215892171211,True,183,0.1286529696795336,0.0,0.0,0.011218077244639637,0.1286529696795336,0.0,0.0,0.011218077244639637,0.0329502019348566,1.268827011340068e-06,2.6423067830100285e-07,0.020525413960703655,-0.0296808732044192,-9.008560316499381e-07,1.0811306079799854e-07,0.009038695194927698,0.0317492776291887,0.0,-8.205133521996255e-09,0.008208023926818875,-0.0671400160764626,0.0,0.0,0.010098992678869005,0.0896813667368602,0.0,1.6509375896409108e-07,0.002619097105960649,0.1332892702705788,0.0,0.0,0.013418551714997205,0.1534427984190561,0.0,0.0,0.008873481058691802
Exp1,1460,1460,7301.0,7320.0,7310.5,0.1269026308991593,0.1269026308991593,0.0288904211723612,-0.0294975014747778,0.0314601566803953,-0.0666154153643125,0.0894137302580257,0.1315350523021815,0.1522864800030194,True,183,0.1286529696795336,0.0,0.0,0.011322372318015916,0.1286529696795336,0.0,0.0,0.011322372318015916,0.03296289020497,2.6423067830100287e-06,1.0630548169299202e-07,0.020733450541521686,-0.0296808732044192,0.0,8.187984197501053e-08,0.00912369902704544,0.0317492776291887,0.0,9.306502430986297e-09,0.008284693942069259,-0.0671400160764626,0.0,-8.34537750890596e-08,0.010199057591244585,0.0896813667368602,2.271494658299955e-06,3.0141889620804995e-07,0.0026469247954147472,0.1332892702705788,0.0,0.0,0.013544498582532752,0.1534427984190561,0.0,0.0,0.008951178089014073
Exp1,1461,1461,7306.0,7325.0,7315.5,0.12699846733825,0.12699846733825,0.0286923253635718,-0.029517652100505,0.0314882763744562,-0.0666301104161317,0.0893246152638267,0.1316386499648611,0.1521939212072443,True,183,0.1286529696795336,0.0,0.0,0.011422541875528321,0.1286529696795336,0.0,0.0,0.011422541875528321,0.0329766250026867,2.331881828269988e-06,6.60373651609897e-08,0.020930411452094653,-0.0296808732044192,-8.205761189983285e-08,-4.175235048701348e-08,0.009208530626259015,0.0317492776291887,9.306502430986297e-08,5.981907103699835e-08,0.008361286417451097,-0.0671400160764626,-8.34537750890596e-07,-8.974674472306266e-08,0.010298908334418407,0.0897040816834432,3.0141889620804997e-06,-1.1862336727896964e-08,0.002676202217404146,0.1332892702705788,0.0,0.0,0.013666414481635109,0.1534427984190561,0.0,0.0,0.009026354477650118
