direction,source_dataset,target_dataset,entry_cycle,prefix_fraction,adapter,source_model_frozen_hash,update_index,pair_earlier_cycle,pair_later_cycle,adapter_parameter_norm,adapter_step_norm,objective_loss,l2,numeric_abort
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,375,205.5,2385.5,0.8403271660320059,0.008761204262697267,0.056036925168722704,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,400,1175.5,2510.5,0.8665930423705733,0.007534153266506172,0.06373909872412337,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,425,1000.5,2635.5,0.764407317225154,0.007677371652621098,0.04723050605963551,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,450,1740.5,2760.5,0.8098483351745003,0.009785950334611871,0.05042047573272586,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,462,1955.5,2820.5,0.7629424582044781,0.008253152607775108,0.04587433821042508,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0,10.5,510.5,0.9180903747853415,0.9180903747853415,1.8076822080688837,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,25,15.5,635.5,0.853993728998818,0.00247698740212001,0.01384694693937411,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,50,200.5,760.5,0.8011398730263378,0.0015233220255974332,0.013115646921200444,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,75,40.5,885.5,0.7601863720467203,0.00217137077564695,0.01100449124234378,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,100,365.5,1010.5,0.9191334749890218,0.013760599014829766,0.03554408022500792,0.0375,0
