direction,source_dataset,target_dataset,entry_cycle,prefix_fraction,model,future_window_count,adapter_aborted,adapter_abort_reason,adapter_parameter_norm,source_model_frozen_hash,future_time_pair_auc,future_score_total_variation,future_score_saturation_ratio,future_score_reversal_count,prior_adapted_disagreement,future_target_local_spearman,future_ood_ratio_mean,future_ood_fraction,common_future_window_count,common_future_prefix_score_std
Exp1_to_Exp2,Exp1,Exp2,0.0,0.6,Unbounded_L2,1127,0,COMPLETED,0.670432302702445,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.3125,12.706776860260566,0.2191659272404614,339,0.12276898127774327,-0.4159496655220468,2.395473529866266,0.9893522626441881,282,0.3582690886398627
Exp1_to_Exp2,Exp1,Exp2,0.0,0.6,Unbounded_WeakL2,1127,0,COMPLETED,1.0183256432205652,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.30375,3.7539732540677218,0.8438331854480923,357,0.09247780153125203,-0.4388864534760722,2.395473529866266,0.9893522626441881,282,0.498797309577882
Exp1_to_Exp2,Exp1,Exp2,0.0,0.6,Source_Static,1127,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.40125,7.086345033399734,0.1401952085181899,383,0.0,-0.10117022098149367,2.395473529866266,0.9893522626441881,282,0.0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.6,Target_Local,1127,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.6,3.630913724627935,0.17213842058562556,411,0.15130235526681232,1.0,2.395473529866266,0.9893522626441881,282,0.3554918966141962
Exp1_to_Exp2,Exp1,Exp2,0.0,0.6,Elapsed_Time_Since_Entry,1127,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,1.0,0.3995599872254356,0.025732031943212066,0,0.19198599392454233,0.46243845096298997,2.395473529866266,0.9893522626441881,282,0.0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.8,Bounded_Baseline,564,0,COMPLETED,0.55,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.3922413793103448,0.5456326902839391,0.10638297872340426,220,0.8955880299409111,0.3739237542109895,2.4082453783067197,0.9787234042553191,282,0.46327703174020324
Exp1_to_Exp2,Exp1,Exp2,0.0,0.8,Unbounded_L2,564,0,COMPLETED,1.2167679399605809,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.3793103448275862,0.014023125102949674,1.0,213,0.9194306039472037,0.10005829250127003,2.4082453783067197,0.9787234042553191,282,0.3582690886398627
Exp1_to_Exp2,Exp1,Exp2,0.0,0.8,Unbounded_WeakL2,564,0,COMPLETED,2.7558579053869594,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.32112068965517243,1.6170632860662763e-05,1.0,205,0.9198020986505864,0.22930276750589365,2.4082453783067197,0.9787234042553191,282,0.498797309577882
Exp1_to_Exp2,Exp1,Exp2,0.0,0.8,Source_Static,564,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.603448275862069,2.058892866551621,0.015957446808510637,224,0.0,0.14161873894892235,2.4082453783067197,0.9787234042553191,282,0.0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.8,Target_Local,564,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.834051724137931,1.476460235097783,0.12411347517730496,226,0.05734065990278025,1.0,2.4082453783067197,0.9787234042553191,282,0.3554918966141962
Exp1_to_Exp2,Exp1,Exp2,0.0,0.8,Elapsed_Time_Since_Entry,564,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,1.0,0.1997799936127178,0.051418439716312055,0,0.0845618842572248,0.5817123413887126,2.4082453783067197,0.9787234042553191,282,0.0
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.2,Bounded_Baseline,1776,0,COMPLETED,0.5500000000000002,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.4,0.8432720651530543,0.6694819819819819,533,0.8258305439053326,0.6835260772990924,2.241251222793249,0.9932432432432432,222,0.49508068712357123
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.2,Unbounded_L2,1776,0,COMPLETED,1.2618826819226139,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.3125,1.4010628203664117,0.8367117117117117,622,0.8273371755308464,0.9658508446227103,2.241251222793249,0.9932432432432432,222,0.5657440012384152
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.2,Unbounded_WeakL2,1776,0,COMPLETED,1.7389705341760473,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.28125,2.8305056170994716,0.8536036036036037,648,0.8270518268428746,0.9807009264212019,2.241251222793249,0.9932432432432432,222,0.5528571646288286
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.2,Source_Static,1776,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.6725,9.260700150676616,0.09797297297297297,584,0.0,-0.8225000133885182,2.241251222793249,0.9932432432432432,222,0.0
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.2,Target_Local,1776,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.23375,9.25083306341281,0.6480855855855856,642,0.7786250830348317,0.9999999999999998,2.241251222793249,0.9932432432432432,222,0.3799445524662268
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.2,Elapsed_Time_Since_Entry,1776,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,1.0,0.8002344348766963,0.01295045045045045,0,0.31113244317741706,-0.595699455826351,2.241251222793249,0.9932432432432432,222,0.0
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.4,Bounded_Baseline,1332,0,COMPLETED,0.35264849539146453,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.5025,5.848614942606503,0.7612612612612613,436,0.04841229011127154,0.584561135105796,2.392957917002694,0.990990990990991,222,0.49508068712357123
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.4,Unbounded_L2,1332,0,COMPLETED,0.3533198722199787,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.50375,5.346012038598613,0.8040540540540541,440,0.04978590656362741,0.5636714527180946,2.392957917002694,0.990990990990991,222,0.5657440012384152
