row_type,dataset,feature,window_fraction,window_ordinal,window_start_cycle,window_end_cycle,window_count,local_spearman,local_spearman_pvalue,local_kendall,local_kendall_pvalue,robust_local_slope,slope_sign,bootstrap_sign_stability,positive_significant_fraction,negative_significant_fraction,positive_longest_span_fraction,negative_longest_span_fraction,mean_bootstrap_sign_stability,PERSISTENT_DIRECTION_REVERSAL,passed
window,Exp1,rx_mean,0.2,2.0,2290.5,11400.5,1823.0,0.5102849133241938,1.94937078655017e-121,0.14306823471039945,5.486173400098494e-20,2.6443736581040224e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,3.0,3430.5,12540.5,1823.0,0.5885894019951063,2.091230927937725e-170,0.2305285614417075,3.0757477968506702e-49,2.970728656000992e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,4.0,4570.5,13680.5,1823.0,0.49237187731614573,6.209935749744734e-112,0.18898114289120657,1.1688452064355813e-33,2.7999162898902128e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,5.0,5710.5,14820.5,1823.0,0.35833811252771286,2.3542159207214643e-56,0.13367129247997744,1.201852983495067e-17,2.3404231086072155e-06,1.0,0.9,,,,,,,
window,Exp1,rx_mean,0.2,6.0,6850.5,15960.5,1823.0,0.02541036830566426,0.27820195007229737,-0.06717615443115262,1.7221858838938193e-05,-1.6790887260898806e-07,-1.0,0.26666666666666666,,,,,,,
window,Exp1,rx_mean,0.2,7.0,7990.5,17100.5,1823.0,-0.44481162468565694,2.777555792951176e-89,-0.3806664808072001,4.963407152019196e-131,-1.328030739898608e-06,-1.0,0.9,,,,,,,
window,Exp1,rx_mean,0.2,8.0,9130.5,18240.5,1823.0,-0.5385362289845249,1.2554794664864188e-137,-0.4434620921955282,4.20414389137202e-177,-2.0680762101821913e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,9.0,10270.5,19380.5,1823.0,-0.7922796759567559,0.0,-0.6444733202348574,0.0,-2.4906160637711276e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,10.0,11410.5,20520.5,1823.0,-0.8244279239756397,0.0,-0.6399452537493535,0.0,-2.2048649712121584e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,11.0,12550.5,21660.5,1823.0,-0.538252254280216,1.8591172357221364e-137,-0.452515816620533,2.5328189767815484e-184,-2.1428902633670175e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,12.0,13690.5,22800.5,1823.0,-0.2174536149692655,5.9573477473928776e-21,-0.2349085023480313,4.6515113394288633e-51,-9.296211100986756e-07,-1.0,0.6666666666666666,,,,,,,
window,Exp1,rx_mean,0.2,13.0,14830.5,23940.5,1823.0,-0.040144610845042485,0.08661073402702547,-0.11590585716238357,1.2065571143586366e-13,-1.156963779597728e-07,-1.0,0.3,,,,,,,
window,Exp1,rx_mean,0.2,14.0,15970.5,25080.5,1823.0,-0.14127242201833173,1.3772034394368029e-09,-0.1652087938423113,4.077303560647612e-26,-3.3809633362238014e-07,-1.0,0.5,,,,,,,
window,Exp1,rx_mean,0.2,15.0,17110.5,26220.5,1823.0,-0.364291937230629,2.5585535472426054e-58,-0.2895957436175037,1.1973858116289897e-76,-1.992199315704207e-06,-1.0,0.9666666666666667,,,,,,,
window,Exp1,rx_mean,0.2,16.0,18250.5,27360.5,1823.0,-0.6561455996324049,6.49635268475641e-225,-0.5335934964440829,1.8082025998198976e-255,-3.360016361741418e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,17.0,19390.5,28500.5,1823.0,-0.4339465112480524,1.3590912587998066e-84,-0.4536923913429631,2.8486140210932566e-185,-3.814781452526436e-06,-1.0,0.9,,,,,,,
window,Exp1,rx_mean,0.2,18.0,20530.5,29640.5,1823.0,0.0025691342231030454,0.9127121372061371,-0.23064055883084358,2.7658351913261555e-49,1.2379092146852262e-07,1.0,0.7333333333333333,,,,,,,
window,Exp1,rx_mean,0.2,19.0,21670.5,30780.5,1823.0,0.32435993206886143,6.324949471355895e-46,-0.049434804573588,0.0015614650795385233,4.751860156381079e-06,1.0,0.9,,,,,,,
window,Exp1,rx_mean,0.2,20.0,22810.5,31920.5,1823.0,0.5283748546593021,1.2574899833624122e-131,0.13654107504246568,2.407137772389694e-18,7.718814953137664e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,21.0,23950.5,33060.5,1823.0,0.6419480171914408,2.609348037725647e-212,0.3123179666091225,7.713326665689503e-89,8.96258956862712e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,22.0,25090.5,34200.5,1823.0,0.734920810493477,1.79029376157215e-309,0.4878503907564822,6.80184702795256e-214,9.61763405279824e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,23.0,26230.5,35340.5,1823.0,0.47862315396436994,5.162375599338148e-105,0.3422296994194802,2.7717009806514997e-106,6.124693026278955e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,24.0,27370.5,36480.5,1823.0,-0.09912956771638178,2.2348025940821116e-05,-0.035844583752069094,0.02182146510605838,-1.4735184545297024e-06,-1.0,0.5,,,,,,,
window,Exp1,rx_mean,0.2,25.0,28510.5,37620.5,1823.0,-0.4577973499782454,4.079328531852221e-95,-0.2082820262856668,1.6209990673338835e-40,-2.5928482362877066e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,26.0,29650.5,38760.5,1823.0,-0.6503405680086715,1.1168599105040242e-219,-0.35688690612029605,2.066248903079646e-115,-3.2579986305458093e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,27.0,30790.5,39900.5,1823.0,-0.8078380393522824,0.0,-0.5320026518091492,5.8281653541342394e-254,-4.108075884154513e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,28.0,31930.5,41040.5,1823.0,-0.8673852570268774,0.0,-0.6082018217037694,0.0,-4.227143509361709e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,29.0,33070.5,42180.5,1823.0,-0.572761509229152,1.9961073695560544e-159,-0.4256135620408333,2.6978776464210802e-163,-3.34214692940473e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,30.0,34210.5,43320.5,1823.0,0.015277217148201034,0.5144812135977178,-0.0530572577619911,0.0006868175572655099,1.2369354798120355e-06,1.0,0.5333333333333333,,,,,,,
window,Exp1,rx_mean,0.2,31.0,35350.5,44460.5,1823.0,0.46908013817257965,2.15493274122903e-100,0.240622777739977,1.7442755197921268e-53,3.152311819280975e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.2,32.0,36470.5,45580.5,1823.0,0.5980714851383044,2.7950330764717856e-177,0.2747591002394697,3.5030717444919496e-69,3.4126924634517017e-06,1.0,1.0,,,,,,,
summary,Exp1,rx_mean,0.2,,,,,,,,,,,,0.36363636363636365,0.5151515151515151,0.2999780557384244,0.3249945139346061,0.8717171717171717,PASS,1.0
window,Exp1,rx_mean,0.3,0.0,10.5,13675.5,2734.0,0.15411542640971354,5.357383393724474e-16,-0.03965753848155158,0.0018809664910023158,1.0688081539888604e-06,1.0,0.7666666666666667,,,,,,,
window,Exp1,rx_mean,0.3,1.0,1150.5,14815.5,2734.0,0.5456095755254395,6.382306293825074e-212,0.197856751492434,3.049648103276685e-54,1.6035565691289645e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,2.0,2290.5,15955.5,2734.0,0.598338096449621,3.100582939977096e-265,0.25267832455525424,2.6816411304189966e-87,1.7994213625584286e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,3.0,3430.5,17095.5,2734.0,0.44308822002541615,7.495945453213605e-132,0.14815133038955183,3.568945666616841e-31,1.649165412237328e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,4.0,4570.5,18235.5,2734.0,0.15868083894309243,7.05017826587645e-17,-0.029189153886324207,0.022144243923263633,6.835127086125187e-07,1.0,0.9,,,,,,,
window,Exp1,rx_mean,0.3,5.0,5710.5,19375.5,2734.0,-0.14059454071196625,1.527913250401501e-13,-0.2131918241140082,1.103574600456583e-62,-1.2559496561874423e-06,-1.0,0.8,,,,,,,
window,Exp1,rx_mean,0.3,6.0,6850.5,20515.5,2734.0,-0.5078072663837392,3.5858464991988e-179,-0.43863709180727783,4.8564574480956124e-259,-1.720605115284256e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,7.0,7990.5,21655.5,2734.0,-0.5967110255813093,1.935087342374931e-263,-0.4914137030110457,0.0,-1.7938117535625938e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,8.0,9130.5,22795.5,2734.0,-0.4310271948164648,4.154102122716068e-124,-0.34573479574872773,1.0075694543181957e-161,-1.3248697651944416e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,9.0,10270.5,23935.5,2734.0,-0.5036259593317075,8.496692239177471e-176,-0.4069027098688949,3.2781371303534937e-223,-1.3346300199910716e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,10.0,11410.5,25075.5,2734.0,-0.563169264907346,1.2962827403482575e-228,-0.459567972364107,3.8480623887176934e-284,-1.7034244892062778e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,11.0,12550.5,26215.5,2734.0,-0.6233826709570545,3.187288578519317e-294,-0.5059297202283397,0.0,-2.3140244277653938e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,12.0,13690.5,27355.5,2734.0,-0.6803228272069711,0.0,-0.5620028956017528,0.0,-2.7221985681144556e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,13.0,14830.5,28495.5,2734.0,-0.43728171233589525,4.3854139801532184e-128,-0.4103588024767593,5.544093148367444e-227,-2.450547373853186e-06,-1.0,0.9666666666666667,,,,,,,
window,Exp1,rx_mean,0.3,14.0,15970.5,29635.5,2734.0,-0.056809758883221706,0.002963574237816518,-0.1520158800388971,9.86219161844636e-33,-1.0004072080048182e-06,-1.0,0.5333333333333333,,,,,,,
window,Exp1,rx_mean,0.3,15.0,17110.5,30775.5,2734.0,0.20541995828331244,1.9522738281647203e-27,0.018861561167780285,0.13930230597997886,2.5613632468064677e-06,1.0,0.9666666666666667,,,,,,,
window,Exp1,rx_mean,0.3,16.0,18250.5,31915.5,2734.0,0.37128978922864164,4.120080846347661e-90,0.10149622150470113,1.785416042066619e-15,3.2321090551987303e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,17.0,19390.5,33055.5,2734.0,0.5140739442203129,2.558513518392392e-184,0.2032154080916785,4.0321459211527364e-57,3.623910408280721e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,18.0,20530.5,34195.5,2734.0,0.6448960594191064,0.0,0.3220325100755859,1.4099846057092e-140,4.382927071873737e-06,1.0,1.0,,,,,,,
