protocol_id,dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,effective_configuration_count,directed_configuration_support,rate_divergence_configuration_support,abrupt_configuration_support,combined_change_score_q50,change_configuration_support,guard_configuration_fraction,stop_boundary_configuration_fraction,change_trigger
A_Exp1_to_Exp2,Exp2,2509,2509,12546.0,12565.0,12555.5,24,0.041666666666666664,0.0,0.0,0.7570300652827037,0.041666666666666664,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2510,2510,12551.0,12570.0,12560.5,24,0.041666666666666664,0.0,0.0,0.48723394584667973,0.041666666666666664,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2511,2511,12556.0,12575.0,12565.5,24,0.08333333333333333,0.0,0.0,0.5107906505604711,0.08333333333333333,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2512,2512,12561.0,12580.0,12570.5,24,0.08333333333333333,0.0,0.0,0.5143971233960881,0.08333333333333333,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2513,2513,12566.0,12585.0,12575.5,24,0.08333333333333333,0.0,0.0,0.5513835671937362,0.08333333333333333,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2514,2514,12571.0,12590.0,12580.5,24,0.16666666666666666,0.0,0.0,0.8357933860090407,0.16666666666666666,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2515,2515,12576.0,12595.0,12585.5,24,0.25,0.0,0.0,0.8446176586350833,0.25,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2516,2516,12581.0,12600.0,12590.5,24,0.125,0.0,0.0,0.8085415016733388,0.125,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2517,2517,12586.0,12605.0,12595.5,24,0.0,0.125,0.0,1.313834547345731,0.125,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2518,2518,12591.0,12610.0,12600.5,24,0.0,0.75,0.0,4.837838657888341,0.75,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,2519,2519,12596.0,12615.0,12605.5,24,0.08333333333333333,1.0,0.0,11.219537726365143,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,2520,2520,12601.0,12620.0,12610.5,24,0.16666666666666666,1.0,0.9166666666666666,16.096002789359872,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2521,2521,12606.0,12625.0,12615.5,24,0.16666666666666666,1.0,0.9166666666666666,13.839094953371616,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2522,2522,12611.0,12630.0,12620.5,24,0.08333333333333333,1.0,0.9166666666666666,14.19639376299952,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2523,2523,12616.0,12635.0,12625.5,24,0.08333333333333333,1.0,0.875,14.929311764763506,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2524,2524,12621.0,12640.0,12630.5,24,0.08333333333333333,1.0,0.875,15.711495784135092,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2525,2525,12626.0,12645.0,12635.5,24,0.08333333333333333,1.0,0.8333333333333334,15.857613698880602,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2526,2526,12631.0,12650.0,12640.5,24,0.08333333333333333,1.0,0.8333333333333334,15.314514636356718,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2527,2527,12636.0,12655.0,12645.5,24,0.08333333333333333,1.0,0.7916666666666666,14.283592367302177,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2528,2528,12641.0,12660.0,12650.5,24,0.08333333333333333,1.0,0.75,13.686998600783642,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2529,2529,12646.0,12665.0,12655.5,24,0.08333333333333333,1.0,0.7083333333333334,13.680022654965628,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2530,2530,12651.0,12670.0,12660.5,24,0.08333333333333333,1.0,0.7083333333333334,13.676245631198467,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2531,2531,12656.0,12675.0,12665.5,24,0.08333333333333333,1.0,0.7083333333333334,14.75521197942519,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2532,2532,12661.0,12680.0,12670.5,24,0.08333333333333333,1.0,0.7083333333333334,15.167511726094034,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2533,2533,12666.0,12685.0,12675.5,24,0.08333333333333333,1.0,0.7083333333333334,15.399875745689089,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2534,2534,12671.0,12690.0,12680.5,24,0.08333333333333333,1.0,0.6666666666666666,15.98156141996034,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2535,2535,12676.0,12695.0,12685.5,24,0.08333333333333333,1.0,0.7916666666666666,16.48398911243961,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2536,2536,12681.0,12700.0,12690.5,24,0.08333333333333333,1.0,0.7916666666666666,16.70964085390584,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2537,2537,12686.0,12705.0,12695.5,24,0.125,1.0,0.8333333333333334,12.8769971925122,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2538,2538,12691.0,12710.0,12700.5,24,0.16666666666666666,0.5416666666666666,0.875,6.363140773263162,0.9166666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2539,2539,12696.0,12715.0,12705.5,24,0.08333333333333333,0.20833333333333334,0.875,2.295923106160023,0.875,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2540,2540,12701.0,12720.0,12710.5,24,0.0,0.125,0.9166666666666666,2.0142118192498617,0.9166666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2541,2541,12706.0,12725.0,12715.5,24,0.16666666666666666,0.16666666666666666,0.9583333333333334,3.491004619266273,0.9583333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2542,2542,12711.0,12730.0,12720.5,24,0.25,0.16666666666666666,0.9583333333333334,3.790778786184711,0.9583333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2543,2543,12716.0,12735.0,12725.5,24,0.25,0.25,0.9583333333333334,5.1453985464888525,0.9583333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2544,2544,12721.0,12740.0,12730.5,24,0.25,0.25,0.9166666666666666,5.206591049899501,0.9166666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2545,2545,12726.0,12745.0,12735.5,24,0.25,0.25,0.9166666666666666,5.314482766534885,0.9166666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2546,2546,12731.0,12750.0,12740.5,24,0.25,0.2916666666666667,0.9166666666666666,5.602610277872017,0.9166666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2547,2547,12736.0,12755.0,12745.5,24,0.25,0.2916666666666667,0.9166666666666666,5.526662145195712,0.9166666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2548,2548,12741.0,12760.0,12750.5,24,0.25,0.2916666666666667,0.9166666666666666,5.879655396332177,0.9166666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2549,2549,12746.0,12765.0,12755.5,24,0.25,0.2916666666666667,0.9166666666666666,5.489952543640415,0.9166666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2550,2550,12751.0,12770.0,12760.5,24,0.25,0.2916666666666667,0.9166666666666666,4.738629200142058,0.9166666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2551,2551,12756.0,12775.0,12765.5,24,0.25,0.2916666666666667,0.875,5.002914641078596,0.875,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2552,2552,12761.0,12780.0,12770.5,24,0.25,0.2916666666666667,0.8333333333333334,5.20347679584496,0.875,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2553,2553,12766.0,12785.0,12775.5,24,0.25,0.3333333333333333,0.8333333333333334,5.463799386371802,0.875,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2554,2554,12771.0,12790.0,12780.5,24,0.25,0.3333333333333333,0.8333333333333334,5.656633206153973,0.875,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2555,2555,12776.0,12795.0,12785.5,24,0.16666666666666666,0.2916666666666667,0.8333333333333334,5.202276997916082,0.8333333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2556,2556,12781.0,12800.0,12790.5,24,0.16666666666666666,0.3333333333333333,0.8333333333333334,5.399941129185515,0.8333333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2557,2557,12786.0,12805.0,12795.5,24,0.08333333333333333,0.25,0.8333333333333334,4.076180958281419,0.8333333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2558,2558,12791.0,12810.0,12800.5,24,0.08333333333333333,0.25,0.75,3.511133724157334,0.75,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2559,2559,12796.0,12815.0,12805.5,24,0.08333333333333333,0.25,0.7083333333333334,2.8964803110025317,0.7083333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2560,2560,12801.0,12820.0,12810.5,24,0.08333333333333333,0.25,0.6666666666666666,2.3192290439734524,0.6666666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2561,2561,12806.0,12825.0,12815.5,24,0.08333333333333333,0.20833333333333334,0.5833333333333334,1.9810489974323162,0.5833333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2562,2562,12811.0,12830.0,12820.5,24,0.08333333333333333,0.20833333333333334,0.625,1.5572260516365188,0.625,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2563,2563,12816.0,12835.0,12825.5,24,0.0,0.0,0.5833333333333334,1.1805426845959999,0.5833333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2564,2564,12821.0,12840.0,12830.5,24,0.0,0.041666666666666664,0.5833333333333334,1.2286883519609644,0.5833333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2565,2565,12826.0,12845.0,12835.5,24,0.0,0.08333333333333333,0.5833333333333334,1.2138378027922585,0.5833333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2566,2566,12831.0,12850.0,12840.5,24,0.0,0.041666666666666664,0.5833333333333334,1.196081498356535,0.5833333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2567,2567,12836.0,12855.0,12845.5,24,0.0,0.08333333333333333,0.5833333333333334,1.2309178183540164,0.5833333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2568,2568,12841.0,12860.0,12850.5,24,0.08333333333333333,0.041666666666666664,0.5833333333333334,1.283316040872303,0.625,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2569,2569,12846.0,12865.0,12855.5,24,0.08333333333333333,0.041666666666666664,0.5833333333333334,1.3845660490891263,0.5833333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2570,2570,12851.0,12870.0,12860.5,24,0.08333333333333333,0.16666666666666666,0.5416666666666666,1.5854665719672054,0.5416666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2571,2571,12856.0,12875.0,12865.5,24,0.08333333333333333,0.0,0.5416666666666666,1.3158569814049796,0.5416666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2572,2572,12861.0,12880.0,12870.5,24,0.08333333333333333,0.0,0.5416666666666666,1.275970886738527,0.5416666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2573,2573,12866.0,12885.0,12875.5,24,0.08333333333333333,0.0,0.5,1.09534414085359,0.5416666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2574,2574,12871.0,12890.0,12880.5,24,0.08333333333333333,0.0,0.5,1.0534273212054135,0.5416666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2575,2575,12876.0,12895.0,12885.5,24,0.08333333333333333,0.0,0.5,1.0527969356603175,0.5416666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2576,2576,12881.0,12900.0,12890.5,24,0.08333333333333333,0.0,0.5,1.0554892408053318,0.5416666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2577,2577,12886.0,12905.0,12895.5,24,0.08333333333333333,0.0,0.4583333333333333,1.006589989373949,0.5,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2578,2578,12891.0,12910.0,12900.5,24,0.0,0.0,0.4166666666666667,0.9029863803838956,0.4166666666666667,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,2579,2579,12896.0,12915.0,12905.5,24,0.0,0.0,0.4166666666666667,0.8734430724821542,0.4166666666666667,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,2580,2580,12901.0,12920.0,12910.5,24,0.0,0.0,0.4166666666666667,0.9210756318999826,0.4166666666666667,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,2581,2581,12906.0,12925.0,12915.5,24,0.0,0.041666666666666664,0.3333333333333333,0.9538608262858739,0.3333333333333333,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,2582,2582,12911.0,12930.0,12920.5,24,0.0,0.0,0.3333333333333333,0.8991554886358131,0.3333333333333333,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,2583,2583,12916.0,12935.0,12925.5,24,0.0,0.0,0.3333333333333333,0.832750013879284,0.3333333333333333,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,2584,2584,12921.0,12940.0,12930.5,24,0.0,0.0,0.3333333333333333,0.7617641580495974,0.3333333333333333,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,2585,2585,12926.0,12945.0,12935.5,24,0.0,0.0,0.375,0.7933736201930117,0.375,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,2586,2586,12931.0,12950.0,12940.5,24,0.0,0.041666666666666664,0.375,1.1763982651525606,0.375,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,2587,2587,12936.0,12955.0,12945.5,24,0.0,0.125,0.4583333333333333,1.530587589966322,0.4583333333333333,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,2588,2588,12941.0,12960.0,12950.5,24,0.0,0.16666666666666666,0.5,2.6610682283039373,0.5,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2589,2589,12946.0,12965.0,12955.5,24,0.08333333333333333,0.25,0.5,3.4270693466903843,0.5833333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2590,2590,12951.0,12970.0,12960.5,24,0.08333333333333333,0.2916666666666667,0.5416666666666666,4.203022793699642,0.625,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2591,2591,12956.0,12975.0,12965.5,24,0.0,0.4166666666666667,0.5,4.591179649041997,0.625,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2592,2592,12961.0,12980.0,12970.5,24,0.08333333333333333,0.4583333333333333,0.5,4.913523680687682,0.6666666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2593,2593,12966.0,12985.0,12975.5,24,0.0,0.5416666666666666,0.5416666666666666,4.966540334519667,0.7083333333333334,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2594,2594,12971.0,12990.0,12980.5,24,0.0,0.4583333333333333,0.5,4.682393254048279,0.625,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2595,2595,12976.0,12995.0,12985.5,24,0.0,0.375,0.5,4.261230165108633,0.5416666666666666,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,2596,2596,12981.0,13000.0,12990.5,24,0.0,0.375,0.0,4.210224516634855,0.375,1.0,1.0,0
A_Exp1_to_Exp2,Exp2,2597,2597,12986.0,13005.0,12995.5,24,0.08333333333333333,0.25,0.0,3.953287298970321,0.3333333333333333,1.0,1.0,0
