protocol_id,target_dataset,output_name,horizon_cycles,model,n_predictions,MAE,RMSE,evaluation_unit,forecast_issue_stride_cycles,rolling_window_cycles
B_Exp2_to_Exp1,Exp1,A_state,500,Local_Linear,704,2.085050571581982,2.9972657233074584,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,500,Kalman,704,1.3241479708116037,2.0945356985626704,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,500,Frozen_Ridge,704,0.8376405095893126,1.055096202443179,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,500,Online_RLS,704,0.3585916786064769,0.5945542062268286,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,500,Safe_Gate,704,0.28871915228069217,0.47037575968974865,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,1000,Zero_Delta,696,0.3206318432432871,0.5263940971813458,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,1000,Local_Linear,696,4.066954659331678,5.804761156720842,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,1000,Kalman,696,2.443173708787889,3.901177286306245,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,1000,Frozen_Ridge,696,0.6908645060148463,1.0236430832860421,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,1000,Online_RLS,696,0.3620776310701657,0.5668283245363964,cycles,50,5000
B_Exp2_to_Exp1,Exp1,A_state,1000,Safe_Gate,696,0.30194049727534134,0.4937668247626979,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,100,Zero_Delta,712,0.2604171027030474,0.38204300153658305,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,100,Local_Linear,712,0.425563684757768,0.6312731726713999,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,100,Kalman,712,0.3701948432594895,0.5334965766700965,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,100,Frozen_Ridge,712,0.4899356615325417,0.6082292228582107,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,100,Online_RLS,712,0.29612491950322883,0.42667083316052634,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,100,Safe_Gate,712,0.2627997845073528,0.38614456439158973,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,500,Zero_Delta,704,0.5948232379152096,0.8873565199553552,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,500,Local_Linear,704,1.768488626829506,2.6662131134141736,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,500,Kalman,704,1.3441505079110792,1.932594115403797,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,500,Frozen_Ridge,704,1.2544798241352029,1.6725230181039963,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,500,Online_RLS,704,0.7506114888868907,1.0956740398142448,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,500,Safe_Gate,704,0.607382617895816,0.9038560259626367,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,1000,Zero_Delta,696,0.8362232184922614,1.2464175102968678,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,1000,Local_Linear,696,3.273446064690938,4.892386214182747,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,1000,Kalman,696,2.469739575622491,3.609864676985525,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,1000,Frozen_Ridge,696,1.597605746024844,2.1232651462455636,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,1000,Online_RLS,696,1.2244545480107873,1.7899052413495826,cycles,50,5000
B_Exp2_to_Exp1,Exp1,D_state,1000,Safe_Gate,696,0.8561659368297211,1.2677574183508902,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,100,Zero_Delta,712,0.06752551599769908,0.10081708503962769,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,100,Local_Linear,712,0.12344773725146614,0.1717241873145638,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,100,Kalman,712,0.10313563912358654,0.1496645364630368,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,100,Frozen_Ridge,712,0.18967697835962288,0.22207606460673937,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,100,Online_RLS,712,0.07358073589421499,0.11299979370833274,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,100,Safe_Gate,712,0.06795644156680082,0.10112662004318067,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,500,Zero_Delta,704,0.13306639853579083,0.2110916323150199,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,500,Local_Linear,704,0.5053982788375907,0.7113827206840803,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,500,Kalman,704,0.38647751333876423,0.5781539737607123,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,500,Frozen_Ridge,704,0.3032076627974681,0.34979807405403257,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,500,Online_RLS,704,0.12515845438605402,0.18952664215503515,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,500,Safe_Gate,704,0.12673462876078487,0.1999343451113708,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,1000,Zero_Delta,696,0.15478970184075852,0.23262197867916,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,1000,Local_Linear,696,0.9346725767749942,1.2778644106446564,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,1000,Kalman,696,0.6943644221645203,1.0408380246731912,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,1000,Frozen_Ridge,696,0.15445319331687385,0.2106062327682656,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,1000,Online_RLS,696,0.14407176946647224,0.2055347749584591,cycles,50,5000
B_Exp2_to_Exp1,Exp1,V500_norm,1000,Safe_Gate,696,0.15043977798784952,0.21700365932348015,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,100,Zero_Delta,712,0.23569270433081446,0.3578864267216328,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,100,Local_Linear,712,0.4078583641752608,0.6110115436599795,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,100,Kalman,712,0.36582787931619937,0.5722082471883089,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,100,Frozen_Ridge,712,0.6580486832655951,0.7533349756301271,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,100,Online_RLS,712,0.23527959855150607,0.35108268936897025,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,100,Safe_Gate,712,0.22414869351004632,0.3369173043004812,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,500,Zero_Delta,704,0.382260381506398,0.6117930016851083,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,500,Local_Linear,704,1.5732355328469794,2.3703238933600415,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,500,Kalman,704,1.2016527048838757,1.965525422541166,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,500,Frozen_Ridge,704,0.8953976532930189,1.0862538038886065,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,500,Online_RLS,704,0.39823025955381314,0.6200320468732705,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,500,Safe_Gate,704,0.3595795145566102,0.5737889206090399,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,1000,Zero_Delta,696,0.4423267720393714,0.6766159003143843,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,1000,Local_Linear,696,3.003885088918253,4.448665959959165,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,1000,Kalman,696,2.1770159051081417,3.585257107149288,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,1000,Frozen_Ridge,696,0.712866142031133,0.9451456764979557,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,1000,Online_RLS,696,0.4340798032010452,0.6559860638904921,cycles,50,5000
B_Exp2_to_Exp1,Exp1,residual_change_score,1000,Safe_Gate,696,0.42680784654096765,0.6347499761020573,cycles,50,5000
