dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,effective_configuration_count,D_state_q25,D_state_q50,D_state_q75,D_state_mad,V500_norm_q25,V500_norm_q50,V500_norm_q75,V500_norm_mad,V1000_norm_q25,V1000_norm_q50,V1000_norm_q75,V1000_norm_mad,multi_scale_rate_divergence_q25,multi_scale_rate_divergence_q50,multi_scale_rate_divergence_q75,multi_scale_rate_divergence_mad,state_volatility_q25,state_volatility_q50,state_volatility_q75,state_volatility_mad
Exp1,7713,7713,38566.0,38585.0,38575.5,44691.35577797998,44713.83075523203,44702.593266606,38575.5,44702.593266606,24,6.202693008007204,8.111975002412844,8.691971867521538,1.0465538268478616,0.05198203699999376,0.06962778535210615,0.07855913035015984,0.015151196663428894,0.13123136016609288,0.16896254395439975,0.21175222172664468,0.043439108671518886,0.4158833904087321,0.7311381992852978,0.862181836393932,0.23489977799659523,0.2365028365034058,0.37995228557723615,0.46039300936089156,0.11413168059459097
Exp1,7714,7714,38571.0,38590.0,38580.5,44697.270245677886,44719.74522292994,44708.507734303916,38580.5,44708.507734303916,24,6.159883265382322,8.091751036392235,8.645619983007506,1.0802668641528825,0.03473673250728651,0.04215508590889332,0.05821967190896349,0.011173150765661477,0.1264678662876302,0.1706370013828932,0.21606993440834177,0.04589832486565612,0.37255503859231576,0.6675360385860731,0.783449767861254,0.20126168544031253,0.236454423169067,0.38001635616173746,0.46036755419317577,0.11416334701232858
Exp1,7715,7715,38576.0,38595.0,38585.5,44703.1847133758,44725.65969062784,44714.42220200182,38585.5,44714.42220200182,24,6.262207544079432,8.139711375326728,8.743851779685583,1.0007437397459227,0.03694282440989977,0.04890154640831786,0.06542267132681426,0.013992324868435806,0.11888174286498414,0.16383821717818953,0.20672371869357042,0.04338817769209872,0.34476755830617867,0.6222929921550955,0.7319872128156316,0.18771941642962203,0.2362606736309473,0.37985791828685894,0.4600529749390629,0.11415849773197059
Exp1,7716,7716,38581.0,38600.0,38590.5,44709.0991810737,44731.57415832575,44720.336669699725,38590.5,44720.336669699725,24,6.530360899019933,8.251449587013397,9.0096117385745,0.8481286523933784,0.07732990651886804,0.10133642177909466,0.12105176279781857,0.02130441256642198,0.10450902979881936,0.1430756885176486,0.1820221791390858,0.03958641391188634,0.3584273340340842,0.6370525254517667,0.7487202592890065,0.19391430079056943,0.23619008713360748,0.3799233837112958,0.4599901967685051,0.11421806914106658
Exp1,7717,7717,38586.0,38605.0,38595.5,44715.01364877161,44737.48862602366,44726.25113739763,38595.5,44726.25113739763,24,6.518442871329848,8.247731881715698,8.996961698175573,0.853029431957637,0.07527353277997868,0.08763314073719246,0.10683344497869612,0.01870584447627148,0.10519180742148164,0.1447449989342269,0.1840346854371158,0.040115989872281405,0.2823489175343475,0.4794314801252123,0.5642761804001709,0.14495883110609004,0.2360672657812301,0.37985624240798743,0.45980276751221444,0.11416301467319476
Exp1,7718,7718,38591.0,38610.0,38600.5,44720.92811646952,44743.403093721565,44732.16560509554,38600.5,44732.16560509554,24,6.475950911251407,8.234281876802019,8.946704719294162,0.8655865213197247,0.06854411488664468,0.08388294302489474,0.09829943192195732,0.014794792966058429,0.095656887867089,0.13332321486243578,0.16678235025864305,0.0383154422687474,0.20791761898134092,0.3244456399353982,0.40131876687737583,0.09548759766841186,0.23588100806844448,0.37974958123148894,0.4595240027694731,0.11414326567676594
Exp1,7719,7719,38596.0,38615.0,38605.5,44726.842584167425,44749.31756141947,44738.08007279345,38605.5,44738.08007279345,24,6.407030711824542,8.206616135849387,8.877990691084115,0.8865362306169078,0.042866352756492844,0.048608074549797306,0.06345157690271133,0.012648105606503493,0.11246584823633936,0.1515560441335007,0.18777366327820483,0.039831536841752724,0.22366157915128634,0.2876625755410841,0.3592413202119764,0.0734760947691214,0.23549031502779078,0.3793349503109845,0.45886089856330914,0.11404946947091135
Exp1,7720,7720,38601.0,38620.0,38610.5,44732.75705186533,44755.23202911738,44743.99454049135,38610.5,44743.99454049135,24,6.273593976558117,8.143998093859285,8.752406667296427,0.9899460321694025,0.05502421272801952,0.07544884690510137,0.086582764193631,0.014169945946384249,0.09982872981560376,0.1393533246675937,0.1723027308421306,0.03959385048294874,0.17190017238173413,0.23266126530881603,0.2866632822022631,0.057221721344765664,0.23494330011517528,0.37887171590898255,0.45799181519709736,0.11407241321878667
Exp1,7721,7721,38606.0,38625.0,38615.5,44738.67151956324,44761.14649681529,44749.909008189265,38615.5,44749.909008189265,24,6.14603906821477,8.083672290241884,8.630686290907445,1.0878929317777692,0.08588609531222696,0.10783684597196314,0.13222036241789634,0.02495727141553636,0.10133109166260987,0.14118703031771476,0.17632887220730753,0.04009276758976408,0.18074554718922126,0.23397752387716086,0.288812979066678,0.0549627214772177,0.23426258500851538,0.3782563349845688,0.4568945723013522,0.11413525895550161
Exp1,7722,7722,38611.0,38630.0,38620.5,44744.58598726115,44767.06096451319,44755.82347588717,38620.5,44755.82347588717,24,6.247133231347841,8.131139419593215,8.727232258829908,1.0095678727238968,0.08348995773654458,0.12143141658533338,0.14999325746208186,0.03231470614877452,0.0953494002455324,0.1325727073367603,0.16695397990759078,0.03746034471545204,0.1653372905726547,0.23756359645704322,0.296561541761684,0.0649664867308776,0.23344334643446743,0.377121409567731,0.45538578976360916,0.11381713046658437
