dataset,window_id,window_index,center_cycle_effective,center_cycle_actual,D_state,D_rs_subspace,D_rx_subspace,D_ry_subspace,velocity_v100_rs_subspace_distance,velocity_v100_rs_contribution,velocity_v100_rs_corrdist_base,velocity_v100_rs_mean,velocity_v100_rs_q05,velocity_v100_rs_rms,velocity_v100_rx_subspace_distance,velocity_v100_rx_contribution,velocity_v100_rx_corrdist_base,velocity_v100_rx_mean,velocity_v100_rx_absmean,velocity_v100_rx_q05,velocity_v100_ry_subspace_distance,velocity_v100_ry_contribution,velocity_v100_ry_p2p,velocity_v500_rs_subspace_distance,velocity_v500_rs_contribution,velocity_v500_rs_corrdist_base,velocity_v500_rs_mean,velocity_v500_rs_q05,velocity_v500_rs_rms,velocity_v500_rx_subspace_distance,velocity_v500_rx_contribution,velocity_v500_rx_corrdist_base,velocity_v500_rx_mean,velocity_v500_rx_absmean,velocity_v500_rx_q05,velocity_v500_ry_subspace_distance,velocity_v500_ry_contribution,velocity_v500_ry_p2p,velocity_v1000_rs_subspace_distance,velocity_v1000_rs_contribution,velocity_v1000_rs_corrdist_base,velocity_v1000_rs_mean,velocity_v1000_rs_q05,velocity_v1000_rs_rms,velocity_v1000_rx_subspace_distance,velocity_v1000_rx_contribution,velocity_v1000_rx_corrdist_base,velocity_v1000_rx_mean,velocity_v1000_rx_absmean,velocity_v1000_rx_q05,velocity_v1000_ry_subspace_distance,velocity_v1000_ry_contribution,velocity_v1000_ry_p2p
Exp1,5016,5016,25090.5,28724.348473566642,8.797744446127732,3.3450658188544566,3.342896843734619,19.70527067579412,0.05938168926622888,0.059774710313947425,0.0,-0.04526628823928602,-0.07987412129753446,-0.03801619952949231,0.041338953060266755,0.041612557244386415,0.0,-0.04721681710985326,-0.04721681710985326,-0.0649765678191998,0.892704318737233,0.8986127324416661,1.1784594341458607,0.0323514132896021,0.08064653632573564,0.0,-0.030565023773313094,-0.04610518907312011,-0.024993067582461052,0.028009118967884692,0.06982193977353582,0.0,-0.033522923126777376,-0.033522923126777376,-0.04438028900236874,0.34079015273824603,0.8495315239007286,0.44987725737283885,0.05582410034169228,0.24981795974573356,0.0,-0.04762683079129477,-0.07731897815357916,-0.03914876394134356,0.050684151124473775,0.22681621643446317,0.0,-0.050448584156511746,-0.050448584156511746,-0.07700120223532292,0.11695086411747906,0.5233658238198032,0.15438689637539618
Exp1,5017,5017,25095.5,28730.30528667163,8.798937097842241,3.346745598272456,3.3447950194601477,19.70527067579412,0.04807928973879053,0.05011071998796884,0.0,-0.04969768367479289,-0.07165924628137832,-0.04393963284685265,0.038554359005436765,0.04018334503137082,0.0,-0.04524132455278318,-0.04524132455278318,-0.06090111863750369,0.8728275154604372,0.9097059349806603,1.1522200558315099,0.022254618188547327,0.07855857851913134,0.0,-0.02764879492821635,-0.03453556635590793,-0.0243377868156629,0.021823738097095362,0.07703757612718379,0.0,-0.029995725162645745,-0.029995725162645745,-0.034464362696169724,0.2392085693188942,0.8444038453536848,0.3157793564179691,0.04797674469319577,0.23146414340153632,0.0,-0.04503952757907151,-0.06876612005462536,-0.0379542460786602,0.04487654974511438,0.21650723099273755,0.0,-0.04715669282855117,-0.04715669282855117,-0.06918956244751558,0.11442176764319466,0.5520286256057261,0.15104823480803484
Exp1,5018,5018,25100.5,28736.26209977662,8.798970578135753,3.3457375663331117,3.3459034922800273,19.70527067579412,0.029689359027295602,0.023453881094386796,0.0,-0.04651639425118059,-0.03833297118081269,-0.04337338461777618,0.02737912795254522,0.021628853990300862,0.0,-0.04083630952171191,-0.04083630952171191,-0.03659989707797351,1.2087927539727765,0.9549172649153124,1.5957279414323968,0.020599706464003345,0.07494129485138708,0.0,-0.02677156227418589,-0.032051655802103785,-0.023326556396239616,0.021373105397355218,0.07775490375418147,0.0,-0.02987776454306639,-0.02987776454306639,-0.03352983363058772,0.23290509763905443,0.8473038013944313,0.30745814018426004,0.051267865119674315,0.26393860539296343,0.0,-0.0438359638334874,-0.07132389067009244,-0.0366183023439282,0.04800993780260287,0.24716605614535514,0.0,-0.045879778716290655,-0.045879778716290655,-0.07208228642382769,0.0949638277908368,0.48889533846168143,0.12536179831751823
Exp1,5019,5019,25105.5,28742.21891288161,8.70959274125196,3.3437331847194556,3.348075353092146,19.436969685944277,0.022141064223356967,0.029372693409828763,0.0,-0.0340989155018776,-0.025651414002796358,-0.03165615315981496,0.021129211272325824,0.028030352942060494,0.0,-0.03138693810524762,-0.03138693810524762,-0.02713741752323973,0.7105272708998436,0.9425969536481108,0.9379674188137309,0.018976478243806293,0.10167753904284857,0.0,-0.025658488708177263,-0.029433022687547526,-0.021986713639679058,0.02073954901834573,0.11112421798982593,0.0,-0.03005284042505432,-0.03005284042505432,-0.03164874703365692,0.14691789820893256,0.7871982429673254,0.19394639362124622,0.05908652926645425,0.3017922452800171,0.0,-0.044465643944395165,-0.07893397411962325,-0.0368322316057383,0.05484357004819547,0.2801207711723502,0.0,-0.04719681463506729,-0.04719681463506729,-0.07972936217415161,0.081855346436718,0.41808698354763263,0.10805728528352958
Exp1,5020,5020,25110.5,28748.1757259866,8.583950221074277,3.346348538696586,3.354471420048729,19.05103070447752,0.06149729218838686,0.5314879878066121,0.0,-0.045410526594237055,0.0010660757810434518,-0.04965273117907821,0.05075588173157448,0.43865576013050983,0.0,-0.04348502472217408,-0.04348502472217408,-0.006202796500317299,0.003454600478062006,0.029856252062877994,-0.004560419882739808,0.017078796568429505,0.17453244119225675,0.0,-0.02650360861580063,-0.02514779846860051,-0.023310838775408182,0.02157169561793814,0.22044648648222998,0.0,-0.032189963635658625,-0.032189963635658625,-0.030035542894874645,0.059204075433048765,0.6050210723255133,0.07815533068401806,0.05595855423265295,0.36779652339780433,0.0,-0.04334347005425343,-0.07543459970153318,-0.035952665403613526,0.052208050579728556,0.3431457399125613,0.0,-0.0466204284973077,-0.0466204284973077,-0.07678412146609646,0.043978808949805805,0.2890577366896343,0.05805644850325003
Exp1,5021,5021,25115.5,28754.132539091588,8.488862181119515,3.3493165771519107,3.3584336105583588,18.758836355648278,0.06720258674171407,0.13849155933916663,0.0,-0.05372992543606924,-0.006624413614593205,-0.06225292324606713,0.056661837732338106,0.11676911028342035,0.0,-0.05035268751723709,-0.05035268751723709,-0.00929350824268571,0.36138238090803293,0.744739330377413,-0.47706106845946644,0.018650277731962813,0.2556536936852973,0.0,-0.027948422131555885,-0.028532778534960543,-0.02487328609025328,0.02211970841965876,0.3032118471370551,0.0,-0.03299265198871968,-0.03299265198871968,-0.031029150671429126,0.032181346814139526,0.44113445917764776,0.04248261261947092,0.06824336369565306,0.44925073351394695,0.0,-0.04711326073217004,-0.08848344482999639,-0.03829360372960551,0.06278502422214535,0.41331811121271556,0.0,-0.05020047800190297,-0.05020047800190297,-0.0891500482923452,0.020876458540364243,0.1374311552733375,0.027559023746236377
Exp1,5022,5022,25120.5,28760.089352196574,8.351563475076402,3.3498590270552033,3.3570277088936673,18.347803689280333,0.05153328464319378,0.04440065288742769,0.0,-0.04906724565142184,-0.015037657554781703,-0.055181807866590216,0.04514787726463944,0.038899038571107256,0.0,-0.04778451979863929,-0.04778451979863929,-0.018047490560453294,1.0639613352610708,0.9167003085414651,-1.404535910477545,0.020284146411427124,0.2703233463416781,0.0,-0.028839379260428188,-0.031663681056100575,-0.025697521766098408,0.02157337560968601,0.28750468313573746,0.0,-0.03157884596462388,-0.03157884596462388,-0.03244022487119329,0.03317908390262665,0.44217197052258445,-0.04379972586743648,0.06376774106551888,0.4586179539397463,0.0,-0.0475605895926857,-0.0847432105362424,-0.038933370948665356,0.05867260160650636,0.4219736821702775,0.0,-0.05017996780855034,-0.05017996780855034,-0.0851284194100713,0.016602929658950175,0.11940836388997622,0.021917536053512876
Exp1,5023,5023,25125.5,28766.046165301563,8.3776477568686,3.34969350337034,3.355145037469057,18.428104729766403,0.05144216784072753,0.0527286776156555,0.0,-0.04343616782767157,-0.00700896204807977,-0.04863580683470925,0.04535913137148764,0.04649351136247745,0.0,-0.0439797791140637,-0.0439797791140637,-0.012401063154376502,0.8788000275590446,0.900777811021867,-1.1601043721503892,0.021717176690380462,0.23411397493686556,0.0,-0.02790770313026201,-0.03375984013703315,-0.02432931546634247,0.021624037024518452,0.23310991728654928,0.0,-0.02906423415552224,-0.02906423415552224,-0.03433393465175625,0.049422051255665185,0.5327761077765851,-0.06524207549422911,0.048026003845647564,0.4204524220166429,0.0,-0.04244731934985562,-0.06762905521453134,-0.035790006349972356,0.04479576961534495,0.3921727464855111,0.0,-0.04542537925830068,-0.04542537925830068,-0.0684102916085649,0.02140281255827064,0.1873748314978459,0.028253863958256176
Exp1,5024,5024,25130.5,28772.002978406552,8.555991935002943,3.347214287618603,3.3501920169036863,18.97056950048654,0.02505124965300546,0.0844587982707629,0.0,-0.03327708934128237,-0.021037951409670352,-0.03496930132588938,0.027351989742910178,0.09221560664632458,0.0,-0.031983946607943015,-0.031983946607943015,-0.015577286472161058,0.2442058784924862,0.8233255950829126,-0.3223763068497689,0.026486037037192836,0.22395210139535612,0.0,-0.02636787918260657,-0.03831781998910318,-0.021596348868500127,0.021997470635239567,0.18599912728456527,0.0,-0.026466729944036427,-0.026466729944036427,-0.034880360505513776,0.06978301839349381,0.5900487713200786,0.0921205987726303,0.060875025532985946,0.2986003855832634,0.0,-0.04496320436145766,-0.08061992195644163,-0.03671653869544089,0.05503348866755642,0.26994684260493745,0.0,-0.046950829117897185,-0.046950829117897185,-0.0797854557107091,0.08795935895734816,0.4314527718117992,0.11611519537772104
Exp1,5025,5025,25135.5,28777.95979151154,8.62530118351356,3.3454946529312792,3.3452566975711084,19.185152200038292,0.018672996616013515,0.12291082583419397,0.0,-0.028908738656828525,-0.0260466658421139,-0.028169074387804912,0.02057392824100339,0.13542328329811668,0.0,-0.024405681741223262,-0.024405681741223262,-0.012279214453467358,0.11267619899541971,0.7416658908676894,0.14874390873080756,0.02971520391202362,0.1287827283428601,0.0,-0.024697254373892096,-0.040291883883650924,-0.019183121682539727,0.022997889967163017,0.09967056005635357,0.0,-0.024046718332828832,-0.024046718332828832,-0.03541183872937825,0.17802595237639826,0.7715467116007864,0.23501215206120418,0.06025135623519746,0.2599995298306998,0.0,-0.04408191480007036,-0.07939638427996594,-0.03563494446416389,0.053319625973057526,0.23008739636710843,0.0,-0.0456471770081543,-0.0456471770081543,-0.07738616644270709,0.11816542237074744,0.5099130738021919,0.15599023535543885
Exp1,5026,5026,25140.5,28783.91660461653,8.798852025680434,3.3467318781744653,3.344553523072714,19.70527067579412,0.036850148879558876,0.06676593558103024,0.0,-0.02238136315234085,-0.04536854251105993,-0.016859539269258317,0.023320116081742292,0.04225191526755078,0.0,-0.009368209751095868,-0.009368209751095868,-0.026837042598297778,0.4917601252724405,0.8909821491514189,0.6491727964123797,0.0333405900577,0.09408768177214559,0.0,-0.024283578457511012,-0.04315099334970514,-0.0181737509653626,0.024064515813692334,0.06791045095365787,0.0,-0.024020205838987785,-0.024020205838987785,-0.03658877785662549,0.2969514839576749,0.8380018672741965,0.392005807979676,0.07073743052574144,0.25723375012849165,0.0,-0.04642049136483308,-0.09023596687339022,-0.0374897822707358,0.06240819781145555,0.22694483871533258,0.0,-0.04743322974173667,-0.04743322974173667,-0.08717155447055147,0.14184717680756787,0.5158214111561756,0.18725253166949007
Exp1,5027,5027,25145.5,28789.87341772152,8.798287996187701,3.345182841297696,3.344410471471284,19.70527067579412,0.050497687608094435,0.13431748659442044,0.0,-0.011024472601446789,-0.04702686144156454,-0.0032633406472593047,0.04121146100802813,0.10961729385396667,0.0,-0.000554974281002707,-0.000554974281002707,-0.03396218720626054,0.2842485087853681,0.7560652195516129,0.37523660386660396,0.035690599733103304,0.1028067777858561,0.0,-0.022020914445554585,-0.043504380296931974,-0.015384271928838535,0.02403491953200824,0.06923258925056046,0.0,-0.022608039929571964,-0.022608039929571964,-0.03591620321988485,0.28743641404093867,0.8279606329635835,0.37944495924781735,0.07292366261925291,0.25684980000949725,0.0,-0.04732844790111254,-0.09254626384986783,-0.03784958446867681,0.06377625318595077,0.22463103590523328,0.0,-0.048560545158792844,-0.048560545158792844,-0.08913465551886421,0.14721567461595486,0.5185191640852694,0.19433948841059134
Exp1,5028,5028,25150.5,28795.83023082651,8.798271872305866,3.344474752906163,3.3450701882173126,19.70527067579412,0.04017857831191057,0.1493888152339222,0.0,-0.006730083762243488,-0.03448956661164493,0.0014409085686071244,0.03718505322813052,0.13825852679595718,0.0,-0.002242329123547382,-0.002242329123547382,-0.03222034169258059,0.1915894239413648,0.7123526579701206,0.25291729790850326,0.035024153865657576,0.09096735591417401,0.0,-0.022026807981578855,-0.04303121520969588,-0.015612610307900976,0.02486741561711467,0.06458751454166752,0.0,-0.0232114184027294,-0.0232114184027294,-0.037073969158336696,0.32512735861163344,0.8444451295441585,0.42920079472314476,0.05822993563992069,0.23202505555262923,0.0,-0.04271356140364611,-0.0768834935893041,-0.034722524483805375,0.050808029854668216,0.20245146796052843,0.0,-0.045167229004808136,-0.045167229004808136,-0.07462071114587376,0.14192603277374743,0.5655234764868422,0.1873566294713406
Exp1,5029,5029,25155.5,28801.787043931497,8.799677976748567,3.34571156304512,3.348051691406463,19.70527067579412,0.0185513273716417,0.21218141344961577,0.0,-0.009575313441982036,-0.017637565527701238,-0.0010092371340704176,0.026298967697731823,0.30079530303047586,0.0,-0.006371628016523356,-0.006371628016523356,-0.026917982037164553,0.042581148948445065,0.4870232835199085,0.056211396810589065,0.02935521569441574,0.07534398435794167,0.0,-0.021989296113988654,-0.037959076875061906,-0.01582550399413023,0.02218311285517798,0.0569358483129432,0.0,-0.023869932586058604,-0.023869932586058604,-0.034406486154110724,0.3380775902868189,0.8677201673291152,0.4462964022739008,0.06074199324638095,0.2704573725829021,0.0,-0.04349769896622555,-0.0794019390998472,-0.034889225797612555,0.054110965068483924,0.24093232141701743,0.0,-0.04571269063790462,-0.04571269063790462,-0.07820327228451361,0.1097369379275161,0.48861030600008054,0.14486378867068694
Exp1,5030,5030,25160.5,28807.743857036487,8.607324690097286,3.346618077817276,3.3494672030017814,19.1258887894728,0.02382358166275925,0.12632117035159526,0.0,-0.025529828797482335,-0.0064094211910559196,-0.021225964190880298,0.023826934162253347,0.1263389465057308,0.0,-0.02646246819277476,-0.02646246819277476,-0.011383055276236398,0.140944805105359,0.747339883142674,-0.18606131031740958,0.025629604244517018,0.10426850162263715,0.0,-0.022400017205193114,-0.034921150546350165,-0.016762275457690642,0.020681991766685066,0.08414021034075503,0.0,-0.024830072620313892,-0.024830072620313892,-0.03278474499910358,0.19949230301550763,0.8115912880366078,0.26334989267292813,0.05760906736641491,0.3223131912485119,0.0,-0.04195475867475999,-0.0757233607503676,-0.03373310160980214,0.05128408730024908,0.2869259752614394,0.0,-0.04446201107925294,-0.04446201107925294,-0.07472967029298093,0.06984314571018536,0.39076083349004875,0.0921999728745785
Exp1,5031,5031,25165.5,28813.700670141476,8.666748931502886,3.3478371062117604,3.3503745182654576,19.302035170031438,0.03265738950082851,0.1069360446218615,0.0,-0.030249851904534886,-0.0040500355531341015,-0.027485391959574557,0.03228235305230459,0.10570799440084916,0.0,-0.03301278366041949,-0.03301278366041949,-0.011233151078765768,0.24045204200659046,0.7873559609772893,0.3174208653578958,0.02419655326224854,0.07908752703642317,0.0,-0.024917275576869447,-0.03518100756428683,-0.020112247609865276,0.020796566942171697,0.06797451820834026,0.0,-0.027107915714819873,-0.027107915714819873,-0.03312732458072398,0.26095339461206907,0.8529379547552365,0.3444847115649495,0.06064242097676761,0.28283681453303683,0.0,-0.04208536229548008,-0.07840125543392536,-0.03347108431082071,0.05357038749563336,0.24985278470940409,0.0,-0.04420468918854814,-0.04420468918854814,-0.07684212293022108,0.10019499794024074,0.4673104007575591,0.13226746874477407
